key;en-GROUP;hu-HU-x-HU text
programInfo.actionButtons.wishlist.remove;Remove;Eltávolítás a Lejátszási listáról
programInfo.actionButtons.wishlist.add;Schedule record;Hozzáadás a Lejátszási listához
programInfo.actionButtons.watchContent;Watch %1;Lejátszás: %1
programInfo.actionButtons.buy;Buy;Vásárlás
programInfo.actionButtons.rent;Rent;Kölcsönzés
programInfo.actionButtons.confirm4K;Your current resolution is not 4K. To watch 4K content your TV must be 4K-ready. Are you sure you want to continue?;A tévéd nem 4K (Ultra HD)-képes. Folytatni szeretnéd ennek ellenére?
minutes.acronym;mins;perc
minute.acronym;min;perc
settings.audioAndVisual.audioOutput;Audio output;Audiokimenet
settings.audioAndVisual.audioOutput.stereo;Stereo;Sztereó
settings.audioAndVisual.audioOutput.dolbyAudio;Dolby Audio;Dolby Audio
settings.audioAndVisual.hdmiAudioOutput;HDMI audio output;HDMI-audiokimenet
settings.audioAndVisual.on;On;Bekapcsolás
settings.audioAndVisual.off;Off;Kikapcsolás
settings.audioAndVisual.screenResolution.576p;576p;576p
settings.audioAndVisual.screenResolution.720p;720p;720p
settings.audioAndVisual.screenResolution.1080p;1080p;1080p
settings.audioAndVisual.screenResolution.4k;4K;4K
settings.systemConfigurations.powerSaving;Power;Energiatakarékos üzemmód
settings.powerSaving.quickBoot;Power saving mode;Energiatakarékos üzemmód
settings.powerSaving.autoStandbyTime;Auto standby time;Automatikus készenléti üzemmód
settings.powerSaving.autoStandbyTime.3h;3 hours;3 óra
settings.powerSaving.autoStandbyTime.6h;6 hours;6 óra
settings.powerSaving.autoStandbyTime.12h;12 hours;12 óra
settings.powerSaving.autoStandbyTime.off;Off;Kikapcsolás
settings.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for <insert>. Please choose an option:;A<strong>%1 %2</strong> csatorna több régióban elérhető. Kérjük válassz:
popups.powerSaving.buttons.cancel;Cancel standby;Készenlét mód elvetése
popups.powerSaving.buttons.adjust;Change auto standby;Készenléti idő megváltoztatása
network.ipAddress;IP address;IP-cím
network.subnetMask;Subnet mask;Alhálózati maszk
network.defaultGateway;Default gateway;Alapértelmezett átjáró
network.primaryDNS;Primary DNS;Elsődleges DNS
network.secondaryDNS;Secondary DNS;Másodlagos DNS
serieInfo.recordEpisode;Record episode;Műsor rögzítése
serieInfo.recordSeries;Record series;Sorozatrögzítés
serieInfo.season;Season;SOROZAT
popups.upgrade.buttons.updateNow;Update now;Frissítés most
popups.reboot.buttons.rebootNow;Reboot now;Újraindítás most
popups.wifi.buttons.tryAgain;Try again;Újrapróbál
popups.storage.misc;0;0
popups.storage.buttons.manage;Manage my recordings;Felvételeim kezelése
popups.storage.buttons.enableAutoDelete;Enable auto delete;Automatikus törlés engedélyezése
popups.continueWatching.buttons.next;Next episode;Következő epizód
popups.continueWatching.buttons.startOver;Restart;Újrakezdés
popups.maintenance.message;An update is scheduled for your TV box;A Vodafone Mediaboxra időzítve van egy frissítés.
maintenance.wait;Update in progress, please wait.;Kérjük várj…
rails.more;More;Tovább
rails.moretitle;More %1;Még több %1
rails.bucketMore;See more;Még több
badging.expires;Expires from %1 in %2 days;%1 lejár %2 napon belül
badging.recorded;Recorded;Rögzítve
badging.protected;Protected recording;Védett felvétel
badging.subtitles;Subtitles available;Felirat elérhető
badging.audioDescription;Audio description available;Audionarráció elérhető
badging.wishList;Scheduled record;Hozzáadva a Lejátszási listához
badging.catchUp;Catch up;Lejátszás most
badging.airsOn;Airs on %1;Kezdődik
notification.recording.delete;Recording deleted;Felvétel törölve
notification.recording.cancel;Recording cancelled;Időzített rögzítés leállítva
notification.recording.scheduled;Recording scheduled;Rögzítés beállítva
notification.seriesRecording.cancel;Series record cancelled;Sorozatrögzítés leállítása
notification.seriesRecording.delete;Series record deleted;Sorozat törölve
notification.recording.protect;Recording protected;Felvétel védve
notification.network.online;You're connected;Vodafone Mediabox csatlakoztatva
notification.purchase.success;Purchase made;Sikeres vásárlás
notification.login.emptyToken;Empty token;Üres token
notification.battery.low;Your TV remote batteries are low, please replace them.;Cserélj elemet a Vodafone Mediabox távirányítójában
settings.warning.popup.parentalControlEnable;Turning on parental controls will enable your TV PIN. Are you happy to continue?;Kérjük, erősítsd meg a PIN kódodat, mely így aktiválásra kerül (további információ: vodafone.hu/tv )
settings.ledBrightness.medium;Medium;Közepes
programInfo.actionButtons.moreWatchOptions;More options;Lejátszási opciók
notification.recording.unprotect;Unlocked - you can now record;Felvétel védelme törölve
common.confirm;Okay?;Rendben
keyboard.search.placeholder;Start searching;Keresés indítása
settings.warning.popup.masterPinDisable;Turning off your PIN will also turn off parental controls. Are you happy to continue?;A PIN kód feloldásával kikapcsolod a Gyerekzárat is. Folytatod a műveletet?
settings.network.wifi.waiting;Connecting to your Wi-Fi network;Csatlakozás a Wi-Fi hálózathoz ...
settings.tvChannels.abortingAutoScan;Stopping;Leállítás
settings.audioDescription.on;Turn on;Bekapcsolás
settings.subtitles.on;Turn on;Bekapcsolás
popups.powerSaving.message;Vodafone TV will go into standby mode in %1s;A Vodafone Mediabox néhány másodpercen belül készenléti üzemmódra vált
firstInstall.languageScreen.description;Choose your language;Nyelv kiválasztása
settings.parentalControls.changeMyPin;Change PIN;PIN kód megváltoztatása
settings.parentalControls.changedPin;Your PIN has changed;PIN kód megváltozott
settings.ledBrightness.high;High;Magas
settings.informations.buttons.connectivity;Internet;Internet
settings.ledBrightness.low;Low;Alacsony
settings.remote.remotePairNewDevice;Pair remote;Távirányító párosítása
settings.channelScan.auto;Scan;Keresés
settings.powerSaving.quickBoot.hint;Turn power saving mode off for faster setup;A gyorsabb indításért kapcsold ki az energiatakarékos üzemmódot
firstInstall.helloScreen.description.searchingAccount;Logging in to your Vodafone TV account;Csatlakozás a Vodafone-fiókodhoz
settings.systemConfigurations.subtitle;System info;Rendszerinformáció
settings.network.advanced.configureIpAddress;Manual setup;Kézi beállítás
popups.continueWatching.misc;Continue watching: starting in %1;A műsor hamarosan kezdődik: %1
firstInstall.buttons.manualIPConfig;Manual IP setup;Manuális IP-beállítás
settings.systemConfigurations;More settings;További Beállítások
settings.systemConfigurations.factoryReset;Reset;Alaphelyzetbe állítás
settings.informations.buttons.remoteControl;Remote;Távirányító
settings.network.advanced.waiting;Connecting your IP address to your TV box;Csatlakozás a Vodafone Mediaboxhoz
popups.reboot.misc;Reboot in %1;Újraindítás: %1
notification.recording.start;Recording;Rögzítés folyamatban
date.format.day5;Friday;Péntek
firstInstall.helloScreen.description.foundAccount;Nearly done;Majdnem kész
firstInstall.wifiNetworkConnectingScreen.description;Connecting to your Wi-Fi network;Csatlakozás a Wi-Fi hálózathoz
settings.network.advanced.dhcp;Auto setup;Automatikus beállítás
settings.remote.remotePairNewDevice.step0.failed.description;Sorry, you pressed the wrong buttons: press and hold the 3 and yellow buttons together for 5 seconds.;Kérjük, próbáld újra! Tartsd lenyomva egyidejűleg a 3-as és a sárga gombokat 5 másodpercig
change language;Change language;Nyelv megváltoztatása
firstInstall.manualNetworkConfigurationScreen.description;Please enter your network details using the number keys.;Add meg a hálózati adatokat
settings.premiumChannels.hide;Hide;Elrejtés
settings.premiumChannels.show;Show;Megjelenítés
pinEntry.parentalPinCode;Enter your PIN;PIN megadása
settings.remote.remotePairNewDevice.step2.description;Great, your remote is now paired;Távirányító sikeresen párosítva
pinEntry.masterPinCode;Enter your PIN;PIN megadása
settings.recordings.deleteAllQuestion;Are you sure you want to delete all recordings?;Biztos, hogy törölni szeretnéd az összes felvételt?
settings.recordings.autoDeleteQuestion;Are you sure you want to activate the auto delete feature?;Biztos, hogy automatikusan törölni szeretnéd az összes felvételt?
pinEntry.successful;PIN confirmed;PIN kód megerősítve
popups.upgrade.title;Software upgrade about to start;Vodafone Mediabox frissítése hamarosan elkezdődik
firstInstall.getHelpScreen.channels.description;Once your TV aerial is connected, start scanning for channels.;Kérjük, ellenőrizd az antennakábelt<br/>és kezdj el csatornákat keresni
settings.systemConfigurations.factoryReset.popup;<p>Are you sure you want to restore to factory settings? This will delete any customised settings.<br/>Don't worry, your recordings won't be deleted.</p>;<p>Biztosan vissza szeretnéd állítani a gyári beállításokat? Ez esetben az igényeidnek megfelelően újra be kell állítanod a Vodafone Mediaboxot, például a csatorna sorbarendezést, elrejtést. <br/>Ne aggódj, a felvételeid nem vesznek el!</p>
firstInstall.wiredNetworkSearchScreen.manual.description;Trying to connect;Csatlakozás megkísérlése
firstInstall.wiredNetworkSearchScreen.description;Please make sure your Ethernet cable is plugged in.;Kérjük, győződj meg róla, hogy az<br/>Ethernet-kábel<br/> csatlakoztatva van
firstInstall.getHelpScreen.wifi.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;További segítség elérhető a <br/>vodafone.hu/tv oldalon
firstInstall.getHelpScreen.wired.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;További segítség elérhető a <br/>vodafone.hu/tv oldalon
firstInstall.remotePairLaterScreen.description;If you can't pair your remote now, don't worry – you can always pair it later and it'll still work in the meantime when you point it at the box.;A távirányító párosítását a későbbiekben<br/> a Beállítások menüpont alatt is elvégezheted,<br/>így nem lesz szükséges a távirányítót a <br/>Vodafone Mediabox felé irányítani
settings.network.noInternet;;Nincs internetkapcsolat. Kérjük, ellenőrizd a routert, és próbáld újra!
firstInstall.wifiNetworkErrorScreen.noLink;;A Wi-Fi kapcsolat megszakadt. Kérjük, ellenőrizd a routeredet és próbáld újra! [SC106]
settings.network.lan.noLink;;Ethernet-kábel nem érzékelhető. Kérjük, csatlakoztasd a kábelt megint, majd próbáld újra! [SC022]
firstInstall.wiredNetworkScreen.noLink;;Az Ethernet-kábel nem érzékelhető. Kérjük, csatlakoztasd a kábelt megint, majd próbáld újra! [SC021]
notification.network.error;;Csatlakozási hiba. Kérjük, ellenőrizd az internetkapcsolatot! [SC014]
programInfo.rentalExpiresOn;;A kölcsönzés lejár: %1
Available to Purchase;;Megvásárolható
Smart TV FTU UDID;;UDID: %1
adult.hidden.description;;Gyerekzárral ellátott tartalom
adult.hidden.title;;Rejtett tartalom
adult.visible.title;;Felnőtt tartalom
advertising.notification.description;;A lejátszás automatikusan folytatódik a reklám után
advertising.notification.personalizedAds.cannotWatch.description;;Ennek a tartalomnak a megtekintéséhez el kell fogadnod a személyre szabott reklámokat.
advertising.notification.personalizedAds.cannotWatch.title;;Személyre szabott reklámok
advertising.notification.personalizedAds.optIn;;A személyre szabott reklámok elvetéséhez menj a Beállítások/Adatkezelés/3. feles adatkezelési hozzájárulás menüpontba.
advertising.notification.personalizedAds.optOut;;A személyre szabott reklámok beállításához menj a Beállítások/Adatkezelés/3. feles adatkezelési hozzájárulás menüpontba.
advertising.notification.title;;Reklám szünet
advertising.overlay.count;;%2 %1 reklám
alexa.EnablewithoutSetup.text;;
alexa.EnablewithoutSetup.title;;
alexa.alexaDisableScreen.cancelButton;;Elvet
alexa.alexaDisableScreen.confirmButton;;Megerősít
alexa.alexaDisableScreen.text;;Nem fogod tudni az Alexát használni ezzel az eszközzel.
alexa.alexaDisableScreen.title;;Amazon Alexa kikapcsolása?
alexa.alexaSettignDefaultScreen.buttonSetUp;;Alexa beállítás
alexa.alexaSettingDefaultScreen.buttonLanguage;;Alexa nyelv
alexa.alexaSettingDefaultScreen.buttonSignout;;Kijelentkezés
alexa.alexaSettingDefaultScreen.buttonTermsAndConditions;;Felhasználási feltételek
alexa.alexaSetupScreen.description;;Válaszd a Kód frissítést, ha problémád van a kapott kóddal és próbáld újra
alexa.alexareadyscreen.ia.information;;Ahhoz, hogy további funkciókat érj el, mint zene, időjárás, okos otthon vezérlés, menj a <span>Beállítások>Hangvezérlés>Amazon Alexa</span> menübe bármikor, hogy csatlakoztasd az Amazon fiókodat.
alexa.alexareadyscreen.ia.term1;;"""Alexa, emeld a hangerőt"""
alexa.alexareadyscreen.ia.term2;;"""Alexa, mutass akció filmeket"""
alexa.alexareadyscreen.ia.term3;;"""Alexa, mi megy ma a tévében?"""
alexa.alexareadyscreen.information;;
alexa.alexareadyscreen.subtitle;;Nyomd meg és tartsd nyomva a mikrofon gombot, majd próbáld mondani a következőket:
alexa.alexareadyscreen.term1;;"""Alexa, vedd fel a hangot"""
alexa.alexareadyscreen.term2;;"""Alexa, mutasd a hétvégi időjárást"""
alexa.alexareadyscreen.term3;;"""Alexa, mi a hír a sportjaimról?"""
alexa.alexareadyscreen.term4;;"""Alexa, keress akciófilmeket"""
alexa.alexareadyscreen.term5;;"""Alexa, játsz le pop zenei klippeket"""
alexa.alexareadyscreen.vsb.information;;
alexa.alexareadyscreen.vsb.subtitle;;A készülékeden csak kezdd el mondani, hogy:
alexa.alexareadyscreen.vsb.term1;;
alexa.alexareadyscreen.vsb.term2;;
alexa.alexareadyscreen.vsb.term3;;
alexa.alexareadyscreen.vsb.term4;;
alexa.alexareadyscreen.vsb.term5;;
alexa.alexareadyscreen.vsb.term6;;
alexa.authError;;Valami hiba történt. Kérjük, próbáld újra
alexa.card.canDoMore;;Az Alexa többre képes
alexa.card.connect;;Csatlakoztat
alexa.card.connectAmazonAccount;;Csatlakozz Amazon fiókoddal az időjárásjelentéshez, az okos otthon vezérléshez és a többi funkcióért.
alexa.defaultScreen.description;;Az Alexa használatával a hangoddal kereshetsz és indíthatsz el filmeket és TV műsorokat, tehetsz fel kérdéseket, ellenőrizheted az időjárást, játszhatsz le zenét, vezérelheted okos otthonodat és még sok minden más.
alexa.defaultScreen.subDescription;;Az Amazon az Amazon interakciókat felhőben dolgozza fel. Az Alexa engedélyezésével minden szerződési és felhasználási feltételt elfogadsz. Az Alexa szerződési és felhasználási feltételeiről többet az alábbi linken tudhatsz meg
alexa.defaultscreen.buttonDisable;;Kikapcsolás
alexa.defaultscreen.buttonSigneIn;;Lépj be az Alexa-ba
alexa.defaultscreen.buttonTermOfUse;;Felhasználási feltételek
alexa.defaultscreen.devicename;;Eszköz név
alexa.defaultscreen.signedInAs;;Fiók csatlakoztatása
alexa.enablePopup.title;;Engedélyezni szeretnéd a hang vezérlést?
alexa.enableWithoutSetup.ok;;Próbál ki Alexát
alexa.enablevoicesubMsg;;A hang vezérlés a távirányítódon még nincs engedélyezve
alexa.errorScreen.button.retry;;
alexa.isReadyTitle;;Alexa készen áll
alexa.notification.signout.body;;később ismét bekapcsolhatod a beállításoknál
alexa.notification.signout.header;;Alexa kikapcsolva
alexa.popup.tryAlexa.title;;Próbáld ki az Alexat regisztráció nélkül
alexa.setUpScreen.Goto;;Látogasd meg: 
alexa.setUpScreen.description;;telefonodon vagy számítógépeden vidd be ezt a kódot 
alexa.setUpScreen.later;;Később végzem el
alexa.setUpScreen.refreshCode;;Kód frissítés
alexa.setUpScreen.title;;Csatlakoztasd Amazon fiókodat
alexa.termandConditionScreen.title;;Felhasználási feltételek
alexa.termsOfUseScreen.title;;Alexa felhasználási feltételek
apps.myApps.add.added;;Hozzáad
apps.myApps.add.titleAppAdd;;Alkalmazásaim
apps.myApps.add.titleAppAddDescription;;%1 alkalmazás sikeresen hozzáadva
apps.myApps.add.titleAppRemove;;Alkalmazásaim
apps.myApps.add.titleAppRemoveDescription;;%1 alkalmazás sikeresen törölve
apps.myApps.add.titleMaxDescription;;Kérjük, hogy távolíts el a Kedvencekből alkalmazást, hogy újat adhass hozzá
apps.myApps.add.titleMaxLimit;;Alkalmazásaim
apps.myApps.delete.remove;;Eltávolít
apps.myApps.reorder.moved;;Áthelyez
apps.rail.recentApps;;Nemrég használt alkalmazások
badging.acronym.audioDescription;;AD
badging.acronym.closedCaption;;CC
badging.acronym.signLanguage;;SL
badging.acronym.subtitles;;F
badging.airsNow;;Műsoron
badging.airsOnDateAndTime;;Műsoron
badging.availableToPurchase;;Megvásárolható
badging.availableToPurchaseAndExpiration;;%1 napos kölcsönzés elérhető a következő naptól: %2
badging.availableToSubscribe;;Előfizethető
badging.failedOn;;Meghiúsult
badging.partiallyRecordedOn;;Részleges felvétel folyamatban
badging.purchased;;Megvásárolt
badging.recordableEpisode;;Epizód hozzáadása a rögzítési listához
badging.recordableSeries;;Minden epizód hozzáadása a rögzítési listához
badging.recordedOn;;Rögzítve
badging.recordingNow;;Rögzítés folyamatban
badging.recordingScheduled;;Időzített rögzítés
badging.scheduled;;Időzített rögzítés
badging.subscribed;;Előfizetésed keretében megtekinthető
badging.subscribedTo;;Része a %1 csomagodnak
badging.upcomingCatchUp;;Hamarosan elérhető a Műsorvisszajátszón
bluetooth.fullplayer.audioprofile;;Audio profil
bluetooth.fullplayer.collapse;;Kibont
bluetooth.fullplayer.connected;;Csatlakoztatva
bluetooth.fullplayer.exit;;Kilépés
bluetooth.fullplayer.unknownTrackAlbum;;Ismeretlen album
bluetooth.fullplayer.unknownTrackArtist;;Ismeretlen előadó
bluetooth.fullplayer.unknownTrackTitle;;Ismeretlen szám
bluetooth.popup.buttons.connect;;Csatlakoztat
bluetooth.subtitle;;Megerősít?
bluetoothConnect.subtitle;;Érvényesít?
bluetoothConnect.title;;Engedélyezni akarod a hang vezérlést?
bluetoothConnection.title;;Csatlakoztatva leszel ehhez az eszközhöz
bluetoothDisconnect.title;;Válaszd ki, mit szeretnél tenni
buttons.filesFormat.3d;;3D
buttons.filesFormat.4K;;UHD
buttons.filesFormat.HD;;HD
buttons.filesFormat.SD;;SD
cableRegio.scanSummary.description.success;;%1 csatorna találat:<br/>%2 Internetes %3 Kábel %4 Rádio
cableRegio.scanSummary.title;;Csatorna keresés eredménye
cancelMultipleSeries.popup.subtitle;;Ezt a lépést nem vonhatod vissza.
cancelMultipleSeries.popup.title;;Biztos, hogy el akarod vetni a %1 rögzítését?
cancelSeries.subtitle;;Biztos vagy benne?
cancelSeries.title;;Törlöd a sorozat rögzítését?
channelScan.completed;;Csatornakeresés befejeződött
channelScan.error;;Hiba a csatornakereséssel
clashManagementScreen.availableAsCatchup;;Elérhető visszajátszásra
clashManagementScreen.recording;;Felvétel %1
clashManagementScreen.repeatsOn;;Ismétel %1
clashManagementScreen.reschedule;;Átütemez
clashManagementScreen.subtitle;;Ahhoz, hogy felvedd a következőt: %1 , válassz az alábbi opciók közül
clashManagementScreen.title;;Túl sok helyi felvételed van
common.back;;Vissza
common.blockedContent;;
common.browseAll;;
common.buyStorage;;További információk
common.deselectAll;;Összes kijelölésének törlése
common.disconnect;;Leválaszt
common.hideAll;;Összes elrejtése
common.min;;%1 perc
common.noThanks;;Nem, köszönöm
common.other;;Egyéb
common.reorder;;Újra rendezés
common.searchOn;;Keresés bekapcsolása
common.selectAll;;Összes kijelölése
common.showAll;;Összes megjelenítése
common.subscribe;;Előfizetés
common.tvGuide;;TV műsor
common.unpair;;Párosítás megszüntetése
common.welcomeTo;;Üdvözlünk!
continueWatching.household;;Vodafone Mediabox
date.format.duration.day;;nap
date.format.duration.days;;nap
date.format.duration.hour;;óra
date.format.duration.hours;;óra
date.format.duration.minute;;perc
date.format.duration.minutes;;perc
date.format.duration.month;;hónap
date.format.duration.months;;hónap
date.format.duration.second;;másodperc
date.format.duration.seconds;;másodperc
date.format.duration.short.hours;;ó
date.format.duration.short.minutes;;p
date.format.duration.short.seconds;;mp
date.format.duration.year;;év
date.format.duration.years;;év
deleteMultipleSeries.popup.protectedSubtitle;;%1 levédett felvételt is kiválasztottál. Így is törölni szeretnéd őket?
deleteMultipleSeries.popup.subtitle;;Ezt a lépést nem vonhatod vissza.
deleteMultipleSeries.popup.title;;Epizód törölve. Törlöd a sorozat többi ( %1 ) epizódját is?
deleteSeries.delete;;Sorozat törlése
deleteSeries.subtitle;;Biztosan törlöd?
deleteSeries.title;;Sorozat törlése
deleteSingleSeries.popup.subtitle;;Szeretnéd az egész sorozatot törölni, vagy más epizódokat is?
deleteSingleSeries.popup.title;;Epizód törölve
detailsConfirmPurchaseScreen.audioTitle;;Audio
detailsConfirmPurchaseScreen.detailsTitle;;Részletek
detailsConfirmPurchaseScreen.subtitlesTitle;;Felirat
epg.adultProgram.hidden.description;;A műsor lejátszásához a Gyerekzár PIN kódja szükséges. Ha ezen változtatni szeretnél, a Beállításokban megteheted
epg.adultProgram.hidden.name;;Rejtett műsor
epg.adultProgram.hidden.subtitle;;A lejátszáshoz változtasd meg a Gyerekzár beállításokat
epg.adultProgram.locked.description;;A műsor lejátszásához a Gyerekzár PIN kódja szükséges. Ha ezen változtatni szeretnél, a Beállításokban megteheted
epg.adultProgram.locked.name;;Zárolva
epg.allChannels;;Minden csatorna
epg.channel.locked.name;;Zárolva
epg.filters.all;;Összes
epg.filters.allChannels;;Összes csatorna
epg.filters.hdchannels;;HD csatornák
epg.filters.juststarted;;Most kezdődött
epg.filters.mostWatched;;Legtöbbet nézett
epg.filters.subscribedChannels;;Előfizetett csatornák
epg.filters.title;;Válaszd ki a csatornaszűrőt
epg.program.locked.description;;A műsor lejátszásához a Gyerekzár PIN kódja szükséges. Ha ezen változtatni szeretnél, a Beállításokban megteheted
epg.summary.duration;;Időtartam
epg.summary.origin;;Származási hely
epg.summary.releaseDate;;Megjelenés dátuma
error.actionNotAllowed;;Nem sikerült végrehajtani az utasítást
error.default;;Hiba történt
error.mdw.network.configurationGetFailed;;Hiba a hálózati konfiguráció olvasásában.
error.mdw.network.configurationSetFailed;;Hiba a hálózati konfiguráció olvasásában írásában.
error.netflix.esn;;Netflix ESN érvénytelen
error.player.broadcast.cannotResolve;;Az IP-csatorna URI-jének feloldása sikertelen
error.player.broadcast.cannotTune;;A kívánt adatfolyamra hangolás sikertelen.
error.player.broadcast.channelChangeInterrupted;;Csatornaváltás megszakítva
error.player.broadcast.channelNotFound;;A megjelölt csatorna nem található az adatfolyamban
error.player.broadcast.channelNotSupported;;Tuner által nem támogatott csatorna
error.player.broadcast.channelParentalLock;;Gyerekzár a csatornán
error.player.broadcast.channelRecordingOngoing;;Felvétel történik, csatornaváltás zárolva.
error.player.broadcast.encryptedChannel;;Titkosított csatorna vagy hiányzó kulcs/modul
error.player.broadcast.insufficientBandwidth;;Nem elegendő sávszélesség
error.player.broadcast.insufficientResources;;A csatorna megjelenítéséhez nem áll rendelkezésre elegendő erőforrás
error.player.broadcast.tunerLocked;;Más objektum zárolta a tunert.
error.player.broadcast.unknownChannel;;Ismeretlen csatorna
error.player.broadcast.unrealized;;Csatornaváltás nem lehetséges
error.player.oipf.connectionLost;;A kiszolgálóhoz történő kapcsolódás sikertelen vagy megszakadt a kapcsolat.
error.player.oipf.corrupt;;Hibás vagy érvénytelen tartalom
error.player.oipf.format;;A/V formátum nem támogatott
error.player.oipf.insufficientResources;;Nem elérhető elegendő erőforrás
error.player.oipf.positionUnavailable;;Tartalom nem elérhető az adott helyen
error.player.oipf.unavailable;;Tartalom nem elérhető
error.player.unidentified;;Ismeretlen lejátszási hiba
error.purchase.er.PPVPurchased;;Pay per view vásárlás
error.purchase.er.accountNotValid;;Érvénytelen fiók
error.purchase.er.collectionPurchased;;Megvásárolt összeállítás
error.purchase.er.configNotFound;;Ismeretlen konfiguráció
error.purchase.er.couponNotValid;;Kupon nem érvényes
error.purchase.er.free;;Ingyenes
error.purchase.er.incorrectPrice;;Helytelen ár
error.purchase.er.insufficientFunds;;Nem elegendő egyenleg
error.purchase.er.invalidUser;;Érvénytelen felhasználónév
error.purchase.er.notInDomain;;Felhasználó nem található a tartományban
error.purchase.er.notPurchasable;;Nem vásárolható meg
error.purchase.er.pgChargeIDRequired;;Fizetési felülethez tartozó azonosító szükséges
error.purchase.er.pgNoResponse;;A fizetési felület nem válaszol
error.purchase.er.pgNotExist;;Nem létezik fizetési felület
error.purchase.er.pgNotSet;;A fizetési felület nincs beállítva számodra
error.purchase.er.pgUnknownResponse;;Ismeretlen válasz érkezett a fizetési felületről
error.purchase.er.retryLimitExceeded;;Nincs lehetőség további próbálkozásra
error.purchase.er.signatureMismatch;;Nem egyező aláírás
error.purchase.er.subscriptionOnly;;Vásárlás csak előfizetéssel lehetséges
error.purchase.er.subscriptionPurchased;;Sikeres előfizetés
error.purchase.er.unknownPPV;;Ismeretlen pay per view modul
error.purchase.er.unknownReason;;Hiba oka ismeretlen
error.purchase.er.unknownTransactionState;;Ismeretlen tranzakciós állapot
error.purchase.er.unknownUser;;Ismeretlen felhasználó
error.purchase.er.userNotExist;;A felhasználó nem létezik
error.purchase.er.userSuspended;;A felhasználó felfüggesztésre került
error.purchase.unidentified;;Ismeretlen hiba a vásárlás során
error.token.store.failed;;Hiba lépett fel a Hitelesítési tokenek tárolása során
error.userAccountSuspended;;A fiókodat felfüggesztettük 
error.userActionSuspended;;A fiókodat felfüggesztettük
explanatoryCard.localQuotaLimit.info;;A helyi tárhelyed majdnem megtelt. <br/>%1 szabad hely maradt.
explanatoryCard.localQuotaLimit.statusContent;;Helyi felvételek kezelése
explanatoryCard.localQuotaLimit.title;;A helyi tárhelyed majdnem megtelt.
explanatoryCard.mytv.external.myTVRecommendations;;Itt Személyes ajánlót találsz az élő műsorok köréből az általad nézett és rögzített tartalmak alapján.
explanatoryCard.mytv.purchasesAndRentals;;Kölcsönözz a Filmtár filmek közül és nézd meg őket itt!
explanatoryCard.mytv.recommendations;;Itt találod a Neked ajánlott tartalmakat
explanatoryCard.mytv.recommendations.recommendationsOptIn;;Ne hagyd ki a megtekintéseid, felvételeid vagy kölcsönzéseid alapján személyedre szabott műsorokat. A Személyes ajánló bekapcsolásához nyomd meg az OK gombot
explanatoryCard.mytv.recommendations.title;;Filmek és tévéműsorok, amiket látnod kell
explanatoryCard.mytv.recordings;;Itt tudod megnézni és kezelni a felvételeidet.
explanatoryCard.mytv.rentals;;Kölcsönözz a Filmtár filmek közül és nézd meg őket itt!
explanatoryCard.mytv.scheduledRecordings;;A rögzítésre beállított műsorok itt találhatóak.
explanatoryCard.mytv.title;;Műsoraim
explanatoryCard.mytv.watchnext;;Nézd tovább egyszerűen a már megkezdett műsorokat
explanatoryCard.mytv.watchnext.recommendationsOptIn;;Az összes folytatni kívánt műsor, a legújabb felvételek és kölcsönzött filmek egyszerű áttekintéséhez nyomd meg az OK gombot, és engedélyezd a Személyes ajánlót.
explanatoryCard.mytv.watchnext.title;;Legfontosabb műsoraid
explanatoryCard.mytv.welcomeTo;;Üdvözlünk!
explanatoryCard.mytv.welcomeToMyTV;;Üdvözlünk a Műsoraim menüpontban!
explanatoryCard.mytv.wishlist;;Add hozzá a Lejátszási listához a számodra érdekes filmeket és műsorokat a Filmek, sorozatok menüből hogy később könnyedén megtekinthesd őket
explanatoryCard.ondemand.recommendationsOptIn;;Ne hagyd ki a megtekintéseid, felvételeid vagy kölcsönzéseid alapján személyedre szabott műsorokat. A Személyes ajánló bekapcsolásához nyomd meg az OK gombot
explanatoryCard.ondemand.title;;Filmek, sorozatok ajánló
explanatoryCard.quota.autoDelete;;Nem elérhető elegendő tárhely. A következő Felvételkor automatikus törlés fog indulni
explanatoryCard.quota.title;;Tárhelytelítettség információ
explanatoryCard.railTitle.mytv.external.myTVRecommendations;;Filmek és műsorok, melyeket látnod kell!
explanatoryCard.railTitle.mytv.purchasesAndRentals;;Kölcsönzések
explanatoryCard.railTitle.mytv.recommendations;;Filmek és TV műsorok, amik tetszhetnek
explanatoryCard.railTitle.mytv.recordings;;Felvételek
explanatoryCard.railTitle.mytv.rentals;;Kölcsönzések
explanatoryCard.railTitle.mytv.scheduledRecordings;;Időzített rögzítések
explanatoryCard.railTitle.mytv.watchnext;;Lejátszás folytatása
explanatoryCard.railTitle.mytv.wishlist;;Lejátszási lista
explanatoryCard.related.recommendationsOptIn;;Ne hagyd ki a megtekintéseid, felvételeid vagy kölcsönzéseid alapján személyedre szabott műsorokat. A Személyes ajánló bekapcsolásához nyomd meg az OK gombot
explanatoryCard.related.title;;További hasonló tartalom
