key;en-GROUP;sq-AL-x-AL text
programInfo.actionButtons.wishlist.add;Schedule record;Shto në Watchlist
programInfo.actionButtons.watchContent;Watch %1;Shiko %1
programInfo.actionButtons.buy;Buy;Bli
programInfo.actionButtons.rent;Rent;Merr me qira
programInfo.actionButtons.confirm4K;Your current resolution is not 4K. To watch 4K content your TV must be 4K-ready. Are you sure you want to continue?;Televizori nuk është 4K (Ultra HD). Dëshiron të vazhdosh?
minutes.acronym;mins;minuta
minute.acronym;min;min
settings.audioAndVisual.audioOutput;Audio output;Cilësia Audio
settings.audioAndVisual.audioOutput.stereo;Stereo;Stereo
settings.audioAndVisual.audioOutput.dolbyAudio;Dolby Audio;Audio Dolby
settings.audioAndVisual.hdmiAudioOutput;HDMI audio output;Outputi Audio HDMI
settings.audioAndVisual.on;On;Ndezur
settings.audioAndVisual.off;Off;Fikur
settings.audioAndVisual.screenResolution.576p;576p;576p
settings.audioAndVisual.screenResolution.720p;720p;720p
settings.audioAndVisual.screenResolution.1080p;1080p;1080p
settings.audioAndVisual.screenResolution.4k;4K;4K
settings.systemConfigurations.powerSaving;Power;Energjia
settings.powerSaving.quickBoot;Power saving mode;Modaliteti i Kursimit të Energjisë
settings.powerSaving.autoStandbyTime;Auto standby time;Koha e Standby Automatik
settings.powerSaving.autoStandbyTime.3h;3 hours;3 orë
settings.powerSaving.autoStandbyTime.6h;6 hours;6 orë
settings.powerSaving.autoStandbyTime.12h;12 hours;12 orë
settings.powerSaving.autoStandbyTime.off;Off;Fikur
settings.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for <insert>. Please choose an option:;Janë gjetur disa rajone për<strong>%1 %2</strong>. Cilin kanal preferon?:
popups.powerSaving.buttons.cancel;Cancel standby;Anullo Standby
popups.powerSaving.buttons.adjust;Change auto standby;Ndrysho Standby Automatik
network.ipAddress;IP address;Adresa IP
network.subnetMask;Subnet mask;Subnet Mask
network.defaultGateway;Default gateway;Default Gateway
network.primaryDNS;Primary DNS;DNS Primare
network.secondaryDNS;Secondary DNS;DNS dytësore
serieInfo.recordEpisode;Record episode;Regjistro Episodin
serieInfo.recordSeries;Record series;Regjistro Serinë
serieInfo.season;Season;SERITË
popups.upgrade.buttons.updateNow;Update now;Përditëso tani
popups.reboot.buttons.rebootNow;Reboot now;Rindiz tani
popups.wifi.buttons.tryAgain;Try again;Provo përsëri
popups.storage.misc;0;0
popups.storage.buttons.manage;Manage my recordings;Menaxho regjistrimet e mia
popups.storage.buttons.enableAutoDelete;Enable auto delete;Aktivizo fshirjen automatike
popups.continueWatching.buttons.next;Next episode;Episodi tjetër
popups.continueWatching.buttons.startOver;Restart;Fillo nga e para
popups.maintenance.message;An update is scheduled for your TV box;Një përditësim është planifikuar për pajisjen Vodafone TV.
maintenance.wait;Update in progress, please wait.;Të lutem prit ...
rails.more;More;Më shumë
rails.moretitle;More %1;Më shumë %1
rails.bucketMore;See more;Shiko më shumë
badging.expires;Expires from %1 in %2 days;Skadon nga %1 në %2 ditë
badging.recorded;Recorded;E regjistruar
badging.protected;Protected recording;Regjistrim i mbrojtur
badging.subtitles;Subtitles available;Titra në dispozicion
badging.audioDescription;Audio description available;Përshkrimi Audio i disponueshëm
badging.wishList;Scheduled record;Shtuar në Watchlist
badging.catchUp;Catch up;Shiko tani
badging.airsOn;Airs on %1;Fillon në
notification.recording.delete;Recording deleted;Regjistrimi u fshi
notification.recording.cancel;Recording cancelled;Regjistrimi u anullua
notification.recording.scheduled;Recording scheduled;Regjistrimi u planifikua
notification.seriesRecording.cancel;Series record cancelled;Regjistrimi i Serive u Anullua
notification.seriesRecording.delete;Series record deleted;Seritë e fshira
notification.recording.protect;Recording protected;Regjistrimi i mbrojtur
notification.network.online;You're connected;Pajisja Vodafone GigaTV u lidh.
notification.purchase.success;Purchase made;Blerja u bë me sukses
notification.login.emptyToken;Empty token;Shenjë boshe
notification.battery.low;Your TV remote batteries are low, please replace them.;Zëvendëso bateritë në telekomandën e Vodafone TV
settings.warning.popup.parentalControlEnable;Turning on parental controls will enable your TV PIN. Are you happy to continue?;Të lutem konfirmo. Kjo kërkon PIN e TV (shiko vodafone.al/vodafone-tv).
settings.ledBrightness.medium;Medium;Mesatare
programInfo.actionButtons.moreWatchOptions;More options;Opsionet e Shikimit
notification.recording.unprotect;Unlocked - you can now record;Regjistrimi i Pambrojtur
common.confirm;Okay?;Konfirmo
keyboard.search.placeholder;Start searching;Kërko për filma, seriale, aktorë...
settings.warning.popup.masterPinDisable;Turning off your PIN will also turn off parental controls. Are you happy to continue?;Çaktivizimi i PIN-it gjithashtu çaktivizon Kontrollet Prindërore. Dëshiron të vazhdosh?
settings.network.wifi.waiting;Connecting to your Wi-Fi network;Duke u lidhur me rrjetin Wi-Fi …
settings.tvChannels.abortingAutoScan;Stopping;Duke ndalur
settings.audioDescription.on;Turn on;Ndezur
settings.subtitles.on;Turn on;Ndezur
popups.powerSaving.message;Vodafone TV will go into standby mode in %1s;Pajisja Vodafone TV do të kalojë në gjendje Standby në pak sekonda.
firstInstall.languageScreen.description;Choose your language;Zgjidh gjuhën
settings.parentalControls.changeMyPin;Change PIN;Ndrysho PIN
settings.parentalControls.changedPin;Your PIN has changed;PIN u ndryshua
settings.ledBrightness.high;High;E lartë
settings.informations.buttons.connectivity;Internet;Internet
settings.ledBrightness.low;Low;E ulët
settings.remote.remotePairNewDevice;Pair remote;Lidh telekomandën
settings.channelScan.auto;Scan;Skanim
settings.powerSaving.quickBoot.hint;Turn power saving mode off for faster setup;Çaktivizo kursimin e energjisë për ndezje më të shpejtë
firstInstall.helloScreen.description.searchingAccount;Logging in to your Vodafone TV account;Duke u lidhur me llogarinë Vodafone GigaTV
settings.systemConfigurations.subtitle;System info;Informacion për sistemin
settings.network.advanced.configureIpAddress;Manual setup;Instalim Manual
popups.continueWatching.misc;Continue watching: starting in %1;Programi fillon në %1
firstInstall.buttons.manualIPConfig;Manual IP setup;Instalimi manual i IP
settings.systemConfigurations;More settings;Më shumë cilësime
settings.systemConfigurations.factoryReset;Reset;Rivendos
settings.informations.buttons.remoteControl;Remote;Telekomanda
settings.network.advanced.waiting;Connecting your IP address to your TV box;Duke lidhur pajisjen Vodafone TV
popups.reboot.misc;Reboot in %1;Rindiz në %1
notification.recording.start;Recording;Regjistrim në vazhdim
date.format.day5;Friday;E Premte
firstInstall.helloScreen.description.foundAccount;Nearly done;Pothuajse mbaruam
firstInstall.wifiNetworkConnectingScreen.description;Connecting to your Wi-Fi network;Duke u lidhur me rrjetin Wi-Fi
settings.network.advanced.dhcp;Auto setup;Instalim Automatik
settings.remote.remotePairNewDevice.step0.failed.description;Sorry, you pressed the wrong buttons: press and hold the 3 and yellow buttons together for 5 seconds.;Provo përsëri. Shtyp butonin 3 dhe atë të verdhë njëkohësisht për 5 sekonda.
change language;Change language;Ndrysho gjuhën
firstInstall.manualNetworkConfigurationScreen.description;Please enter your network details using the number keys.;Vendos detajet e rrjetit
settings.premiumChannels.hide;Hide;Fshih
settings.premiumChannels.show;Show;Shfaq
pinEntry.parentalPinCode;Enter your PIN;Vendos PIN
settings.remote.remotePairNewDevice.step2.description;Great, your remote is now paired;Telekomanda u lidh me sukses
pinEntry.masterPinCode;Enter your PIN;Vendos PIN
settings.recordings.deleteAllQuestion;Are you sure you want to delete all recordings?;Je i sigurt që do të fshish të gjitha regjistrimet?
settings.recordings.autoDeleteQuestion;Are you sure you want to activate the auto delete feature?;Je i sigurt që do të fshish automatikisht regjistrimet?
pinEntry.successful;PIN confirmed;PIN u konfirmua
popups.upgrade.title;Software upgrade about to start;Përditësimi i pajisjes Vodafone TV po fillon
firstInstall.getHelpScreen.channels.description;Once your TV aerial is connected, start scanning for channels.;Sigurohu që kablli është vendosur dhe<br/>fillo skanimin për kanale.
settings.systemConfigurations.factoryReset.popup;<p>Are you sure you want to restore to factory settings? This will delete any customised settings.<br/>Don't worry, your recordings won't be deleted.</p>;<p>Je i sigurt që do të rikthesh cilësimet e gjendjes fillestare? Do të duhet të instalosh pajisjen përsëri.<br/>Mos u shqetëso, regjistrimet e tua nuk do të fshihen.</p>
firstInstall.wiredNetworkSearchScreen.manual.description;Trying to connect;Duke tentuar lidhjen
firstInstall.wiredNetworkSearchScreen.description;Please make sure your Ethernet cable is plugged in.;Sigurohu që <br/> kablli Ethernet <br/> të jetë i lidhur.
firstInstall.getHelpScreen.wifi.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;Për më shumë informacion vizito <br/>vodafone.al/vodafone-tv
firstInstall.getHelpScreen.wired.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;Për më shumë informacion vizito <br/>vodafone.al/vodafone-tv
firstInstall.remotePairLaterScreen.description;If you can't pair your remote now, don't worry – you can always pair it later and it'll still work in the meantime when you point it at the box.;Lidhja me telekomandën mund të kryhet në<br/>një datë të mëvonshme tek Cilësimet<br/>, kështu që nuk duhet të<br/>drejtosh telekomandën drejt pajisjes.
settings.network.noInternet;;Nuk ka asnjë lidhje interneti. Kontrollo ruterin dhe provo përsëri.
firstInstall.wifiNetworkErrorScreen.noLink;;SC106: Lidhja me Wi-Fi dështoi. Kontrollo ruterin dhe provo përsëri.
settings.network.lan.noLink;;SC022: Mungon kablli Ethernet. Vendos edhe njëherë kabllin dhe provo përsëri.
firstInstall.wiredNetworkScreen.noLink;;SC021: Mungon kablli Ethernet. Vendos edhe njëherë kabllin dhe provo përsëri.
notification.network.error;;SC014: Gabim në lidhjen me shërbimin. Kontrollo lidhjen e internetit për probleme.
programInfo.rentalExpiresOn;;Qiraja skadon në %1
Available to Purchase;;Në dispozicion për t'u blerë
Smart TV FTU UDID;;UDID : %1
adult.hidden.description;;Kjo përmbajtje është e kyçur për shkak të kontrollit prindëror
adult.hidden.title;;Përmbajtja e fshehur
adult.visible.title;;Të rritur
advertising.notification.description;;Videoja do të vazhdojë të luhet automatikisht pas reklamës
advertising.notification.personalizedAds.cannotWatch.description;;Për të parë këtë përmbajtje, duhet të pajtohesh që do të kesh reklama të personalizuara.
advertising.notification.personalizedAds.cannotWatch.title;;Personalizimi i reklamave
advertising.notification.personalizedAds.optIn;;Për të mos pasur reklama të personalizuara, shko te Cilësimet/Privatësia/Pëlqimi i Privatësisë së Palës së Tretë
advertising.notification.personalizedAds.optOut;;Për të personalizuar reklamat shko te Cilësimet/Privatësia/Pëlqimi i Privatësisë së Palës së Tretë
advertising.notification.title;;Pushim reklamash
advertising.overlay.count;;Reklama %1 nga %2
alexa.EnablewithoutSetup.text;;"Pa u identifikuar, Alexa gjithsesi do të kërkojë seriale dhe filma TV, do të kontrollojë shfaqjen, do të rregullojë volumin dhe do të bëjë shaka. Për të përfunduar konfigurimin në çdo kohë, shko te Cilësimet Alexa dhe lidh llogarinë Amazon <br><br><span class= ""subtext"">Amazon përpunon ndërveprimet Alexa në cloud. Duke zgjedhur ""Aktivizo Alexa"", pranon të gjitha kushtet dhe afatet. Mëso më shumë rreth kushteve dhe privatësisë së Alexa duke përdorur links më poshtë.</span>"
alexa.EnablewithoutSetup.title;;Të aktivizohet Alexa pa konfigurim?
alexa.alexaDisableScreen.cancelButton;;Anullo
alexa.alexaDisableScreen.confirmButton;;Konfirmo
alexa.alexaDisableScreen.text;;Nuk do të jesh më në gjendje të përdorësh Alexa me këtë pajisje.
alexa.alexaDisableScreen.title;;Çaktivizo Alexa?
alexa.alexaSettignDefaultScreen.buttonSetUp;;Konfiguro Alexa
alexa.alexaSettingDefaultScreen.buttonLanguage;;Gjuha e Alexa
alexa.alexaSettingDefaultScreen.buttonSignout;;Dil
alexa.alexaSettingDefaultScreen.buttonTermsAndConditions;;Kushtet dhe Afatet
alexa.alexaSetupScreen.description;;Zgjidh Rifresko Kodin nëse ke ndonjë problem duke përdorur kodin e dhënë dhe provo përsëri.
alexa.alexareadyscreen.ia.information;;Për të aktivizuar veçori shtesë si muzika, moti dhe kontrolli inteligjent i shtëpisë, shko te <span>Cilësimet > Asistentët Zanorë > Amazon Alexa</span> në cdo kohë për të lidhur llogarinë tënde në Amazon.
alexa.alexareadyscreen.ia.term1;;"""Alexa, ngri volumin"""
alexa.alexareadyscreen.ia.term2;;"""Alexa, më trego filma aksion"""
alexa.alexareadyscreen.ia.term3;;"""Alexa, çfarë ka në TV sonte?"""
alexa.alexareadyscreen.information;;Për të mësuar më shumë rreth asaj që mund të bëjë Alexa, shkarko aplikacionin Amazon Alexa nga Google Play ose App Store.
alexa.alexareadyscreen.subtitle;;Në telekomandën tënde, <b> shtyp dhe mbaj shtypur</b> butonin e mikrofonit dhe provo të thuash:
alexa.alexareadyscreen.term1;;"""Alexa, ngri volumin"""
alexa.alexareadyscreen.term2;;"""Alexa, më trego parashikimin e fundjavës"""
alexa.alexareadyscreen.term3;;"""Alexa, cila është përditësimi im sportiv?"""
alexa.alexareadyscreen.term4;;"""Alexa, kërko filma aksion"""
alexa.alexareadyscreen.term5;;"""Alexa, luaj video muzikore pop"""
alexa.alexareadyscreen.vsb.information;;informacioni alexa gati për ekranin vsb
alexa.alexareadyscreen.vsb.subtitle;;Në pajisjen tënde, thjesht provo të thuash:
alexa.alexareadyscreen.vsb.term1;;"""Alexa, më trego parashikimin e fundjavës"""
alexa.alexareadyscreen.vsb.term2;;"""Alexa, cila është përditësimi im sportiv?"""
alexa.alexareadyscreen.vsb.term3;;"""Alexa, shto qumësht në listën time të blerjeve"""
alexa.alexareadyscreen.vsb.term4;;"""Alexa, luaj këngë pop nga vitet '90"""
alexa.alexareadyscreen.vsb.term5;;"""Alexa, kush është Brad Pitt?"""
alexa.alexareadyscreen.vsb.term6;;"""Alexa, vendos muzikë regaton"""
alexa.authError;;Diçka shkoi keq. Të lutem provo përsëri
alexa.card.canDoMore;;Alexa mund të bëjë më shumë
alexa.card.connect;;Lidh
alexa.card.connectAmazonAccount;;Lidh llogarinë tënde Amazon për të aktivizuar veçori si moti, kontrolli smart i shtëpisë dhe më shumë
alexa.defaultScreen.description;;Alexa të lejon të përdorësh zërin për të gjetur dhe luajtur filma dhe shfaqje televizive, të bësh pyetje, të kontrollosh motin, të transmetosh muzikë, të kontrollosh shtëpinë në mënyrë të zgjuar dhe të tjera.
alexa.defaultScreen.subDescription;;"Amazon përpunon ndërveprimet Alexa në cloud. Duke zgjedhur ""Enable Alexa"", pranon të gjitha kushtet. Mund të mësosh më shumë për kushtet dhe privatësinë e Alexa duke përdorur links më poshtë"
alexa.defaultscreen.buttonDisable;;Çaktivizo
alexa.defaultscreen.buttonSigneIn;;Hyr në Alexa
alexa.defaultscreen.buttonTermOfUse;;Kushtet e Përdorimit
alexa.defaultscreen.devicename;;Emri i pajisjes
alexa.defaultscreen.signedInAs;;I identifikuar si
alexa.enablePopup.title;;Dëshiron të aktivizosh zërin?
alexa.enableWithoutSetup.ok;;Provo Alexa
alexa.enablevoicesubMsg;;Kontrolli zanor në telekomandën tënde nuk është aktivizuar ende
alexa.errorScreen.button.retry;;Provo sërish
alexa.isReadyTitle;;Alexa është gati
alexa.notification.signout.body;;mund të zgjedhësh të aktivizosh përsëri te cilësimet
alexa.notification.signout.header;;Alexa është çaktivizuar
alexa.popup.tryAlexa.title;;Provo Amazon Alexa pa një llogari
alexa.setUpScreen.Goto;;Shko
alexa.setUpScreen.description;; në telefonin ose kompjuterin tënd dhe vendos këtë kod
alexa.setUpScreen.later;;Bëje më vonë
alexa.setUpScreen.refreshCode;;Rifresko Kodin
alexa.setUpScreen.title;;Lidh llogarinë tënde Amazon
alexa.termandConditionScreen.title;;Kushtet & Afatet
alexa.termsOfUseScreen.title;;Kushtet e Përdorimit të Alexa
apps.myApps.add.added;;Shtuar
apps.myApps.add.titleAppAdd;;Aplikacionet e Mia
apps.myApps.add.titleAppAddDescription;;%1 aplikacioni u shtua me sukses
apps.myApps.add.titleAppRemove;;Aplikacionet e Mia
apps.myApps.add.titleAppRemoveDescription;;%1 aplikacioni u fshi me sukses
apps.myApps.add.titleMaxDescription;;Të lutem hiq aplikacione nga lista jote e preferuar për të shtuar një të re
apps.myApps.add.titleMaxLimit;;Aplikacionet e Mia
apps.myApps.delete.remove;;Hiq
apps.myApps.reorder.moved;;Lëviz
apps.rail.recentApps;;Aplikacionet e fundit
badging.acronym.audioDescription;;AD
badging.acronym.closedCaption;;CC
badging.acronym.signLanguage;;SL
badging.acronym.subtitles;;S
badging.airsNow;;Tani
badging.airsOnDateAndTime;;Transmetohet në
badging.availableToPurchase;;Në dispozicion për t'u blerë
badging.availableToPurchaseAndExpiration;;"""% 1 ditë blerja e disponueshme nga % 2"""
badging.availableToSubscribe;;Në dispozicion për t'u abonuar
badging.failedOn;;Dështoi në
badging.partiallyRecordedOn;;Pjesërisht e regjistruar në
badging.purchased;;Blerë
badging.recordableEpisode;;Shto episodin te regjistrimet tani
badging.recordableSeries;;Shto të gjitha episodet te regjistrimet tani
badging.recordedOn;;Regjistruar më
badging.recordingNow;;Regjistro tani
badging.recordingScheduled;;E planifikuar
badging.scheduled;;E planifikuar
badging.subscribed;;Në dispozicion për t'u parë si pjesë e abonimit tënd
badging.subscribedTo;;Pjesë e %1 tuaj
badging.upcomingCatchUp;;Mund të shikohet së shpejti në Catch Up
bluetooth.fullplayer.audioprofile;;Profili Audio
bluetooth.fullplayer.collapse;;Shpërbë
bluetooth.fullplayer.connected;;Lidhur
bluetooth.fullplayer.exit;;Dil
bluetooth.fullplayer.unknownTrackAlbum;;Album i panjohur
bluetooth.fullplayer.unknownTrackArtist;;Artist i panjohur
bluetooth.fullplayer.unknownTrackTitle;;Pjesë e panjohur
bluetooth.popup.buttons.connect;;Lidh
bluetooth.subtitle;;Valido?
bluetoothConnect.subtitle;;Konfirmo ?
bluetoothConnect.title;;Dëshiron të aktivizosh zërin ?
bluetoothConnection.title;;Do të lidhesh me këtë pajisje
bluetoothDisconnect.title;;Zgjidh atë që dëshiron të bësh
buttons.filesFormat.3d;;3D
buttons.filesFormat.4K;;UHD
buttons.filesFormat.HD;;HD
buttons.filesFormat.SD;;SD
cableRegio.scanSummary.description.success;;%1 kanale të gjetura: <br/> %2 Internet %3 Tokësore %4 Radio
cableRegio.scanSummary.title;;Rezultatet e skanimit të kanalit
cancelMultipleSeries.popup.subtitle;;Nuk mund ta anullosh këtë hap.
cancelMultipleSeries.popup.title;;Je i sigurt që dëshiron të anullosh %1 të regjistrimeve të tua?
cancelSeries.subtitle;;Je i sigurt?
cancelSeries.title;;Anullo Serinë?
channelScan.completed;;Skanimi i kanaleve përfundoi
channelScan.error;;Gabim në skanimin e kanaleve
clashManagementScreen.availableAsCatchup;;E disponueshme si Catch-Up
clashManagementScreen.recording;;Regjistrime %1
clashManagementScreen.repeatsOn;;Përsëritet në %1
clashManagementScreen.reschedule;;Riskedulo
clashManagementScreen.subtitle;;Për të regjistruar %1 zgjidh një nga opsionet e mëposhtme.
clashManagementScreen.title;;Ke shumë regjistrime lokale
common.back;;Pas
common.blockedContent;;
common.browseAll;;Shfleto Të gjitha
common.buyStorage;;Bli Hapësirë për ruajtje
common.deselectAll;;Anulo zgjedhjen për të gjitha
common.disconnect;;Shkëput
common.hideAll;;Fshih të gjitha
common.min;;%1 min.
common.noThanks;;Jo faleminderit
common.other;;Të tjera
common.reorder;;riorganizo
common.searchOn;;Kërko në
common.selectAll;;Zgjidh Të gjitha
common.showAll;;Shfaq të gjitha
common.subscribe;;Abonohu
common.tvGuide;;Programi Televiziv
common.unpair;;Shkëput lidhjen
common.welcomeTo;;Mirë se vjen në
continueWatching.household;;Pajisja ime
date.format.duration.day;;ditë
date.format.duration.days;;ditë
date.format.duration.hour;;orë
date.format.duration.hours;;orë
date.format.duration.minute;;minutë
date.format.duration.minutes;;minuta
date.format.duration.month;;muaj
date.format.duration.months;;muaj
date.format.duration.second;;sekondë
date.format.duration.seconds;;sekonda
date.format.duration.short.hours;;h
date.format.duration.short.minutes;;m
date.format.duration.short.seconds;;s
date.format.duration.year;;vit
date.format.duration.years;;vjet
deleteMultipleSeries.popup.protectedSubtitle;;Ka %1 regjistrime të mbrojtura në përzgjedhjen tënde. Dëshiron të vazhdosh me fshirjen?
deleteMultipleSeries.popup.subtitle;;Nuk mund ta anullosh këtë hap.
deleteMultipleSeries.popup.title;;Je i sigurt që dëshiron të fshish %1 të regjistrimeve të tua?
deleteSeries.delete;;Fshi Seritë
deleteSeries.subtitle;;Je i sigurt?
deleteSeries.title;;Fshi Seritë
deleteSingleSeries.popup.subtitle;;Dëshiron të zgjedhësh të gjithë serinë apo episode individuale?
deleteSingleSeries.popup.title;;Seritë e zgjedhura
detailsConfirmPurchaseScreen.audioTitle;;Audio
detailsConfirmPurchaseScreen.detailsTitle;;Detajet
detailsConfirmPurchaseScreen.subtitlesTitle;;Titra
epg.adultProgram.hidden.description;;Kontrollet Prindërore nuk lejojnë këtë program që të shfaqet pa vendosur PIN. Për ta ndryshuar këtë të lutem shko tek cilësimet.
epg.adultProgram.hidden.name;;Programi është i fshehur
epg.adultProgram.hidden.subtitle;;Ndrysho cilësimet prindërore për të parë
epg.adultProgram.locked.description;;Kontrollet Prindërore nuk lejojnë këtë program që të shfaqet pa vendosur PIN. Për ta ndryshuar këtë të lutem shko tek cilësimet.
epg.adultProgram.locked.name;;Kyçur
epg.allChannels;;Të gjitha kanalet
epg.channel.locked.name;;Kyçur
epg.filters.all;;Të gjitha
epg.filters.allChannels;;Të gjitha kanalet
epg.filters.hdchannels;;Kanale HD
epg.filters.juststarted;;Sapo ka filluar
epg.filters.mostWatched;;Më të ndjekurat
epg.filters.subscribedChannels;;Kanalet e abonuara
epg.filters.title;;Përzgjidh Filtrin e Kanalit
epg.program.locked.description;;Kontrollet Prindërore nuk lejojnë këtë program që të shfaqet pa futur PIN. Për ta ndryshuar këtë të lutem shko tek cilësimet.
epg.summary.duration;;Kohëzgjatja
epg.summary.origin;;Origjina
epg.summary.releaseDate;;Data e Lëshimit
error.actionNotAllowed;;Nuk është e mundur të kryhet ky veprim
error.default;;Diçka shkoi keq.
error.mdw.network.configurationGetFailed;;Leximi i konfigurimit të rrjetit dështoi.
error.mdw.network.configurationSetFailed;;Shkrimi i konfigurimit të rrjetit dështoi
error.netflix.esn;;Netflix ESN nuk është e vlefshme.
error.player.broadcast.cannotResolve;;Nuk mund të zgjidhet URI e kanalit IP.
error.player.broadcast.cannotTune;;Kanali nuk është i sintonizuar dhe nuk mund të hapet.
error.player.broadcast.channelChangeInterrupted;;Kalimi i kanalit u ndërpre.
error.player.broadcast.channelNotFound;;Kanali i kërkuar nuk u gjet.
error.player.broadcast.channelNotSupported;;Kanali nuk mund të shfaqet.
error.player.broadcast.channelParentalLock;;Kontrolli prindëror në kanal.
error.player.broadcast.channelRecordingOngoing;;Kanali nuk mund të ndryshohet, sepse aktualisht është duke u regjistruar.
error.player.broadcast.encryptedChannel;;Mungon kanali ose çelësi / moduli i koduar.
error.player.broadcast.insufficientBandwidth;;Kapacitet i pamjaftueshëm.
error.player.broadcast.insufficientResources;;Burime të pamjaftueshme në dispozicion për të shfaqur kanalin.
error.player.broadcast.tunerLocked;;Sintonizimi është mbyllur nga një objekt tjetër.
error.player.broadcast.unknownChannel;;Kanal i panjohur.
error.player.broadcast.unrealized;;Kanali nuk mund të ndryshohet.
error.player.oipf.connectionLost;;Nuk mund të lidhet me serverin ose lidhja humbi.
error.player.oipf.corrupt;;Përmbajtja është e korruptuar ose e pavlefshme.
error.player.oipf.format;;Formati A/V nuk ofrohet.
error.player.oipf.insufficientResources;;Burime të pamjaftueshme.
error.player.oipf.positionUnavailable;;Përmbajtja nuk është e disponueshme në pozicionin e caktuar.
error.player.oipf.unavailable;;Përmbajtja nuk është e disponueshme.
error.player.unidentified;;SB501 Kanali nuk është i abonuar
error.purchase.er.PPVPurchased;;PPV e blerë.
error.purchase.er.accountNotValid;;Llogari e pavlefshme.
error.purchase.er.collectionPurchased;;Koleksioni u ble.
error.purchase.er.configNotFound;;Nuk u gjet asnjë konfigurim.
error.purchase.er.couponNotValid;;Kuponi nuk është i vlefshëm.
error.purchase.er.free;;Falas.
error.purchase.er.incorrectPrice;;Çmimi i pasaktë.
error.purchase.er.insufficientFunds;;Fonde të pamjaftueshme.
error.purchase.er.invalidUser;;Përdorues i pavlefshëm.
error.purchase.er.notInDomain;;Përdoruesi nuk është në rrjet.
error.purchase.er.notPurchasable;;Jo për blerje.
error.purchase.er.pgChargeIDRequired;;Kërkohet ID e tarifës së portës së pagesës.
error.purchase.er.pgNoResponse;;Asnjë përgjigje nga porta e pagesës.
error.purchase.er.pgNotExist;;Porta e pagesës nuk ekziston.
error.purchase.er.pgNotSet;;Porta e pagesës nuk është caktuar për grupin e pajisjeve të tua.
error.purchase.er.pgUnknownResponse;;Përgjigje e panjohur e portës së pagesës.
error.purchase.er.retryLimitExceeded;;Nuk mund të riprovosh më.
error.purchase.er.signatureMismatch;;Mospërputhje e nënshkrimit.
error.purchase.er.subscriptionOnly;;Vetëm për abonime të blera.
error.purchase.er.subscriptionPurchased;;Abonimi u ble.
error.purchase.er.unknownPPV;;Moduli i panjohur PPV.
error.purchase.er.unknownReason;;Arsye e panjohur.
error.purchase.er.unknownTransactionState;;Gjendje e panjohur e transaksionit.
error.purchase.er.unknownUser;;Përdorues i panjohur.
error.purchase.er.userNotExist;;Përdoruesi nuk ekziston.
error.purchase.er.userSuspended;;Përdoruesi u pezullua.
error.purchase.unidentified;;Gabim i paidentifikuar gjatë blerjes.
error.token.store.failed;;Ruajtja e Auth Tokens dështoi
error.userAccountSuspended;;Llogaria jotej është pezulluar 
error.userActionSuspended;;Llogaria jote është pezulluar
explanatoryCard.localQuotaLimit.info;;Hapësira jote lokale është e ulët. Ke <br/>%1 të hapësirës lokale të mbetur.
explanatoryCard.localQuotaLimit.statusContent;;Menaxho regjistrimet lokale
explanatoryCard.localQuotaLimit.title;;Hapësira lokale e ulët
explanatoryCard.mytv.external.myTVRecommendations;;Këtu do të shohësh rekomandimin për ty nga On Demand dhe atë që po shfaqet në TV bazuar në atë që ke parë, regjistruar ose marrë me qira më parë.
explanatoryCard.mytv.purchasesAndRentals;;Merr me qira filma nga Vodafone Films dhe shikoji këtu.
explanatoryCard.mytv.recommendations;;Rekomandimet e tua mund t’i gjesh këtu
explanatoryCard.mytv.recommendations.recommendationsOptIn;;Mos humb programe të përshtatura për ty bazuar në ato që shikon, regjistron ose merr me qira. Shtyp OK për të aktivizuar Rekomandimet.
explanatoryCard.mytv.recommendations.title;;Filma dhe seriale televizive që duhet të shikosh
explanatoryCard.mytv.recordings;;Shiko dhe menaxho këtu regjistrimet e tua.
explanatoryCard.mytv.rentals;;Merr me qira filma nga Vodafone Films dhe shikoji këtu.
explanatoryCard.mytv.scheduledRecordings;;Programet që ke vendosur të regjistrosh do të shfaqen këtu.
explanatoryCard.mytv.title;;My TV
explanatoryCard.mytv.watchnext;;Rifillo programet që tashmë ke filluar të shikosh.
explanatoryCard.mytv.watchnext.recommendationsOptIn;;Për të parë kalimthi të gjitha programet që dëshiron të vazhdosh të shikosh, regjistrimet e fundit dhe filmat me qira, shtyp OK për të aktivizuar Rekomandimet.
explanatoryCard.mytv.watchnext.title;;Programet e tua më të rëndësishme
explanatoryCard.mytv.welcomeTo;;Mirësevjen në
explanatoryCard.mytv.welcomeToMyTV;;Mirësevjen në MyTV
explanatoryCard.mytv.wishlist;;Ruaj & shëno filmat dhe programet televizive On Demand duke i shtuar ato në Watchlist për t'i gjetur më lehtë me vonë.
explanatoryCard.ondemand.recommendationsOptIn;;Mos humb programet e përshtatura për ty bazuar në atë që shikon, regjistron ose merr me qira. Shtyp OK për të aktivizuar Rekomandimet.
explanatoryCard.ondemand.title;;Rekomandimet OnDemand
