key;en-GROUP;cs-CZ-x-CZ text
settings.audioAndVisual.audioOutput;Audio output;Audio výstup
settings.audioAndVisual.audioOutput.stereo;Stereo;Stereo
settings.audioAndVisual.audioOutput.dolbyAudio;Dolby Audio;Dolby Audio
settings.audioAndVisual.hdmiAudioOutput;HDMI audio output;Výstup zvuku HDMI
settings.audioAndVisual.on;On;Zapnuto
settings.audioAndVisual.off;Off;Vypnuto
settings.audioAndVisual.screenResolution.576p;576p;576p
settings.audioAndVisual.screenResolution.720p;720p;720p
settings.audioAndVisual.screenResolution.1080p;1080p;1080p
settings.audioAndVisual.screenResolution.4k;4K;4K
settings.systemConfigurations.powerSaving;Power;Napájení
settings.powerSaving.quickBoot;Power saving mode;Úsporný režim
settings.powerSaving.autoStandbyTime;Auto standby time;Automatický pohotovostní režim
settings.powerSaving.autoStandbyTime.3h;3 hours;3 hodiny
settings.powerSaving.autoStandbyTime.6h;6 hours;6 hodin
settings.powerSaving.autoStandbyTime.12h;12 hours;12 hodin
settings.powerSaving.autoStandbyTime.off;Off;Vypnuto
settings.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for <insert>. Please choose an option:;Nalezeno více oblastí pro <strong>%1 %2 </ strong>. Který kanál upřednostňujete?:
popups.powerSaving.buttons.cancel;Cancel standby;Zrušit pohotovostní režim
popups.powerSaving.buttons.adjust;Change auto standby;Změna pohotovostního režimu
network.ipAddress;IP address;IP adresa
network.subnetMask;Subnet mask;Maska podsítě
network.defaultGateway;Default gateway;Výchozí brána
network.primaryDNS;Primary DNS;Primární DNS
network.secondaryDNS;Secondary DNS;Sekundární DNS
serieInfo.recordEpisode;Record episode;Nahrát díl
serieInfo.recordSeries;Record series;Nahrát seriál
serieInfo.season;Season;SÉRIE
popups.upgrade.buttons.updateNow;Update now;Aktualizovat nyní
popups.reboot.buttons.rebootNow;Reboot now;Restartujte nyní
popups.wifi.buttons.tryAgain;Try again;Zkusit znovu
popups.storage.misc;0;0
popups.storage.buttons.manage;Manage my recordings;Spravovat Mé nahrávky
popups.storage.buttons.enableAutoDelete;Enable auto delete;Povolit automatické mazání
popups.continueWatching.buttons.next;Next episode;Další díl
popups.continueWatching.buttons.startOver;Restart;Od začátku
popups.maintenance.message;An update is scheduled for your TV box;Pro Vodafone TV Box je naplánována aktualizace.
maintenance.wait;Update in progress, please wait.;Prosím, čekejte ...
rails.more;More;Více
rails.moretitle;More %1;Další %1
rails.bucketMore;See more;Zobrazit více
badging.expires;Expires from %1 in %2 days;Vyprší z %1 za %2 dny/dnů
badging.recorded;Recorded;Nahráno
badging.protected;Protected recording;Chráněná nahrávka
badging.subtitles;Subtitles available;Dostupné titulky
badging.audioDescription;Audio description available;Dostupný zvukový popis
badging.wishList;Scheduled record;Přidáno do seznamu „Chci vidět“
badging.catchUp;Catch up;Sledovat nyní
badging.airsOn;Airs on %1;Začíná v
notification.recording.delete;Recording deleted;Nahrávka smazána
notification.recording.cancel;Recording cancelled;Nahrávání zrušeno
notification.recording.scheduled;Recording scheduled;Nahrávání naplánováno
notification.seriesRecording.cancel;Series record cancelled;Nahrávání seriálu zrušeno
notification.seriesRecording.delete;Series record deleted;Seriál smazán
notification.recording.protect;Recording protected;Chráněno proti smazání
notification.network.online;You're connected;Vaše zařízení je připojeno.
notification.purchase.success;Purchase made;Nákup proběhl v pořádku
notification.login.emptyToken;Empty token;Prázdný token
notification.battery.low;Your TV remote batteries are low, please replace them.;Vyměňte baterie v dálkovém ovladači k Vodafone TV
settings.warning.popup.parentalControlEnable;Turning on parental controls will enable your TV PIN. Are you happy to continue?;Prosím potvrďte. Je potřeba použít váš TV PIN (více na vodafone.cz/pece).
settings.ledBrightness.medium;Medium;Střední
programInfo.actionButtons.moreWatchOptions;More options;Možnosti sledování
notification.recording.unprotect;Unlocked - you can now record;Není nastavena ochrana nahrávky
common.confirm;Okay?;Potvrdit
keyboard.search.placeholder;Start searching;Vyhledávejte filmy, seriály, herce...
settings.warning.popup.masterPinDisable;Turning off your PIN will also turn off parental controls. Are you happy to continue?;Deaktivací kódu PIN se zruší nastavení Rodičovské kontroly. Chcete pokračovat?
settings.network.wifi.waiting;Connecting to your Wi-Fi network;Připojování k síti Wi-Fi ...
settings.tvChannels.abortingAutoScan;Stopping;Zastavuji operaci
settings.audioDescription.on;Turn on;Zapnout
settings.subtitles.on;Turn on;Zapnuto
popups.powerSaving.message;Vodafone TV will go into standby mode in %1s;Váš Vodafone TV Box během několika sekund přejde do pohotovostního režimu.
firstInstall.languageScreen.description;Choose your language;Zvolte jazyk
settings.parentalControls.changeMyPin;Change PIN;Změnit PIN
settings.parentalControls.changedPin;Your PIN has changed;Kód PIN byl změněn
settings.ledBrightness.high;High;Vysoký
settings.informations.buttons.connectivity;Internet;Internet
settings.ledBrightness.low;Low;Nízký
settings.remote.remotePairNewDevice;Pair remote;Spárování dálkového ovládače
settings.channelScan.auto;Scan;Vyhledávat
settings.powerSaving.quickBoot.hint;Turn power saving mode off for faster setup;Pro rychlejší spuštění vypněte úsporný režim
firstInstall.helloScreen.description.searchingAccount;Logging in to your Vodafone TV account;Připojování k účtu Vodafone TV
settings.systemConfigurations.subtitle;System info;Informace o systému
settings.network.advanced.configureIpAddress;Manual setup;Ruční nastavení
popups.continueWatching.misc;Continue watching: starting in %1;Pořad začíná za %1
firstInstall.buttons.manualIPConfig;Manual IP setup;Pokročilé
settings.systemConfigurations;More settings;Další nastavení
settings.systemConfigurations.factoryReset;Reset;Resetovat
settings.informations.buttons.remoteControl;Remote;Dálkový ovladač
settings.network.advanced.waiting;Connecting your IP address to your TV box;Vodafone TV Box se připojuje
popups.reboot.misc;Reboot in %1;Restart proběhne za %1
notification.recording.start;Recording;Nahrávání probíhá
date.format.day5;Friday;pátek
firstInstall.helloScreen.description.foundAccount;Nearly done;Téměř hotovo
firstInstall.wifiNetworkConnectingScreen.description;Connecting to your Wi-Fi network;Připojování k Wi-Fi
settings.network.advanced.dhcp;Auto setup;Automatické nastavení
settings.remote.remotePairNewDevice.step0.failed.description;Sorry, you pressed the wrong buttons: press and hold the 3 and yellow buttons together for 5 seconds.;Zkuste to prosím znovu. Podržte současně tlačítko 3 a žluté tlačítko po dobu 5 sekund.
change language;Change language;Změnit jazyk
firstInstall.manualNetworkConfigurationScreen.description;Please enter your network details using the number keys.;Zadejte údaje o síti
settings.premiumChannels.hide;Hide;Skrýt
settings.premiumChannels.show;Show;Zobrazit
pinEntry.parentalPinCode;Enter your PIN;Zadejte PIN
settings.remote.remotePairNewDevice.step2.description;Great, your remote is now paired;Dálkový ovladač spárován
pinEntry.masterPinCode;Enter your PIN;Zadejte PIN
settings.recordings.deleteAllQuestion;Are you sure you want to delete all recordings?;Opravdu chcete smazat všechny nahrávky?
settings.recordings.autoDeleteQuestion;Are you sure you want to activate the auto delete feature?;Opravdu chcete mazat nahrávky automaticky?
pinEntry.successful;PIN confirmed;Kód PIN potvrzen
popups.upgrade.title;Software upgrade about to start;Vodafone TV Box se za moment začne aktualizovat
firstInstall.getHelpScreen.channels.description;Once your TV aerial is connected, start scanning for channels.;Zkontrolujte, zda je koaxiální kabel připojen, a spusťte<br/>vyhledávání kanálů.
settings.systemConfigurations.factoryReset.popup;<p>Are you sure you want to restore to factory settings? This will delete any customised settings.<br/>Don't worry, your recordings won't be deleted.</p>;<p>Opravdu chcete obnovit tovární nastavení? Svůj Box budete muset opět nastavit.<br/>Nemusíte se však bát, nahrávky vám zůstanou.</p>
firstInstall.wiredNetworkSearchScreen.manual.description;Trying to connect;Pokus o připojení
firstInstall.wiredNetworkSearchScreen.description;Please make sure your Ethernet cable is plugged in.;Ujistěte se, že je připojen<br/>ethernetový kabel<br/>.
firstInstall.getHelpScreen.wifi.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;Potřebujete-li další nápovědu, navštivte stránku<br/>vodafone.cz/pece
firstInstall.getHelpScreen.wired.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;Potřebujete-li další nápovědu, navštivte stránku<br/>vodafone.cz/pece
firstInstall.remotePairLaterScreen.description;If you can't pair your remote now, don't worry – you can always pair it later and it'll still work in the meantime when you point it at the box.;Dálkový ovladač lze spárovat<br/>později v sekci Nastavení<br/>, poté nebudete muset<br/>ovladačem mířit na Box.
settings.network.noInternet;;Nebylo nalezeno žádné připojení k internetu. Zkontrolujte prosím router a zkuste to znovu.
firstInstall.wifiNetworkErrorScreen.noLink;;Wi-fi spojení selhalo. Prosím zkontrolujte váš router a opakujte celou akci.
settings.network.lan.noLink;;SC022: Ethernetový kabel nebyl detekován. Opakujte zapojení kabelu.
firstInstall.wiredNetworkScreen.noLink;;Ethernetový kabel nebyl detekován. Opakujte zapojení kabelu.
notification.network.error;;Chyba zapojení služby. Zkontrolujte vaše internetové připojení.
programInfo.rentalExpiresOn;;Expiruje v %1
Available to Purchase;;Lze zakoupit.
Smart TV FTU UDID;;UDID: %1
adult.hidden.description;;Tento obsah je uzamčen kvůli rodičovským hodnocením
adult.hidden.title;;Skrytý obsah
adult.visible.title;;Pro dospělé
advertising.notification.description;;Video bude automaticky pokračovat po reklamě
advertising.notification.personalizedAds.cannotWatch.description;;Abyste mohli sledovat tento obsah, musíte souhlasit s personalizací reklam.
advertising.notification.personalizedAds.cannotWatch.title;;Personalizace reklamy
advertising.notification.personalizedAds.optIn;;Abyste neměli personalizované reklamy, běžte do Nastavení/Soukromí/Ochrana soukromí a osobních údajů u třetích stran
advertising.notification.personalizedAds.optOut;;Abyste dostávali personalizované reklamy, běžte do Nastavení/Soukromí/Ochrana soukromí a osobních údajů u třetích stran
advertising.notification.title;;Reklama
advertising.overlay.count;;Reklama %1 z %2
alexa.EnablewithoutSetup.text;;"Bez přihlášení se, Alexa bude nadále vyhledávat TV seriály a filmy, spravovat vysílání a říkat vtipy. Pro dokončení nastavení, běžte do Nastavení Alexy a připojte svůj Amazon účet.<br><br><span class= ""subtext"">Amazon procesuje interakce s Alexou v cloudu. Při výběru ""Povolit Alexu"", dáváte souhlas se všemi obchodními podmínkami. Více informací ohledně obchodních podmínek Alexy se můžete dozvědět přes odkaz níže.</span>"
alexa.EnablewithoutSetup.title;;Spustit Alexu bez nastavení?
alexa.alexaDisableScreen.cancelButton;;Zrušit
alexa.alexaDisableScreen.confirmButton;;Potvrdit
alexa.alexaDisableScreen.text;;Nebudete moci Alexu na tomto zařízení využívat.
alexa.alexaDisableScreen.title;;Zakázat Alexu?
alexa.alexaSettignDefaultScreen.buttonSetUp;;Nastavit Alexu
alexa.alexaSettingDefaultScreen.buttonLanguage;;Jazyk Alexa
alexa.alexaSettingDefaultScreen.buttonSignout;;Odhlásit
alexa.alexaSettingDefaultScreen.buttonTermsAndConditions;;Obchodní podmínky
alexa.alexaSetupScreen.description;;Vyberte Obnovit kód pokud máte problém s poskytnutým kódem a zkuste to znovu.
alexa.alexareadyscreen.ia.information;;Abyste povolili dodatečné komponenty jako je hudba, počasí a chytrá domácnost, běžte do <span>Nastavení > Hlasoví asistenti > Amazon Alexa</span> a připojte svůj Amazon účet.
alexa.alexareadyscreen.ia.term1;;"""Alexo, přidej hlasitost"""
alexa.alexareadyscreen.ia.term2;;"""Alexo, ukaž mi akční filmy"""
alexa.alexareadyscreen.ia.term3;;"""Alexo, co dnes večer dávají v televizi?"""
alexa.alexareadyscreen.information;;Abyste se dozvěděli více o tom, co Alexa umí, stáhněte si aplikaci Amazon Alexa z Google Play nebo z App Storu.
alexa.alexareadyscreen.subtitle;;Stiskněte a držte čudlík pro mikrofón a pak zkuste říct:
alexa.alexareadyscreen.term1;;"""Alexo, zvyš hlasitost"""
alexa.alexareadyscreen.term2;;"""Alexo, ukaž mi předpověď na víkend"""
alexa.alexareadyscreen.term3;;"""Alexo, jaké jsou novinky na můj sport?"""
alexa.alexareadyscreen.term4;;"""Alexo, hledej Akční filmy"""
alexa.alexareadyscreen.term5;;"""Alexo, zahraj popová hudební videa"""
alexa.alexareadyscreen.vsb.information;;
alexa.alexareadyscreen.vsb.subtitle;;Na vašem zařízení, zkuste říct:
alexa.alexareadyscreen.vsb.term1;;"""Alexo, ukaž mi předpověď počasí na víkend"""
alexa.alexareadyscreen.vsb.term2;;"""Alexo, jaké jsou novinky na můj sport?"""
alexa.alexareadyscreen.vsb.term3;;"""Alexo, přidej mléko na můj nákupní seznam"""
alexa.alexareadyscreen.vsb.term4;;"""Alexo, spusť popové písně z devadesátých let"""
alexa.alexareadyscreen.vsb.term5;;"""Alexo, kdo je Brad Pitt?"""
alexa.alexareadyscreen.vsb.term6;;"""Alexo, spusť reggaeton hudbu"""
alexa.authError;;Něco se pokazilo. Zkuste to prosím znovu.
alexa.card.canDoMore;;Alexa toho může udělat víc
alexa.card.connect;;Připojit
alexa.card.connectAmazonAccount;;Připojte svůj Amazon účet, abyste povolili funkce jako počasí, chytrou domácnost a další
alexa.defaultScreen.description;;Alexa vám umožňuje použít hlas k nalezení a spuštění filmů a seriálů. Dále jí můžete klást otázky, podívat se na počasí, pouštět hudbu, obsluhovat svou chytrou domácnost, a spoustu dalších věcí.
alexa.defaultScreen.subDescription;;"Amazon zpracovává interakce s Alexou na cloudu. Při volbě ""Povolit Alexu"" souhlasíte s obchodními podmínkami. Pro více informací klikněte na odkazy níže."
alexa.defaultscreen.buttonDisable;;Vypnout
alexa.defaultscreen.buttonSigneIn;;Přihlásit se do Alexy
alexa.defaultscreen.buttonTermOfUse;;Podmínky používání
alexa.defaultscreen.devicename;;Název zářízení
alexa.defaultscreen.signedInAs;;Připojit účet
alexa.enablePopup.title;;Chcete povolit hlasové ovládání?
alexa.enableWithoutSetup.ok;;Zkuste Alexu
alexa.enablevoicesubMsg;;Hlasové ovládání jste na svém ovladači zatím nepovolili
alexa.errorScreen.button.retry;;Zkusit znovu
alexa.isReadyTitle;;Alexa je připravena
alexa.notification.signout.body;;můžete ji znovu zapnout v nastavení
alexa.notification.signout.header;;Alexa byla vypnuta
alexa.popup.tryAlexa.title;;Vyzkoušejte Alexu bez účtu
alexa.setUpScreen.Goto;;Jdi na
alexa.setUpScreen.description;;zadejte na svém telefonu nebo PC tento kód
alexa.setUpScreen.later;;Později
alexa.setUpScreen.refreshCode;;Obnovit kód
alexa.setUpScreen.title;;Připojte svůj Amazon účet
alexa.termandConditionScreen.title;;Obchodní podmínky
alexa.termsOfUseScreen.title;;Podmínky použití Alexy
apps.myApps.add.added;;Přidáno
apps.myApps.add.titleAppAdd;;Moje aplikace
apps.myApps.add.titleAppAddDescription;;%1 aplikací úspěšně přidáno
apps.myApps.add.titleAppRemove;;Moje aplikace
apps.myApps.add.titleAppRemoveDescription;;%1 aplikací úspěšně odstraněno
apps.myApps.add.titleMaxDescription;;Odstraňte aplikace ze svých Oblíbených pro přidání nových aplikací
apps.myApps.add.titleMaxLimit;;Moje aplikace
apps.myApps.delete.remove;;Odstranit
apps.myApps.reorder.moved;;Přesunout
apps.rail.recentApps;;apps.rail.recentApps
badging.acronym.audioDescription;;AD
badging.acronym.closedCaption;;CC
badging.acronym.signLanguage;;SL
badging.acronym.subtitles;;S
badging.airsNow;;Právě se vysílá
badging.airsOnDateAndTime;;Vysílá se v
badging.availableToPurchase;;Lze zakoupit.
badging.availableToPurchaseAndExpiration;;"""%1 den(y) nákupu k dispozici od %2"""
badging.availableToSubscribe;;Lze předplatit
badging.failedOn;;Selhalo
badging.partiallyRecordedOn;;Částečně nahráno na
badging.purchased;;Zakoupeno
badging.recordableEpisode;;Přidat do nahrávek jeden díl
badging.recordableSeries;;Přidat do nahrávek všechny díly
badging.recordedOn;;Nahráno dne
badging.recordingNow;;Nahrávání
badging.recordingScheduled;;Naplánováno
badging.scheduled;;Naplánováno
badging.subscribed;;Lze sledovat v rámci vašeho předplatného
badging.subscribedTo;;Součástí vašeho %1
badging.upcomingCatchUp;;Brzy bude k dispozici v „Minulých dílech“
bluetooth.fullplayer.audioprofile;;Audio-profil
bluetooth.fullplayer.collapse;;Sbalit
bluetooth.fullplayer.connected;;Připojeno
bluetooth.fullplayer.exit;;Odejít
bluetooth.fullplayer.unknownTrackAlbum;;Neznámé album
bluetooth.fullplayer.unknownTrackArtist;;Neznámý umělec
bluetooth.fullplayer.unknownTrackTitle;;Neznámá skladba
bluetooth.popup.buttons.connect;;Připojit
bluetooth.subtitle;;Validovat?
bluetoothConnect.subtitle;;Ověřit?
bluetoothConnect.title;;Chcete povolit hlasové ovládání?
bluetoothConnection.title;;Budete připojeni k tomuto zařízení
bluetoothDisconnect.title;;Vyberte, co chcete udělat
buttons.filesFormat.3d;;3D
buttons.filesFormat.4K;;UHD
buttons.filesFormat.HD;;HD
buttons.filesFormat.SD;;SD
cableRegio.scanSummary.description.success;;%1 kanálů nalezeno:<br/>%2 Internetový %3 Terestriální %4 Rádiový
cableRegio.scanSummary.title;;Výsledek vyhledávání kanálů
cancelMultipleSeries.popup.subtitle;;Tento krok nelze vzít zpět.
cancelMultipleSeries.popup.title;;Jste si jistí, že chcete zrušit %1 svých nahrávek?
cancelSeries.subtitle;;Jste si jistí?
cancelSeries.title;;Zrušit nahrávání seriálu?
channelScan.completed;;Skenování kanálů dokončeno
channelScan.error;;Chyba skenování kanálů
clashManagementScreen.availableAsCatchup;;Dostupné jako catch-up
clashManagementScreen.recording;;Nahrávání 1%
clashManagementScreen.repeatsOn;;Opakování na 1%
clashManagementScreen.reschedule;;Přeplánovat
clashManagementScreen.subtitle;;K nahrání %1 zvolte z možností níže
clashManagementScreen.title;;Máte příliš mnoho lokálních nahrávek
common.back;;Zpět
common.blockedContent;;Nepřístupný obsah
common.browseAll;;Procházet vše
common.buyStorage;;Úložiště Vodafone TV
common.deselectAll;;Odznačit vše
common.disconnect;;Odpojit
common.hideAll;;Skrýt vše
common.min;;%1 min.
common.noThanks;;Ne, děkuji
common.other;;Další
common.reorder;;změnit pořadí
common.searchOn;;Hledat na
common.selectAll;;Označit vše
common.showAll;;Ukázat vše
common.subscribe;;Předplatit
common.tvGuide;;Televizní program
common.unpair;;Odpárovat
common.welcomeTo;;Vítejte
continueWatching.household;;Můj Box
date.format.duration.day;;den
date.format.duration.days;;dny/dnů
date.format.duration.hour;;Hodina
date.format.duration.hours;;h
date.format.duration.minute;;minuta
date.format.duration.minutes;;min.
date.format.duration.month;;měsíc
date.format.duration.months;;měsíce
date.format.duration.second;;sekunda
date.format.duration.seconds;;sekundy
date.format.duration.short.hours;;h
date.format.duration.short.minutes;;m
date.format.duration.short.seconds;;s
date.format.duration.year;;rok
date.format.duration.years;;roky
deleteMultipleSeries.popup.protectedSubtitle;;Ve vašem výběru je %1 chráněných nahrávek. Přesto smazat?
deleteMultipleSeries.popup.subtitle;;Tento krok nelze zrušit
deleteMultipleSeries.popup.title;;Opravdu chcete smazat %1 vašich nahrávek
deleteSeries.delete;;Smazat seriál
deleteSeries.subtitle;;Jste si jistí?
deleteSeries.title;;Smazat seriál
deleteSingleSeries.popup.subtitle;;Chcete vybrat celý seriál, nebo jednotlivé díly?
deleteSingleSeries.popup.title;;Seriál byl vybrán
detailsConfirmPurchaseScreen.audioTitle;;Zvuk
detailsConfirmPurchaseScreen.detailsTitle;;Detaily
detailsConfirmPurchaseScreen.subtitlesTitle;;Titulky
epg.adultProgram.hidden.description;;Rodičovská kontrola neumožňuje sledování tohoto pořadu bez zadání kódu PIN. Chcete-li toto změnit, přejděte do nastavení.
epg.adultProgram.hidden.name;;Pořad je skrytý.
epg.adultProgram.hidden.subtitle;;Změna rodičovského nastavení pořadů, které lze sledovat
epg.adultProgram.locked.description;;Rodičovská kontrola neumožňuje sledování tohoto pořadu bez zadání kódu PIN. Chcete-li toto změnit, přejděte do nastavení.
epg.adultProgram.locked.name;;Zamčeno
epg.allChannels;;Všechny kanály
epg.channel.locked.name;;Zamčeno
epg.filters.all;;Všechno
epg.filters.allChannels;;Všechny kanály
epg.filters.hdchannels;;HD kanály
epg.filters.juststarted;;Novinky
epg.filters.mostWatched;;Nejsledovanější
epg.filters.subscribedChannels;;Předplacené kanály
epg.filters.title;;Vyberte filtr kanálů
epg.program.locked.description;;Rodičovská kontrola neumožňuje sledování tohoto pořadu bez zadání kódu PIN. Chcete-li toto změnit, přejděte do nastavení.
epg.summary.duration;;Délka
epg.summary.origin;;Původ
epg.summary.releaseDate;;Datum vydání
error.actionNotAllowed;;Tuto akci nelze provést
error.default;;Něco se pokazilo.
error.mdw.network.configurationGetFailed;;Chyba čtení konfigurace sítě.
error.mdw.network.configurationSetFailed;;Chyba zápisu konfigurace sítě.
error.netflix.esn;;Netflix ESN není platný.
error.player.broadcast.cannotResolve;;Nelze vyřešit URI referenčního kanálu IP.
error.player.broadcast.cannotTune;;Nelze naladit daný transportní tok.
error.player.broadcast.channelChangeInterrupted;;Přepínání kanálu bylo přerušeno.
error.player.broadcast.channelNotFound;;Určený kanál nebyl v transportním toku nalezen.
error.player.broadcast.channelNotSupported;;Tuner tento kanál nepodporuje.
error.player.broadcast.channelParentalLock;;Kanál podléhá Rodičovské kontrole.
error.player.broadcast.channelRecordingOngoing;;Kanál nelze přepnout, protože se právě nahrává.
error.player.broadcast.encryptedChannel;;Šifrovaný kanál nebo chybí klíč/modul.
error.player.broadcast.insufficientBandwidth;;Nedostatečná šířka pásma.
error.player.broadcast.insufficientResources;;Nedostatečné prostředky k prezentaci daného kanálu.
error.player.broadcast.tunerLocked;;Tuner je uzamčen jiným objektem.
error.player.broadcast.unknownChannel;;Neznámý kanál.
error.player.broadcast.unrealized;;Kanál nelze změnit/Nerealizováno.
error.player.oipf.connectionLost;;Nelze se připojit k serveru nebo došlo ke ztrátě připojení.
error.player.oipf.corrupt;;Obsah je poškozený nebo neplatný.
error.player.oipf.format;;Formát A/V není podporován.
error.player.oipf.insufficientResources;;Nedostatečné zdroje.
error.player.oipf.positionUnavailable;;Obsah není v daném místě k dispozici.
error.player.oipf.unavailable;;Obsah není k dispozici.
error.player.unidentified;;Kanál není předplacený
error.purchase.er.PPVPurchased;;PPV zakoupeno.
error.purchase.er.accountNotValid;;Neplatný účet.
error.purchase.er.collectionPurchased;;Sbírka zakoupena.
error.purchase.er.configNotFound;;Nebyla nalezena žádná konfigurace.
error.purchase.er.couponNotValid;;Kupon není platný.
error.purchase.er.free;;Zdarma.
error.purchase.er.incorrectPrice;;Nesprávná cena.
error.purchase.er.insufficientFunds;;Nedostatečné finanční prostředky.
error.purchase.er.invalidUser;;Neplatný uživatel.
error.purchase.er.notInDomain;;Uživatel není v doméně.
error.purchase.er.notPurchasable;;Není k dispozici k nákupu.
error.purchase.er.pgChargeIDRequired;;Je třeba zadat ID platby pro platební bránu.
error.purchase.er.pgNoResponse;;Žádná odpověď od platební brány.
error.purchase.er.pgNotExist;;Platební brána neexistuje.
error.purchase.er.pgNotSet;;Platební brána není nastavena pro domácnost.
error.purchase.er.pgUnknownResponse;;Neznámá odpověď platební brány.
error.purchase.er.retryLimitExceeded;;Překročen počet opakování.
error.purchase.er.signatureMismatch;;Podpis nesouhlasí.
error.purchase.er.subscriptionOnly;;Pouze pro zakoupení předplatného.
error.purchase.er.subscriptionPurchased;;Předplatné zakoupeno.
error.purchase.er.unknownPPV;;Neznámý modul PPV.
error.purchase.er.unknownReason;;Neznámý důvod.
error.purchase.er.unknownTransactionState;;Neznámý stav transakce.
error.purchase.er.unknownUser;;Uživatel neznámý.
error.purchase.er.userNotExist;;Uživatel neexistuje.
error.purchase.er.userSuspended;;Uživatel byl pozastaven.
error.purchase.unidentified;;Neidentifikovaná chyba nákupu.
error.token.store.failed;;Nepodařilo se uložit Auth tokeny
error.userAccountSuspended;;Váš účet je pozastaven 
error.userActionSuspended;;Váš účet je pozastaven
explanatoryCard.localQuotaLimit.info;;Na lokálním úložišti máte už jen <br/>%1
explanatoryCard.localQuotaLimit.statusContent;;Spravovat lokální nahrávky
explanatoryCard.localQuotaLimit.title;;Málo místa na lokálním úložišti
explanatoryCard.mytv.external.myTVRecommendations;;Zde uvidíte doporučení ze sekce „Videotéka“ a pořadů, které právě běží v televizi, vytvořená přímo pro vás na základě programů, které jste sledovali, nahrávali nebo půjčovali v minulosti.
explanatoryCard.mytv.purchasesAndRentals;;Filmy si můžete vypůjčit ve „Vodafone Filmy“ a sledovat je zde.
explanatoryCard.mytv.recommendations;;Zde naleznete svá doporučení
explanatoryCard.mytv.recommendations.recommendationsOptIn;;Nenechte si ujít programy vybrané přímo pro vás na základě programů, které jste sledovali, nahrávali nebo půjčovali v minulosti. Chcete-li zapnout „Doporučení“, stiskněte OK.
explanatoryCard.mytv.recommendations.title;;Filmy a televizní pořady, které musíte vidět
explanatoryCard.mytv.recordings;;Sledujte a spravujte své nahrávky, přímo zde.
explanatoryCard.mytv.rentals;;Filmy si můžete vypůjčit ve „Vodafone Filmy“ a sledovat je zde.
explanatoryCard.mytv.scheduledRecordings;;Programy, které jste vybrali pro nahrávání, se zobrazí zde.
explanatoryCard.mytv.title;;Moje TV
explanatoryCard.mytv.watchnext;;K rozkoukaným pořadům se můžete snadno vrátit.
explanatoryCard.mytv.watchnext.recommendationsOptIn;;Chcete-li zobrazit přehled všech pořadů, na které se chcete dodívat, a vašich posledních nahrávek a vypůjčených filmů, stiskněte tlačítko OK, kterým zapnete „Doporučení“.
explanatoryCard.mytv.watchnext.title;;Nejdůležitější pořady, které musíte vidět
explanatoryCard.mytv.welcomeTo;;Vítejte
explanatoryCard.mytv.welcomeToMyTV;;Vítejte v MyTV
explanatoryCard.mytv.wishlist;;Uložte si filmy ze sekce „Videotéka“ a televizní pořady do seznamu „Chci vidět“, abyste se k nim později mohli snadno vrátit.
explanatoryCard.ondemand.recommendationsOptIn;;Nenechte si ujít programy vybrané přímo pro vás na základě programů, které jste sledovali, nahrávali nebo půjčovali v minulosti. Chcete-li zapnout „Doporučení“, stiskněte OK.
explanatoryCard.ondemand.title;;Doporučené filmy ze sekce „Videotéka“
explanatoryCard.quota.autoDelete;;Kapacita je téměř vyčerpaná. S dalšími naplánovanými nahrávkami se spustí automatické mazání od nejstarších nahrávek.
explanatoryCard.quota.title;;Úložiště Vodafone TV
explanatoryCard.railTitle.mytv.external.myTVRecommendations;;Zobrazit doporučení filmů a pořadů, které si nesmíte nechat ujít.
explanatoryCard.railTitle.mytv.purchasesAndRentals;;Výpůjčky
explanatoryCard.railTitle.mytv.recommendations;;Filmy a TV pořady, které můžete mít v oblibě.
explanatoryCard.railTitle.mytv.recordings;;Nahrávky
explanatoryCard.railTitle.mytv.rentals;;Výpůjčky
explanatoryCard.railTitle.mytv.scheduledRecordings;;Plánování nahrávek
explanatoryCard.railTitle.mytv.watchnext;;Pokračujte, kde jste přestali
explanatoryCard.railTitle.mytv.wishlist;;Chci vidět
explanatoryCard.related.recommendationsOptIn;;Nenechte si ujít programy vybrané přímo pro vás na základě programů, které jste sledovali, nahrávali nebo půjčovali v minulosti. Chcete-li zapnout „Doporučení“, stiskněte OK.
explanatoryCard.related.title;;Podobné
explanatoryCard.search.recommendationsOptIn;;Nenechte si ujít programy vybrané přímo pro vás na základě programů, které jste sledovali, nahrávali nebo půjčovali v minulosti. Chcete-li zapnout „Doporučení“, stiskněte OK.
explanatoryCard.search.title;;Výsledek je založen na vašich předchozích volbách
explanatoryCard.switchOn;;Zapnout
fastZap.barker.countdown;;Aplikace se otevře za <br/> <div>%1 sekundu </ div>
fastZap.upNext;;Další na programu
firstInstall.automaticRecordingsMoreInfoScreen.description;;Jednou z hlavních výhod Vodafone TV je možnost zpětně sledovat pořady z posledních 7 dní. Pořady v sekci „Minulé díly“ můžete spustit přímo přes „Televizní program“ nebo při sledování televize stisknutím šipek nahoru a dolů na dálkovém ovladači.<br/><br/>Souhlas nemá vliv na vaše širokopásmové připojení ani na úložiště, jedná se o čistě regulační požadavek.
