key;en-GROUP;it-IT-x-IT text
programInfo.actionButtons.rent;Rent;Noleggia
programInfo.actionButtons.confirm4K;Your current resolution is not 4K. To watch 4K content your TV must be 4K-ready. Are you sure you want to continue?;La risoluzione del tuo televisore non è 4K (Ultra HD). Per guardare i contenuti in 4K devi avere un televisore compatibile. Vuoi procedere ugualmente?
minutes.acronym;mins;min
minute.acronym;min;min
settings.audioAndVisual.audioOutput;Audio output;Uscita audio
settings.audioAndVisual.audioOutput.stereo;Stereo;Stereo
settings.audioAndVisual.audioOutput.dolbyAudio;Dolby Audio;Audio Dolby
settings.audioAndVisual.hdmiAudioOutput;HDMI audio output;Uscita Audio HDMI
settings.audioAndVisual.on;On;On
settings.audioAndVisual.off;Off;Off
settings.audioAndVisual.screenResolution.576p;576p;576p
settings.audioAndVisual.screenResolution.720p;720p;720p
settings.audioAndVisual.screenResolution.1080p;1080p;1080p
settings.audioAndVisual.screenResolution.4k;4K;4K
settings.systemConfigurations.powerSaving;Power;Modalità standby
settings.powerSaving.quickBoot;Power saving mode;Modalità standby
settings.powerSaving.autoStandbyTime;Auto standby time;Standby automatico
settings.powerSaving.autoStandbyTime.3h;3 hours;3 ore
settings.powerSaving.autoStandbyTime.6h;6 hours;6 ore
settings.powerSaving.autoStandbyTime.12h;12 hours;12 ore
settings.powerSaving.autoStandbyTime.off;Off;Spento
settings.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for <insert>. Please choose an option:;L'antenna ha trovato più opzioni per <strong>%1 %2</strong>. Seleziona una delle opzioni:
popups.powerSaving.buttons.cancel;Cancel standby;Annulla Standby
popups.powerSaving.buttons.adjust;Change auto standby;Modifica Auto Standby
network.ipAddress;IP address;Indirizzo IP
network.subnetMask;Subnet mask;Maschera di rete
network.defaultGateway;Default gateway;Gateway Predefinito
network.primaryDNS;Primary DNS;DNS primario
network.secondaryDNS;Secondary DNS;DNS secondario
serieInfo.recordEpisode;Record episode;Registra Episodio
serieInfo.recordSeries;Record series;Registra Serie
serieInfo.season;Season;STAGIONE
popups.upgrade.buttons.updateNow;Update now;Aggiorna
popups.reboot.buttons.rebootNow;Reboot now;Riavvia
popups.wifi.buttons.tryAgain;Try again;Riprova
popups.storage.misc;0;<div class='progressFull'></div>
popups.storage.buttons.manage;Manage my recordings;Gestisci le tue Registrazioni
popups.storage.buttons.enableAutoDelete;Enable auto delete;Attiva Auto-elimina
popups.continueWatching.buttons.next;Next episode;Prossimo episodio
popups.continueWatching.buttons.startOver;Restart;Riavvia
popups.maintenance.message;An update is scheduled for your TV box;È disponibile un nuovo aggiornamento per il tuo Vodafone TV Box: non spegnere.
maintenance.wait;Update in progress, please wait.;Aggiornamento in corso, attendi senza spegnere il tuo Vodafone TV Box
rails.more;More;Contenuti correlati:
rails.moretitle;More %1;Contenuti correlati %1
rails.bucketMore;See more;Vedi di più
badging.expires;Expires from %1 in %2 days;Scade tra %1 in %2 giorni
badging.recorded;Recorded;Registrato
badging.protected;Protected recording;Registrazione protetta
badging.subtitles;Subtitles available;Sottotitoli disponibili
badging.audioDescription;Audio description available;Audio descrizione disponibile
badging.wishList;Scheduled record;Aggiunto ai Preferiti
badging.catchUp;Catch up;Disponibile
badging.airsOn;Airs on %1;In onda
notification.recording.delete;Recording deleted;Registrazione interrotta
notification.recording.cancel;Recording cancelled;Registrazione cancellata
notification.recording.scheduled;Recording scheduled;Registrazione programmata
notification.seriesRecording.cancel;Series record cancelled;Registrazione Serie cancellata
notification.seriesRecording.delete;Series record deleted;Registrazione Serie interrotta
notification.recording.protect;Recording protected;Registrazione protetta
notification.network.online;You're connected;Sei connesso a internet
notification.purchase.success;Purchase made;Acquistato!
notification.login.emptyToken;Empty token;Elimina token
notification.battery.low;Your TV remote batteries are low, please replace them.;Batterie del telecomando quasi scariche
settings.warning.popup.parentalControlEnable;Turning on parental controls will enable your TV PIN. Are you happy to continue?;Attivando la Protezione Bambino si attiverà il PIN, vuoi continuare? (Vai su voda.it/VTVhelp)
settings.ledBrightness.medium;Medium;Medio
programInfo.actionButtons.moreWatchOptions;More options;Guarda
notification.recording.unprotect;Unlocked - you can now record;Registrazione non più protetta
common.confirm;Okay?;Conferma
keyboard.search.placeholder;Start searching;Cerca
settings.warning.popup.masterPinDisable;Turning off your PIN will also turn off parental controls. Are you happy to continue?;Se disattivi il PIN disattiverai anche la Protezione Bambino, vuoi continuare?
settings.network.wifi.waiting;Connecting to your Wi-Fi network;Connessione alla rete Wi-Fi in corso…
settings.tvChannels.abortingAutoScan;Stopping;Interrompi
settings.audioDescription.on;Turn on;Attiva
settings.subtitles.on;Turn on;Attiva
popups.powerSaving.message;Vodafone TV will go into standby mode in %1s;Il tuo Vodafone TV Box andrà in standby tra poco
firstInstall.languageScreen.description;Choose your language;Seleziona la lingua
settings.parentalControls.changeMyPin;Change PIN;Modifica PIN
settings.parentalControls.changedPin;Your PIN has changed;PIN modificato
settings.ledBrightness.high;High;Alto
settings.informations.buttons.connectivity;Internet;Connettività
settings.ledBrightness.low;Low;Basso
settings.remote.remotePairNewDevice;Pair remote;Associa nuovo telecomando
settings.channelScan.auto;Scan;Ricerca canali
settings.powerSaving.quickBoot.hint;Turn power saving mode off for faster setup;Disattiva la modalità standby per velocizzare l'accensione
firstInstall.helloScreen.description.searchingAccount;Logging in to your Vodafone TV account;Stiamo verificando il tuo account Vodafone...
settings.systemConfigurations.subtitle;System info;Informazioni di sistema
settings.network.advanced.configureIpAddress;Manual setup;Configurazione manuale
popups.continueWatching.misc;Continue watching: starting in %1;Continua a guardare: inizia tra %1
firstInstall.buttons.manualIPConfig;Manual IP setup;Setup manuale
settings.systemConfigurations;More settings;Altre configurazioni
settings.systemConfigurations.factoryReset;Reset;Ripristina configurazioni
settings.informations.buttons.remoteControl;Remote;Telecomando
settings.network.advanced.waiting;Connecting your IP address to your TV box;Connessione con Vodafone TV in corso…
popups.reboot.misc;Reboot in %1;Riavvio in %1
notification.recording.start;Recording;Registrazione in corso...
date.format.day5;Friday;Venerdì
firstInstall.helloScreen.description.foundAccount;Nearly done;Ci siamo quasi...
firstInstall.wifiNetworkConnectingScreen.description;Connecting to your Wi-Fi network;Connessione al Wi-Fi in corso…
settings.network.advanced.dhcp;Auto setup;Configurazione automatica
settings.remote.remotePairNewDevice.step0.failed.description;Sorry, you pressed the wrong buttons: press and hold the 3 and yellow buttons together for 5 seconds.;Non abbiamo rilevato il comando. Riprova premendo i tasti '3' e 'Giallo' per 5 secondi.
change language;Change language;Cambia lingua
firstInstall.manualNetworkConfigurationScreen.description;Please enter your network details using the number keys.;Configura manualmente la rete con la tastiera numerica del telecomando
settings.premiumChannels.hide;Hide;Nascondi
settings.premiumChannels.show;Show;Mostra tutti
pinEntry.parentalPinCode;Enter your PIN;Inserisci PIN
settings.remote.remotePairNewDevice.step2.description;Great, your remote is now paired;Il nuovo telecomando è stato associato
pinEntry.masterPinCode;Enter your PIN;Inserisci il tuo PIN
settings.recordings.deleteAllQuestion;Are you sure you want to delete all recordings?;Sei sicuro di voler cancellare tutte le tue registrazioni?
settings.recordings.autoDeleteQuestion;Are you sure you want to activate the auto delete feature?;Sei sicuro di voler attivare la cancellazione automatica delle tue registrazioni?
pinEntry.successful;PIN confirmed;Sbloccato con successo
popups.upgrade.title;Software upgrade about to start;Il tuo Vodafone TV Box è in fase di aggiornamento: non spegnere!
firstInstall.getHelpScreen.channels.description;Once your TV aerial is connected, start scanning for channels.;Dopo aver collegato l'antenna avvia la scansione canali.
settings.systemConfigurations.factoryReset.popup;<p>Are you sure you want to restore to factory settings? This will delete any customised settings.<br/>Don't worry, your recordings won't be deleted.</p>;Vuoi ripristinare le impostazioni iniziali?<br/>In questo caso, le configurazioni personalizzate verranno eliminate ma le tue registrazioni saranno ancora disponibili.
firstInstall.wiredNetworkSearchScreen.manual.description;Trying to connect;Connessione in corso...
firstInstall.wiredNetworkSearchScreen.description;Please make sure your Ethernet cable is plugged in.;Collega il TV Box alla Vodafone Station tramite il cavo Ethernet
firstInstall.getHelpScreen.wifi.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;Per info e supporto vai su voda.it/vtvhelp
firstInstall.getHelpScreen.wired.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;Vuoi collegare il TV Box tramite il cavo Ethernet?
firstInstall.remotePairLaterScreen.description;If you can't pair your remote now, don't worry – you can always pair it later and it'll still work in the meantime when you point it at the box.;Non preoccuparti: il telecomando funziona comunque! L'associazione ti permette di estenderne il raggio di utilizzo. Potrai associarlo in qualsiasi momento dalle Impostazioni.
settings.network.noInternet;;Verifica la connessione a Internet e riprova [SC115]. Vai su voda.it/vtvhelp
firstInstall.wifiNetworkErrorScreen.noLink;;Connessione Wi-Fi non riuscita. Assicurati che la Vodafone Station sia connessa ad internet e se necessario riavvia la connessione. Premi riprova. [SC106].
settings.network.lan.noLink;;Nessuna connessione rilevata. Collega il cavo Ethernet e riprova. Altrimenti prosegui collegandoti in Wi-Fi [SC022].
firstInstall.wiredNetworkScreen.noLink;;Cavo Ethernet non rilevato. Ricollega il cavo Ethernet o prosegui collegandoti in Wi-Fi. Premi riprova. [SC021]
notification.network.error;;Elaborazione richiesta... (SC014)
programInfo.rentalExpiresOn;;Disponibile fino a %1
Available to Purchase;;Disponibile per l'acquisto
Smart TV FTU UDID;;
adult.hidden.description;;Questo contenuto è bloccato per il parental rating della protezione bambino
adult.hidden.title;;Contenuto protetto
adult.visible.title;;adult.visible.title
advertising.notification.description;;Il video continuerà a essere riprodotto dopo la pubblicità
advertising.notification.personalizedAds.cannotWatch.description;;
advertising.notification.personalizedAds.cannotWatch.title;;
advertising.notification.personalizedAds.optIn;;
advertising.notification.personalizedAds.optOut;;
advertising.notification.title;;Interruzione pubblicitaria
advertising.overlay.count;;Pubblicità %1 di %2
alexa.EnablewithoutSetup.text;;"Senza la configurazione, Alexa continuerà a cercare programmi TV e film, controllare la riproduzione, regolare il volume e raccontare barzellette. Per terminare l'installazione in qualsiasi momento, vai su Impostazioni Alexa e collega il tuo account Amazon. <br><br><span class= ""subtext""> Amazon elabora interazioni Alexa nel cloud. Selezionando ""Abilita Alexa"", si accettano tutti i Termini e le Condizioni. È possibile saperne di più su Termini e Privacy di Alexa utilizzando i link qui sotto.</span>"
alexa.EnablewithoutSetup.title;;Abilitare Amazon Alexa senza configurazione?
alexa.alexaDisableScreen.cancelButton;;Cancella
alexa.alexaDisableScreen.confirmButton;;Conferma
alexa.alexaDisableScreen.text;;Non sarai più in grado di utilizzare Alexa su questo dispositivo.
alexa.alexaDisableScreen.title;;Vuoi disabilitare Alexa?
alexa.alexaSettignDefaultScreen.buttonSetUp;;Iniziare
alexa.alexaSettingDefaultScreen.buttonLanguage;;Lingue
alexa.alexaSettingDefaultScreen.buttonSignout;;Esci
alexa.alexaSettingDefaultScreen.buttonTermsAndConditions;;Termini e Condizioni
alexa.alexaSetupScreen.description;;Seleziona Aggiorna Codice se hai problemi con il codice fornito e riprova.
alexa.alexareadyscreen.ia.information;;Per abilitare funzioni aggiuntive come musica, meteo e smart home control, vai a <span> Impostazioni > Assistenti vocali > Amazon Alexa</span> in qualsiasi momento per collegare il tuo account Amazon.
alexa.alexareadyscreen.ia.term1;;"""Alexa, alza il volume"""
alexa.alexareadyscreen.ia.term2;;"""Alexa, mostrami film d'azione"""
alexa.alexareadyscreen.ia.term3;;"""Alexa, cosa va in onda questa sera?"""
alexa.alexareadyscreen.information;;Per saperne di più su cosa può fare Alexa, scarica l'app Amazon Alexa da Google Play o dall'App Store.
alexa.alexareadyscreen.subtitle;;Sul telecomando, premi<b> e tieni premuto il tasto</b> del microfono e prova a dire:
alexa.alexareadyscreen.term1;;"""Alexa, alza il volume"""
alexa.alexareadyscreen.term2;;"""Alexa, che tempo fa nel weekend?"""
alexa.alexareadyscreen.term3;;“Apri Prime Video”
alexa.alexareadyscreen.term4;;"""Mostrami film d'azione"""
alexa.alexareadyscreen.term5;;"""Riproduci musica pop"""
alexa.alexareadyscreen.vsb.information;;alexa.alexareadyscreen.vsb.information
alexa.alexareadyscreen.vsb.subtitle;;Prova a dire:
alexa.alexareadyscreen.vsb.term1;;"""Alexa, che tempo fa nel weekend?"""
alexa.alexareadyscreen.vsb.term2;;“Alexa, apri Prime Video”
alexa.alexareadyscreen.vsb.term3;;"""Alexa, aggiungi il latte alla lista della spesa"""
alexa.alexareadyscreen.vsb.term4;;"""Alexa, metti canzoni pop degli anni '90"""
alexa.alexareadyscreen.vsb.term5;;"""Alexa chi è Brad Pitt?"""
alexa.alexareadyscreen.vsb.term6;;"""Alexa metti musica reggaeton"""
alexa.authError;;Qualcosa è andato storto. Riprova in seguito
alexa.card.canDoMore;;Alexa può fare di più
alexa.card.connect;;Connettiti
alexa.card.connectAmazonAccount;;Connetti il tuo account Amazon per abilitare funzionalità come meteo, smart home control e altro ancora.
alexa.defaultScreen.description;;Alexa ti permette di usare la tua voce per trovare e guardare film e programmi TV, fare domande, controllare il meteo, riprodurre musica e molto altro ancora.
alexa.defaultScreen.subDescription;;"Selezionando ""Iniziare"", si accettano tutti i Termini e le Condizioni. È possibile saperne di più su Termini e Privacy di Alexa utilizzando i link qui sotto."
alexa.defaultscreen.buttonDisable;;Disabilita
alexa.defaultscreen.buttonSigneIn;;Accedi ad Amazon Alexa
alexa.defaultscreen.buttonTermOfUse;;Condizioni di utilizzo
alexa.defaultscreen.devicename;;Nome dispositivo
alexa.defaultscreen.signedInAs;;Hai effettuato l'accesso come
alexa.enablePopup.title;;Vuoi attivare l'assistente vocale?
alexa.enableWithoutSetup.ok;;Prova Alexa
alexa.enablevoicesubMsg;;Il controllo vocale non è attivo.
alexa.errorScreen.button.retry;;Riprova
alexa.isReadyTitle;;Alexa è pronta per aiutarti
alexa.notification.signout.body;;è possibile abilitarla nuovamente nelle impostazioni
alexa.notification.signout.header;;Alexa è stata disabilitata
alexa.popup.tryAlexa.title;;Prova Amazon Alexa senza un account
alexa.setUpScreen.Goto;;Vai a
alexa.setUpScreen.description;; sul tuo smartphone o PC ed inserisci questo codice
alexa.setUpScreen.later;;Più tardi
alexa.setUpScreen.refreshCode;;Aggiorna il codice
alexa.setUpScreen.title;;Collega il tuo account Amazon
alexa.termandConditionScreen.title;;Termini e condizioni
alexa.termsOfUseScreen.title;;Termini e condizioni dell'utilizzo di Amazon Alexa
apps.myApps.add.added;;Aggiunta
apps.myApps.add.titleAppAdd;;Le mie app
apps.myApps.add.titleAppAddDescription;;%1 di app aggiunte
apps.myApps.add.titleAppRemove;;Le mie app
apps.myApps.add.titleAppRemoveDescription;;%1 di app eliminate
apps.myApps.add.titleMaxDescription;;Elimina un'app dalla lista Preferiti prima di aggiungerne una nuova
apps.myApps.add.titleMaxLimit;;Le mie app
apps.myApps.delete.remove;;Elimina
apps.myApps.reorder.moved;;Sposta
apps.rail.recentApps;;Applicazioni recenti
badging.acronym.audioDescription;;AD
badging.acronym.closedCaption;;CC
badging.acronym.signLanguage;;LIS
badging.acronym.subtitles;;S
badging.airsNow;;In onda
badging.airsOnDateAndTime;;In onda
badging.availableToPurchase;;Acquista
badging.availableToPurchaseAndExpiration;;
badging.availableToSubscribe;;Attiva
badging.failedOn;;
badging.partiallyRecordedOn;;Parzialmente registrato
badging.purchased;;Acquistato
badging.recordableEpisode;;Registra ora
badging.recordableSeries;;Registra la serie ora
badging.recordedOn;;Registrazione attiva
badging.recordingNow;;Registra ora
badging.recordingScheduled;;Programmato
badging.scheduled;;Programmato
badging.subscribed;;Sottoscrizione attiva
badging.subscribedTo;;
badging.upcomingCatchUp;;Disponibile a breve
bluetooth.fullplayer.audioprofile;;Profilo Audio
bluetooth.fullplayer.collapse;;
bluetooth.fullplayer.connected;;Connesso
bluetooth.fullplayer.exit;;Esci
bluetooth.fullplayer.unknownTrackAlbum;;Album sconosciuto
bluetooth.fullplayer.unknownTrackArtist;;Artista sconosciuto
bluetooth.fullplayer.unknownTrackTitle;;Brano sconosciuto
bluetooth.popup.buttons.connect;;Connetti
bluetooth.subtitle;;Conferma?
bluetoothConnect.subtitle;;Conferma ?
bluetoothConnect.title;;Vuoi attivare la voce?
bluetoothConnection.title;;Sarai connesso a questo dispositivo
bluetoothDisconnect.title;;Scegli che cosa fare
buttons.filesFormat.3d;;3D
buttons.filesFormat.4K;;4K
buttons.filesFormat.HD;;HD
buttons.filesFormat.SD;;SD
cableRegio.scanSummary.description.success;;%1 canali sintonizzati:<br/>%2 Canali in streaming %3 Digitale Terrestre %4 Radio
cableRegio.scanSummary.title;;Risultato della scansione canali
cancelMultipleSeries.popup.subtitle;;Funzione non disponibile
cancelMultipleSeries.popup.title;;Sei sicuro di voler cancellare %1 registrazioni?
cancelSeries.subtitle;;Sei sicuro?
cancelSeries.title;;Cancella serie?
channelScan.completed;;Scansione canali completa
channelScan.error;;Errore scansione canali
clashManagementScreen.availableAsCatchup;;Disponibile in Catch-Up
clashManagementScreen.recording;;Registrazione %1
clashManagementScreen.repeatsOn;;Ripeti su %1
clashManagementScreen.reschedule;;Riprogramma
clashManagementScreen.subtitle;;Per registrare %1 scegli una delle opzioni disponibili.
clashManagementScreen.title;;Hai troppe registrazioni
common.back;;Indietro
common.blockedContent;;
common.browseAll;;
common.buyStorage;;Acquista spazio
common.deselectAll;;Deseleziona tutti
common.disconnect;;Disconnetti
common.hideAll;;Nascondi tutti
common.min;;%1 min
common.noThanks;;
common.other;;Altro
common.reorder;;Riordina
common.searchOn;;
common.selectAll;;Seleziona tutti
common.showAll;;Mostra tutti
common.subscribe;;Attiva
common.tvGuide;;GuidaTV
common.unpair;;
common.welcomeTo;;Benvenuto
continueWatching.household;;Dal tuo Vodafone TV Box
date.format.duration.day;;giorno
date.format.duration.days;;giorni
date.format.duration.hour;;ora
date.format.duration.hours;;ore
date.format.duration.minute;;minuto
date.format.duration.minutes;;minuti
date.format.duration.month;;mese
date.format.duration.months;;mesi
date.format.duration.second;;secondo
date.format.duration.seconds;;secondi
date.format.duration.short.hours;;h
date.format.duration.short.minutes;;m
date.format.duration.short.seconds;;s
date.format.duration.year;;anno
date.format.duration.years;;anni
deleteMultipleSeries.popup.protectedSubtitle;;Ci sono %1 registrazioni protette nella tua selezione. Vuoi cancellare comunque?
deleteMultipleSeries.popup.subtitle;;Funzione non disponibile.
deleteMultipleSeries.popup.title;;Sei sicuro di voler cancellare %1 registrazioni?
deleteSeries.delete;;Cancella
deleteSeries.subtitle;;Sei sicuro?
deleteSeries.title;;Cancella serie
deleteSingleSeries.popup.subtitle;;Vuoi selezionare l'intera serie o scegliere i singoli episodi?
deleteSingleSeries.popup.title;;Serie selezionata
detailsConfirmPurchaseScreen.audioTitle;;Audio
detailsConfirmPurchaseScreen.detailsTitle;;Dettagli
detailsConfirmPurchaseScreen.subtitlesTitle;;Sottotitoli
epg.adultProgram.hidden.description;;Il contenuto può essere visto solo inserendo il PIN della protezione bambino. Per modificare il livello di protezione vai nelle impostazioni.
epg.adultProgram.hidden.name;;Il programma è protetto
epg.adultProgram.hidden.subtitle;;Modifica le impostazioni della protezione bambino per guardare il contenuto.
epg.adultProgram.locked.description;;Il contenuto può essere visto solo inserendo il PIN della protezione bambino. Per modificare il livello di protezione vai nelle impostazioni.
epg.adultProgram.locked.name;;Bloccato
epg.allChannels;;Tutti i canali
epg.channel.locked.name;;Canale bloccato
epg.filters.all;;Tutti
epg.filters.allChannels;;Tutti
epg.filters.hdchannels;;Canali HD
epg.filters.juststarted;;Iniziati
epg.filters.mostWatched;;Più visti
epg.filters.subscribedChannels;;Canali inclusi
epg.filters.title;;Seleziona il filtro di tuo interesse
epg.program.locked.description;;Il contenuto può essere visto solo inserendo il PIN della protezione bambino. Per modificare il livello di protezione vai nelle impostazioni.
epg.summary.duration;;Durata
epg.summary.origin;;Fonte
epg.summary.releaseDate;;Data di rilascio
error.actionNotAllowed;;Funzione non disponibile
error.default;;Errore generico
error.mdw.network.configurationGetFailed;;Errore di configurazione rete
error.mdw.network.configurationSetFailed;;Errore di configurazione rete
error.netflix.esn;;ESN Netflix non valido
error.player.broadcast.cannotResolve;;Canale non disponibile
error.player.broadcast.cannotTune;;Sintonizzazione non disponibile
error.player.broadcast.channelChangeInterrupted;;Cambio canale non disponibile
error.player.broadcast.channelNotFound;;Canale non disponibile
error.player.broadcast.channelNotSupported;;Canale non disponibile
error.player.broadcast.channelParentalLock;;Protezione Bambino attiva
error.player.broadcast.channelRecordingOngoing;;Non è possibile cambiare canale quando è in corso la registrazione
error.player.broadcast.encryptedChannel;;Canale criptato o modulo mancante
error.player.broadcast.insufficientBandwidth;;Connessione non disponibile
error.player.broadcast.insufficientResources;;Risorse insufficienti per sintonizzare il canale selezionato
error.player.broadcast.tunerLocked;;Sintonizzazione non disponibile
error.player.broadcast.unknownChannel;;Canale non riconosciuto
error.player.broadcast.unrealized;;Cambio canale non disponibile
error.player.oipf.connectionLost;;Errore di riproduzione [S404]
error.player.oipf.corrupt;;Programma non disponibile [S101]
error.player.oipf.format;;Formato A/V non supportato
error.player.oipf.insufficientResources;;Risorse insufficienti sul player
error.player.oipf.positionUnavailable;;Programma non disponibile [S103]
error.player.oipf.unavailable;;Programma non disponibile [S102]
error.player.unidentified;;Errore generico sul player
error.purchase.er.PPVPurchased;;Acquisto effettuato
error.purchase.er.accountNotValid;;Utente non valido
error.purchase.er.collectionPurchased;;Collezione acquistata
error.purchase.er.configNotFound;;Impossibile effettuare l'acquisto
error.purchase.er.couponNotValid;;Voucher non valido
error.purchase.er.free;;Incluso
error.purchase.er.incorrectPrice;;Prezzo non corretto
error.purchase.er.insufficientFunds;;Impossibile effettuare l'acquisto per credito insufficiente
error.purchase.er.invalidUser;;Utente non riconosciuto
error.purchase.er.notInDomain;;Utente non riconosciuto
error.purchase.er.notPurchasable;;Non disponibile per l'acquisto
error.purchase.er.pgChargeIDRequired;;Impossibile effettuare l'acquisto
error.purchase.er.pgNoResponse;;Impossibile effettuare l'acquisto
error.purchase.er.pgNotExist;;Impossibile effettuare l'acquisto
error.purchase.er.pgNotSet;;Impossibile effettuare l'acquisto
error.purchase.er.pgUnknownResponse;;Impossibile effettuare l'acquisto
error.purchase.er.retryLimitExceeded;;Hai esaurito il numero massimo di tentativi
error.purchase.er.signatureMismatch;;Impossibile effettuare l'acquisto
error.purchase.er.subscriptionOnly;;Disponibile in abbonamento
error.purchase.er.subscriptionPurchased;;Abbonamento attivato
error.purchase.er.unknownPPV;;Impossibile effettuare l'acquisto
error.purchase.er.unknownReason;;Impossibile effettuare l'acquisto
error.purchase.er.unknownTransactionState;;Impossibile effettuare l'acquisto
error.purchase.er.unknownUser;;Utente sconosciuto
error.purchase.er.userNotExist;;Utente non esistente
error.purchase.er.userSuspended;;Credenziali in stato sopseso
error.purchase.unidentified;;Errore di acquisto
error.token.store.failed;;Archiviazione Auth Token non riuscita
error.userAccountSuspended;;Il tuo account è sospeso 
error.userActionSuspended;;Il tuo account è sospeso
explanatoryCard.localQuotaLimit.info;;Your local storage is low. You have <br/>%1 of local space left.
explanatoryCard.localQuotaLimit.statusContent;;Manage Local Recordings
explanatoryCard.localQuotaLimit.title;;Local Storage Low
explanatoryCard.mytv.external.myTVRecommendations;;Qui potrai vedere i contenuti suggeriti per te in base al tuo utilizzo.
explanatoryCard.mytv.purchasesAndRentals;;Qui trovi i programmi che hai acquistato o noleggiato
explanatoryCard.mytv.recommendations;;Qui puoi trovare i contenuti suggeriti in base alla tua attività di visione.
explanatoryCard.mytv.recommendations.recommendationsOptIn;;Non perderti i contenuti più adatti a te in base a ciò che guardi. Premi OK sul telecomando per abilitare il motore di raccomandazione.
explanatoryCard.mytv.recommendations.title;;Film e show televisivi da vedere
explanatoryCard.mytv.recordings;;Qui trovi i programmi che hai registrato e che puoi guardare subito
explanatoryCard.mytv.rentals;;Qui trovi i programmi che hai noleggiato
explanatoryCard.mytv.scheduledRecordings;;Qui trovi i programmi per cui hai programmato una registrazione
explanatoryCard.mytv.title;;MY TV
explanatoryCard.mytv.watchnext;;Qui trovi i programmi che hai iniziato a guardare
explanatoryCard.mytv.watchnext.recommendationsOptIn;;Non perderti i contenuti più adatti a te in base a ciò che guardi. Premi OK sul telecomando per abilitare il motore di raccomandazione.
explanatoryCard.mytv.watchnext.title;;I tuoi contenuti più importanti da vedere
explanatoryCard.mytv.welcomeTo;;Benvenuto in
explanatoryCard.mytv.welcomeToMyTV;;Benvenuto in MyTV
explanatoryCard.mytv.wishlist;;Qui trovi i programmi che hai aggiunto ai Preferiti
explanatoryCard.ondemand.recommendationsOptIn;;Non perderti i contenuti più adatti a te in base a ciò che guardi. Premi OK sul telecomando per abilitare il motore di raccomandazione.
explanatoryCard.ondemand.title;;OnDemand consigliati
explanatoryCard.quota.autoDelete;;Lo spazio per le registrazioni è quasi esaurito. La cancellazione automatica inizierà con le prossime registrazioni programmate.
explanatoryCard.quota.title;;Acquista spazio di archiviazione
explanatoryCard.railTitle.mytv.external.myTVRecommendations;;Film e show televisivi consigliati
explanatoryCard.railTitle.mytv.purchasesAndRentals;;Noleggiati
explanatoryCard.railTitle.mytv.recommendations;;Contenuti che potrebbero interessarti
explanatoryCard.railTitle.mytv.recordings;;Registrazioni
explanatoryCard.railTitle.mytv.rentals;;Noleggiati
explanatoryCard.railTitle.mytv.scheduledRecordings;;Registrazioni programmate
explanatoryCard.railTitle.mytv.watchnext;;Continua a guardare
explanatoryCard.railTitle.mytv.wishlist;;Preferiti
explanatoryCard.related.recommendationsOptIn;;Non perderti i contenuti più adatti a te in base a ciò che guardi. Premi OK sul telecomando per abilitare il motore di raccomandazione.
explanatoryCard.related.title;;Correlati
explanatoryCard.search.recommendationsOptIn;;Non perderti i contenuti più adatti a te in base a ciò che guardi. Premi OK sul telecomando per abilitare il motore di raccomandazione.
explanatoryCard.search.title;;Contenuti sulla base delle tue preferenze
explanatoryCard.switchOn;;Accendi
fastZap.barker.countdown;;L'app si aprirà tra<br/><div>%1 secondi</div>
fastZap.upNext;;Prossimo
firstInstall.automaticRecordingsMoreInfoScreen.description;;Con Vodafone TV puoi guardare i programmi andati in onda negli ultimi 7 giorni su una selezione di canali. Accedi alla Guida TV e scorri la programmazione: se il programma che ti interessa ha l'icona con la freccia circolare, potrai iniziare subito a guardarlo.<br/><br/>
firstInstall.automaticRecordingsMoreInfoScreen.title;;Registrazioni automatiche
firstInstall.bleRemotePairLaterScreen.description;;Per associare la TV con il telecomando tieni premuti per più di 5 secondi i tasti '3' e 'Giallo'<br/><br/>Se non riesci ad associare ora il tuo telecomando, puoi farlo successivamente nelle Impostazioni.
firstInstall.bleRemotePairingScreen.description;;Per associare il tuo telecomando alla TV, tieni premuto '3' e 'Giallo' per almeno 5 secondi.<br/>
firstInstall.bleRemotePairingScreen.title;;Associazione telecomando
firstInstall.bleRemotePairingSuccessScreen.description;;Il tuo TV box è ora associato con il tuo telecomando
firstInstall.bleRemotePairingSuccessScreen.title;;Ora associato
firstInstall.buttons.ATP;;ATP
firstInstall.buttons.I&D;;I&D
firstInstall.buttons.agree;;Accetto
firstInstall.buttons.back;;Indietro
firstInstall.buttons.deepMode;;Standby
firstInstall.buttons.developerMode;;
firstInstall.buttons.disagree;;Non acconsento
firstInstall.buttons.instantMode;;Accensione rapida
firstInstall.buttons.manual;;Manuale
firstInstall.buttons.moreInfo;;Più info
firstInstall.buttons.reset;;Reset
firstInstall.buttons.skipScanning;;Salta scansione
firstInstall.buttons.tryAgainWithEthernet;;Riprova
firstInstall.buttons.updateAndReboot;;Aggiorna e riavvia
firstInstall.buttons.validate;;Conferma
firstInstall.cheatMenuScreen.desc;;Sovrascrive i parametri di configurazione di Vodafone TV Box
firstInstall.cheatMenuScreen.title;;Menu di configurazione
