key;en-GROUP;de-DE-x-DE text
programInfo.actionButtons.wishlist.remove;Remove;Aus Merkliste entfernen
programInfo.actionButtons.wishlist.add;Schedule record;Zu Merkliste hinzufügen
programInfo.actionButtons.watchContent;Watch %1;%1 ansehen
programInfo.actionButtons.buy;Buy;Kaufen
programInfo.actionButtons.rent;Rent;Ausleihen
programInfo.actionButtons.confirm4K;Your current resolution is not 4K. To watch 4K content your TV must be 4K-ready. Are you sure you want to continue?;Dein Fernsehgerät scheint nicht 4K/Ultra HD-fähig zu sein. Möchtest Du trotzdem fortfahren?
minutes.acronym;mins;Min.
minute.acronym;min;Min.
settings.audioAndVisual.audioOutput;Audio output;Audio-Wiedergabe
settings.audioAndVisual.audioOutput.stereo;Stereo;Stereo
settings.audioAndVisual.audioOutput.dolbyAudio;Dolby Audio;Dolby Audio
settings.audioAndVisual.hdmiAudioOutput;HDMI audio output;HDMI Audio-Wiedergabe
settings.audioAndVisual.on;On;Aktiv
settings.audioAndVisual.off;Off;Deaktiviert
settings.audioAndVisual.screenResolution.576p;576p;576p
settings.audioAndVisual.screenResolution.720p;720p;720p
settings.audioAndVisual.screenResolution.1080p;1080p;1080p
settings.audioAndVisual.screenResolution.4k;4K;4K
settings.systemConfigurations.powerSaving;Power;Energie-Modus
settings.powerSaving.quickBoot;Power saving mode;Energiespar-Modus
settings.powerSaving.autoStandbyTime;Auto standby time;Auto-Standby-Zeit
settings.powerSaving.autoStandbyTime.3h;3 hours;3 Stunden
settings.powerSaving.autoStandbyTime.6h;6 hours;6 Stunden
settings.powerSaving.autoStandbyTime.12h;12 hours;12 Stunden
settings.powerSaving.autoStandbyTime.off;Off;Aus
settings.conflictedChannelsFoundScreen.description;Your aerial is picking up multiple regions for <insert>. Please choose an option:;Mehrere Regionen für <strong>%1 %2</strong> gefunden. Welchen Sender bevorzugst Du?
popups.powerSaving.buttons.cancel;Cancel standby;Standby-Modus beenden
popups.powerSaving.buttons.adjust;Change auto standby;Auto-Standby anpassen
network.ipAddress;IP address;IP-Adresse
network.subnetMask;Subnet mask;Subnet-Maske
network.defaultGateway;Default gateway;Standard-Gateway
network.primaryDNS;Primary DNS;Primärer DNS-Server
network.secondaryDNS;Secondary DNS;Sekundärer DNS-Server
serieInfo.recordEpisode;Record episode;Folge aufnehmen
serieInfo.recordSeries;Record series;Serie aufnehmen
serieInfo.season;Season;STAFFEL
popups.upgrade.buttons.updateNow;Update now;Jetzt aktualisieren
popups.reboot.buttons.rebootNow;Reboot now;Neu starten
popups.wifi.buttons.tryAgain;Try again;Erneut versuchen
popups.storage.misc;0;0
popups.storage.buttons.manage;Manage my recordings;Meine Aufnahmen bearbeiten
popups.storage.buttons.enableAutoDelete;Enable auto delete;Automatisches Löschen aktivieren
popups.continueWatching.buttons.next;Next episode;Nächste Folge
popups.continueWatching.buttons.startOver;Restart;Von Anfang an sehen
popups.maintenance.message;An update is scheduled for your TV box;Ein Update für Deine GigaTV Box steht an
maintenance.wait;Update in progress, please wait.;Bitte warten...
rails.more;More;Weitere
rails.moretitle;More %1;%1
rails.bucketMore;See more;Weitere Inhalte
badging.expires;Expires from %1 in %2 days;Läuft in %2 Tagen von %1 ab
badging.recorded;Recorded;Aufgenommen
badging.protected;Protected recording;Aufnahme geschützt
badging.subtitles;Subtitles available;Untertitel verfügbar
badging.audioDescription;Audio description available;Audio-Deskription verfügbar
badging.wishList;Scheduled record;Zu Merkliste hinzugefügt
badging.catchUp;Catch up;Jetzt ansehen
badging.airsOn;Airs on %1;Beginn
notification.recording.delete;Recording deleted;Aufnahme gelöscht
notification.recording.cancel;Recording cancelled;Aufnahme abgebrochen
notification.recording.scheduled;Recording scheduled;Aufnahme geplant
notification.seriesRecording.cancel;Series record cancelled;Die Serienaufnahme wurde abgebrochen
notification.seriesRecording.delete;Series record deleted;Die Serie wurde gelöscht
notification.recording.protect;Recording protected;Diese Aufnahme ist geschützt
notification.network.online;You're connected;Deine GigaTV Box ist verbunden
notification.purchase.success;Purchase made;Bestellung erfolgreich
notification.login.emptyToken;Empty token;Leerer Token
notification.battery.low;Your TV remote batteries are low, please replace them.;Bitte wechsle die Batterien in Deiner GigaTV Fernbedienung
settings.warning.popup.parentalControlEnable;Turning on parental controls will enable your TV PIN. Are you happy to continue?;Bestätige bitte, um Deine Jugendschutz-PIN zu aktivieren (mehr Infos unter www.vodafone.de/tv)
settings.ledBrightness.medium;Medium;Mittel
programInfo.actionButtons.moreWatchOptions;More options;Ansehen
notification.recording.unprotect;Unlocked - you can now record;Aufnahme ungeschützt
common.confirm;Okay?;Bestätigen
keyboard.search.placeholder;Start searching;Suche nach Filmen, Serien, Schauspielern...
settings.warning.popup.masterPinDisable;Turning off your PIN will also turn off parental controls. Are you happy to continue?;Die Deaktivierung der PIN schaltet auch den Jugendschutz ab. Möchtest Du fortfahren?
settings.network.wifi.waiting;Connecting to your Wi-Fi network;WLAN-Verbindung wird aufgebaut…
settings.tvChannels.abortingAutoScan;Stopping;Abbruch
settings.audioDescription.on;Turn on;Aktivieren
settings.subtitles.on;Turn on;Aktivieren
popups.powerSaving.message;Vodafone TV will go into standby mode in %1s;Deine GigaTV Box wechselt in wenigen Sekunden in den Standby-Modus
firstInstall.languageScreen.description;Choose your language;Sprache auswählen
settings.parentalControls.changeMyPin;Change PIN;PIN ändern
settings.parentalControls.changedPin;Your PIN has changed;PIN wurde geändert
settings.ledBrightness.high;High;Hoch
settings.informations.buttons.connectivity;Internet;Internet
settings.ledBrightness.low;Low;Dunkler
settings.remote.remotePairNewDevice;Pair remote;Fernbedienung verbinden
settings.channelScan.auto;Scan;Sendersuchlauf
settings.powerSaving.quickBoot.hint;Turn power saving mode off for faster setup;Deaktiviere den Energiespar-Modus, um die Startzeit zu verkürzen
firstInstall.helloScreen.description.searchingAccount;Logging in to your Vodafone TV account;Die Verbindung zu Deinem MeinVodafone-Konto wird hergestellt
settings.systemConfigurations.subtitle;System info;System-Info
settings.network.advanced.configureIpAddress;Manual setup;Manuelle Konfiguration
popups.continueWatching.misc;Continue watching: starting in %1;Sendung beginnt in %1
firstInstall.buttons.manualIPConfig;Manual IP setup;Manuelle IP-Konfiguration
settings.systemConfigurations;More settings;Weitere Einstellungen
settings.systemConfigurations.factoryReset;Reset;Werkseinstellungen wiederherstellen
settings.informations.buttons.remoteControl;Remote;Fernbedienung
settings.network.advanced.waiting;Connecting your IP address to your TV box;Die Verbindung zu Deiner GigaTV Box wird hergestellt
popups.reboot.misc;Reboot in %1;Neustart in %1
notification.recording.start;Recording;Aufnahme läuft
date.format.day5;Friday;Freitag
firstInstall.helloScreen.description.foundAccount;Nearly done;Einen kurzen Moment noch...
firstInstall.wifiNetworkConnectingScreen.description;Connecting to your Wi-Fi network;Die WLAN-Verbindung wird hergestellt
settings.network.advanced.dhcp;Auto setup;Automatisches Setup
settings.remote.remotePairNewDevice.step0.failed.description;Sorry, you pressed the wrong buttons: press and hold the 3 and yellow buttons together for 5 seconds.;Bitte versuche es erneut. Halte die Nummerntaste [3] und den gelben Knopf gemeinsam fünf Sekunden lang gedrückt
change language;Change language;Sprache ändern
firstInstall.manualNetworkConfigurationScreen.description;Please enter your network details using the number keys.;Netzwerkdetails eingeben
settings.premiumChannels.hide;Hide;Verbergen
settings.premiumChannels.show;Show;Anzeigen
pinEntry.parentalPinCode;Enter your PIN;PIN eingeben
settings.remote.remotePairNewDevice.step2.description;Great, your remote is now paired;Fernbedienung erfolgreich verbunden
pinEntry.masterPinCode;Enter your PIN;PIN eingeben
settings.recordings.deleteAllQuestion;Are you sure you want to delete all recordings?;Willst Du wirklich alle Aufnahmen löschen?
settings.recordings.autoDeleteQuestion;Are you sure you want to activate the auto delete feature?;Willst Du wirklich automatisch Aufnahmen löschen?
pinEntry.successful;PIN confirmed;PIN bestätigt
popups.upgrade.title;Software upgrade about to start;Das Update Deiner GigaTV Box beginnt in Kürze
firstInstall.getHelpScreen.channels.description;Once your TV aerial is connected, start scanning for channels.;Bitte überprüfe, ob Deine GigaTV Box mit einer Antenne verbunden ist. <br/>Beginne dann die Sendersuche
settings.systemConfigurations.factoryReset.popup;<p>Are you sure you want to restore to factory settings? This will delete any customised settings.<br/>Don't worry, your recordings won't be deleted.</p>;<p>Willst Du wirklich die Werkseinstellungen wiederherstellen? Danach muss Deine GigaTV Box neu aufgesetzt werden.<br/>Aber keine Sorge, Deine Aufnahmen werden nicht gelöscht</p>
firstInstall.wiredNetworkSearchScreen.manual.description;Trying to connect;Es wird versucht, eine Verbindung herzustellen
firstInstall.wiredNetworkSearchScreen.description;Please make sure your Ethernet cable is plugged in.;Bitte stelle sicher,<br/>dass Dein LAN-Kabel<br/>angeschlossen ist
firstInstall.getHelpScreen.wifi.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;Mehr Hilfe erhältst Du unter www.vodafone.de
firstInstall.getHelpScreen.wired.description;You'll find the answers to lots of questions at vodafone.co.uk/tv;Mehr Hilfe erhältst du unter www.vodafone.de
firstInstall.remotePairLaterScreen.description;If you can't pair your remote now, don't worry – you can always pair it later and it'll still work in the meantime when you point it at the box.;Die Fernbedienung kann auch<br/>zu einem späteren Zeitpunkt<br/>in den Einstellungen verbunden werden, damit Du nicht<br/>mit der Fernbedienung auf die GigaTVBox zeigen musst.
settings.network.noInternet;;Keine Internetverbindung gefunden. Überprüfe bitte Deinen Router und versuche es erneut
firstInstall.wifiNetworkErrorScreen.noLink;;SC106: Dein WLAN konnte keine Verbindung zum Internet herstellen. Überprüfe bitte Deinen Router und versuche es erneut
settings.network.lan.noLink;;SC022: Es wurde keine LAN-Verbindung gefunden. Überprüfe die Verbindung Deines LAN-Kabels mit der GigaTV Box und versuche es erneut
firstInstall.wiredNetworkScreen.noLink;;SC021: Es konnte keine LAN-Verbindung gefunden werden. Stecke das Kabel noch einmal ein und versuche es erneut
notification.network.error;;SC014: Fehler bei der Verbindung mit dem Service. Überprüfe bitte Deine Internetverbindung
programInfo.rentalExpiresOn;;Leihdauer läuft in %1 ab
Available to Purchase;;Zum Kauf verfügbar
Smart TV FTU UDID;;UDID : %1
adult.hidden.description;;Dieser Inhalt ist aufgrund von Jugendschutz-Einstellungen gesperrt
adult.hidden.title;;Ausgeblendete Inhalte
adult.visible.title;;Erwachseneninhalte
advertising.notification.description;;Das Video wird automatisch nach der Werbung fortgesetzt
advertising.notification.personalizedAds.cannotWatch.description;;Stimme bitte personalisierter Werbung zu, um diesen Inhalt anzusehen
advertising.notification.personalizedAds.cannotWatch.title;;Personalisierte Werbung
advertising.notification.personalizedAds.optIn;;Wenn Du keine personalisierte Werbung willst, gehe einfach zu Einstellungen/Datenschutz/Datenschutz-Einwilligung Drittanbieter
advertising.notification.personalizedAds.optOut;;Für personalisierte Werbung gehe einfach zu Einstellungen/Datenschutz/Datenschutz-Einwilligung Drittanbieter
advertising.notification.title;;Werbepause
advertising.overlay.count;;Werbung %1 von %2
alexa.EnablewithoutSetup.text;;"Ohne Anmeldung sucht Alexa weiterhin nach TV-Sendungen und Filmen, steuert die Wiedergabe und Lautstärke und erzählt Witze. Du kannst das Setup jederzeit abschließen, indem Du in die Alexa-Einstellungen gehst und Dein Amazon-Konto verbindest.<br><br><span class= ""subtext""> Amazon verarbeitet Interaktionen mit Alexa in der Cloud. Durch die Auswahl „Alexa aktivieren“ akzeptierst Du die AGBs. Erfahre mehr über Alexa AGBs und Datenschutz unter den unten angegebenen Links</span>"
alexa.EnablewithoutSetup.title;;Amazon Alexa aktivieren ohne Setup?
alexa.alexaDisableScreen.cancelButton;;Abbrechen
alexa.alexaDisableScreen.confirmButton;;Bestätigen
alexa.alexaDisableScreen.text;;Du kannst Alexa mit diesem Gerät nicht mehr verwenden
alexa.alexaDisableScreen.title;;Alexa deaktivieren?
alexa.alexaSettignDefaultScreen.buttonSetUp;;Erste Schritte
alexa.alexaSettingDefaultScreen.buttonLanguage;;Alexa Sprache
alexa.alexaSettingDefaultScreen.buttonSignout;;Ausloggen
alexa.alexaSettingDefaultScreen.buttonTermsAndConditions;;Allgemeine Geschäftsbedingungen
alexa.alexaSetupScreen.description;;Wähle Code aktualisieren, falls Du Probleme mit dem Code hast und versuche es dann noch einmal.
alexa.alexareadyscreen.ia.information;;Um weitere Funktionen wie z.B. Musik, Wetter und Smart Home Steuerung zu aktivieren, gehe einfach zu<span>Einstellungen > Sprach-Assitenten > Amazon Alexa</span> und verbinde Deinen Amazon Konto
alexa.alexareadyscreen.ia.term1;;„Alexa, lauter“
alexa.alexareadyscreen.ia.term2;;„Alexa, zeig mir Actionfilme“
alexa.alexareadyscreen.ia.term3;;„Alexa, was läuft heute Abend im TV?“
alexa.alexareadyscreen.information;;Um mehr zu erfahren, was Alexa kann, lade bitte die Amazon Alexa App im Google Play Store oder im Apple App Store herunter
alexa.alexareadyscreen.subtitle;;Halte die Mikrofon-Taste auf Deiner Fernbedienung gedrückt und sag beispielsweise:
alexa.alexareadyscreen.term1;;„Alexa, lauter“
alexa.alexareadyscreen.term2;;„Alexa, wie wird das Wetter am Wochenende?“
alexa.alexareadyscreen.term3;;„Alexa, was ist mein Sport-Update?“
alexa.alexareadyscreen.term4;;„Alexa, suche Actionfilme“
alexa.alexareadyscreen.term5;;„Alexa, spiele Popmusik-Videos“
alexa.alexareadyscreen.vsb.information;;
alexa.alexareadyscreen.vsb.subtitle;;Sag einfach auf deinem Gerät:
alexa.alexareadyscreen.vsb.term1;;„Alexa, zeige mir den Wetterbericht fürs Wochenende“
alexa.alexareadyscreen.vsb.term2;;„Alexa, wie sehen meine Sportergebnisse aus?“
alexa.alexareadyscreen.vsb.term3;;„Alexa, füge Milch zu meiner Einkaufsliste hinzu“
alexa.alexareadyscreen.vsb.term4;;„Alexa, spiele Pop-Songs aus den 90igern ab“
alexa.alexareadyscreen.vsb.term5;;„Alexa, wer ist Brad Pitt?“
alexa.alexareadyscreen.vsb.term6;;„Alexa, spiele Reggaeton-Musik“
alexa.authError;;Das hat leider nicht geklappt. Versuche es bitte erneut
alexa.card.canDoMore;;Alexa kann noch mehr
alexa.card.connect;;Verbinden
alexa.card.connectAmazonAccount;;Verbinde Dein Amazon Konto, um Funktionen zu aktivieren, wie Wetter, Smart Home Steuerung und vieles mehr...
alexa.defaultScreen.description;;Mit Alexa kannst Du mittels Sprachsteuerung Filme und TV-Sendungen finden und abspielen, Fragen stellen, die Wettervorhersage abrufen, Musik streamen, Deine Smart Home Geräte steuern und vieles mehr.
alexa.defaultScreen.subDescription;;Amazon verarbeitet Interaktionen mit Alexa in der Cloud. Durch die Auswahl „Erste Schritte“ akzeptierst Du die AGBs. Erfahre mehr über Alexa AGBs und Datenschutz unter den unten angegebenen Links
alexa.defaultscreen.buttonDisable;;Deaktivieren
alexa.defaultscreen.buttonSigneIn;;Bei Amazon Alexa anmelden
alexa.defaultscreen.buttonTermOfUse;;Nutzungsbedingungen
alexa.defaultscreen.devicename;;Gerätename
alexa.defaultscreen.signedInAs;;Angemeldet als
alexa.enablePopup.title;;Willst Du die Sprachsteuerung aktivieren?
alexa.enableWithoutSetup.ok;;Alexa ausprobieren
alexa.enablevoicesubMsg;;Die Sprachsteuerung auf Deiner Fernbedienung wurde noch nicht aktiviert.
alexa.errorScreen.button.retry;;Nochmal
alexa.isReadyTitle;;Alexa ist eingerichtet
alexa.notification.signout.body;;Du kannst Alexa in den Einstellungen wieder aktivieren
alexa.notification.signout.header;;Alexa wurde deaktiviert
alexa.popup.tryAlexa.title;;Probiere doch mal Alexa mit einem Konto aus
alexa.setUpScreen.Goto;;Gehe auf
alexa.setUpScreen.description;; auf Deinem Smartphone oder PC und gib diesen Code ein
alexa.setUpScreen.later;;Später
alexa.setUpScreen.refreshCode;;Code aktualisieren
alexa.setUpScreen.title;;Amazon Konto verbinden
alexa.termandConditionScreen.title;;AGB & Impressum
alexa.termsOfUseScreen.title;;Amazon Alexa Nutzungsbedingungen
apps.myApps.add.added;;Hinzugefügt
apps.myApps.add.titleAppAdd;;Meine Apps
apps.myApps.add.titleAppAddDescription;;%1 App erfolgreich hinzugefügt
apps.myApps.add.titleAppRemove;;Meine Apps
apps.myApps.add.titleAppRemoveDescription;;%1 App erfolgreich gelöscht
apps.myApps.add.titleMaxDescription;;"Bitte entferne Apps aus ""Meine Apps"", um neue hinzuzufügen"
apps.myApps.add.titleMaxLimit;;Meine Apps
apps.myApps.delete.remove;;Entfernen
apps.myApps.reorder.moved;;Verschieben
apps.rail.recentApps;;Zuletzt verwendete Apps
badging.acronym.audioDescription;;AD
badging.acronym.closedCaption;;BU
badging.acronym.signLanguage;;ZS
badging.acronym.subtitles;;UT
badging.airsNow;;Jetzt im TV
badging.airsOnDateAndTime;;Läuft
badging.availableToPurchase;;Zum Kauf verfügbar
badging.availableToPurchaseAndExpiration;;Leihdauer %1 Tage für %2
badging.availableToSubscribe;;Als Abo verfügbar
badging.failedOn;;Fehlgeschlagen am
badging.partiallyRecordedOn;;Teilweise aufgenommen um
badging.purchased;;Gekauft
badging.recordableEpisode;;Diese Folge jetzt zu den Aufnahmen hinzufügen.
badging.recordableSeries;;Alle Folgen jetzt zu den Aufnahmen hinzufügen
badging.recordedOn;;Aufgenommen um
badging.recordingNow;;Aufnahme läuft
badging.recordingScheduled;;Geplante Aufnahme
badging.scheduled;;Geplante Aufnahme
badging.subscribed;;Innerhalb Deines Abos verfügbar
badging.subscribedTo;;
badging.upcomingCatchUp;;Bald in der Mediathek verfügbar
bluetooth.fullplayer.audioprofile;;Audio-Profile
bluetooth.fullplayer.collapse;;Minimieren
bluetooth.fullplayer.connected;;Verbunden
bluetooth.fullplayer.exit;;Beenden
bluetooth.fullplayer.unknownTrackAlbum;;Unbekanntes Album
bluetooth.fullplayer.unknownTrackArtist;;Unbekannter Interpret
bluetooth.fullplayer.unknownTrackTitle;;Unbekannter Titel
bluetooth.popup.buttons.connect;;Verbinden
bluetooth.subtitle;;Prüfen?
bluetoothConnect.subtitle;;Überprüfen?
bluetoothConnect.title;;Verbindung mit Bluetooth
bluetoothConnection.title;;Du wirst mit diesem Gerät verbunden
bluetoothDisconnect.title;;Wähle aus, was du tun möchtest
buttons.filesFormat.3d;;3D
buttons.filesFormat.4K;;UHD
buttons.filesFormat.HD;;HD
buttons.filesFormat.SD;;SD
cableRegio.scanSummary.description.success;;%1 Sender gefunden:<br/>%2 Internet %3 Terrestrisch %4 Radio
cableRegio.scanSummary.title;;Ergebnisse des Sendersuchlaufs
cancelMultipleSeries.popup.subtitle;;Du kannst diesen Schritt nicht rückgängig machen
cancelMultipleSeries.popup.title;;Bist Du sicher, dass Du %1 Deiner Aufnahmen stornieren willst?
cancelSeries.subtitle;;Bist Du sicher?
cancelSeries.title;;Serienaufnahme abbrechen?
channelScan.completed;;Sendersuchlauf abgeschlossen
channelScan.error;;Fehler beim Sendersuchlauf
clashManagementScreen.availableAsCatchup;;In der Mediathek verfügbar
clashManagementScreen.recording;;%1 wird aufgenommen
clashManagementScreen.repeatsOn;;Wiederholung läuft am %1
clashManagementScreen.reschedule;;Neu planen
clashManagementScreen.subtitle;;Um %1 aufzunehmen, wähle eine der unten stehenden Möglichkeiten. 
clashManagementScreen.title;;Es sind zu viele lokale Aufnahmen geplant
common.back;;Zurück
common.blockedContent;;
common.browseAll;;Alle anzeigen
common.buyStorage;;Speicherplatz kaufen
common.deselectAll;;Auswahl aufheben
common.disconnect;;Verbindung trennen
common.hideAll;;Alle verbergen
common.min;;%1 min.
common.noThanks;;
common.other;;Andere
common.reorder;;Sortieren
common.searchOn;;Suche auf
common.selectAll;;Alle auswählen
common.showAll;;Alle anzeigen
common.subscribe;;Abonnieren
common.tvGuide;;TV-Programm
common.unpair;;Kopplung trennen
common.welcomeTo;;Willkommen bei
continueWatching.household;;Meine GigaTV Box
date.format.duration.day;;Tag
date.format.duration.days;;Tage
date.format.duration.hour;;Stunde
date.format.duration.hours;;Stunden
date.format.duration.minute;;Minute
date.format.duration.minutes;;Minuten
date.format.duration.month;;Monat
date.format.duration.months;;Monate
date.format.duration.second;;Sekunde
date.format.duration.seconds;;Sekunden
date.format.duration.short.hours;;h
date.format.duration.short.minutes;;m
date.format.duration.short.seconds;;s
date.format.duration.year;;Jahr
date.format.duration.years;;Jahre
deleteMultipleSeries.popup.protectedSubtitle;;Es befinden sich %1 geschützte Aufnahmen in Deiner aktuellen Auswahl. Willst du trotzdem löschen?
deleteMultipleSeries.popup.subtitle;;Dieser Schritt kann nicht rückgängig gemacht werden.
deleteMultipleSeries.popup.title;;Willst Du wirklich %1 Aufnahmen löschen?
deleteSeries.delete;;Serie löschen
deleteSeries.subtitle;;Willst Du die Serie wirklich löschen?
deleteSeries.title;;Serie löschen
deleteSingleSeries.popup.subtitle;;Willst Du die gesamte Serie auswählen oder einzelne Folgen?
deleteSingleSeries.popup.title;;Serie ausgewählt
detailsConfirmPurchaseScreen.audioTitle;;Audio
detailsConfirmPurchaseScreen.detailsTitle;;Details
detailsConfirmPurchaseScreen.subtitlesTitle;;Untertitel
epg.adultProgram.hidden.description;;Die Jugendschutz-Einstellungen sind aktiviert. Um diesen Inhalt ansehen zu können, gib bitte Deine PIN ein. Der Jugendschutz kann in den Einstellungen angepasst werden
epg.adultProgram.hidden.name;;Programm ist ausgeblendet
epg.adultProgram.hidden.subtitle;;Jugendschutz anpassen?
epg.adultProgram.locked.description;;Dein Jugendschutz verhindert die Anzeige dieses Programms ohne PIN-Eingabe. Du kannst das aber in den Einstellungen ändern
epg.adultProgram.locked.name;;Gesperrt
epg.allChannels;;Alle Sender
epg.channel.locked.name;;Gesperrt
epg.filters.all;;Alle anzeigen
epg.filters.allChannels;;Alle Sender
epg.filters.hdchannels;;HD-Sender
epg.filters.juststarted;;Eben begonnen
epg.filters.mostWatched;;Meistgesehen
epg.filters.subscribedChannels;;Abonnierte Sender
epg.filters.title;;Senderfilter auswählen
epg.program.locked.description;;Dein Jugendschutz verhindert die Anzeige dieses Programms ohne PIN-Eingabe. Du kannst das aber in den Einstellungen ändern
epg.summary.duration;;Dauer
epg.summary.origin;;Land
epg.summary.releaseDate;;Veröffentlicht am
error.actionNotAllowed;;Leider kann diese Aktion nicht ausgeführt werden
error.default;;Etwas ist schief gegangen.
error.mdw.network.configurationGetFailed;;Netzwerkkonfiguration nicht lesbar.
error.mdw.network.configurationSetFailed;;Netzwerkkonfiguration nicht durchführbar
error.netflix.esn;;Netflix ESN ungültig.
error.player.broadcast.cannotResolve;;Der URI des verbundenen IP-Kanals kann nicht in Übereinstimmung gebracht werden.
error.player.broadcast.cannotTune;;Kein TV-Signal. Prüfe bitte, ob Dein Antennenkabel richtig angeschlossen ist, und wechsle bei korrektem Anschluss zwischen zwei Sendern
error.player.broadcast.channelChangeInterrupted;;Senderwechsel wurde unterbrochen.
error.player.broadcast.channelNotFound;;Der gewählte Sender wurde im Stream nicht gefunden.
error.player.broadcast.channelNotSupported;;Der Sender wird vom Tuner nicht unterstützt.
error.player.broadcast.channelParentalLock;;Der Jugendschutz ist auf diesem Sender aktiviert.
error.player.broadcast.channelRecordingOngoing;;Der Sender kann nicht gewechselt werden, da eine Aufnahme läuft.
error.player.broadcast.encryptedChannel;;Verschlüsselter Sender oder fehlendes Key/Modul
error.player.broadcast.insufficientBandwidth;;Die Bandbreite ist zu gering.
error.player.broadcast.insufficientResources;;Der Sender kann nicht gezeigt werden, versuche es bitte später erneut.
error.player.broadcast.tunerLocked;;Tuner von anderem Objekt gesperrt.
error.player.broadcast.unknownChannel;;Unbekannter Sender
error.player.broadcast.unrealized;;Der Sender kann nicht gewechselt werden.
error.player.oipf.connectionLost;;Die Verbindung zum Server ist fehlgeschlagen oder wurde unterbrochen
error.player.oipf.corrupt;;Der Inhalt ist ungültig.
error.player.oipf.format;;AV-Format wird nicht unterstützt.
error.player.oipf.insufficientResources;;Das hat leider nicht geklappt, versuche es bitte später erneut.
error.player.oipf.positionUnavailable;;Der Inhalt ist an der ausgewählten Position nicht verfügbar.
error.player.oipf.unavailable;;Der Inhalt ist nicht verfügbar.
error.player.unidentified;;Unbekannter Abspielfehler
error.purchase.er.PPVPurchased;;PPV gekauft
error.purchase.er.accountNotValid;;Dieses Konto ist ungültig.
error.purchase.er.collectionPurchased;;Die Collection wurde gekauft.
error.purchase.er.configNotFound;;Keine Einstellung gefunden.
error.purchase.er.couponNotValid;;Der Gutschein ist ungültig.
error.purchase.er.free;;Gratis
error.purchase.er.incorrectPrice;;Preis nicht gültig.
error.purchase.er.insufficientFunds;;Dein Guthaben reicht nicht aus
error.purchase.er.invalidUser;;Ungültige User-ID
error.purchase.er.notInDomain;;Nutzer nicht in der Domain.
error.purchase.er.notPurchasable;;Nicht zu kaufen
error.purchase.er.pgChargeIDRequired;;Payment gateway charge ID erforderlich
error.purchase.er.pgNoResponse;;Keine Rückmeldung vom Zahlungsportal
error.purchase.er.pgNotExist;;Zahlungsportal existiert nicht.
error.purchase.er.pgNotSet;;Zahlungsportal für diesen Haushalt nicht definiert.
error.purchase.er.pgUnknownResponse;;Unbekannte Zahlungsportal-Rückmeldung
error.purchase.er.retryLimitExceeded;;Zu viele fehlgeschlagene Versuche.
error.purchase.er.signatureMismatch;;Signatur stimmt nicht überein.
error.purchase.er.subscriptionOnly;;Nur als Abo möglich
error.purchase.er.subscriptionPurchased;;Abo wurde erworben
error.purchase.er.unknownPPV;;Unbekanntes PPV-Modul
error.purchase.er.unknownReason;;Unbekannter Grund
error.purchase.er.unknownTransactionState;;Unbekannter Transaktionsstatus
error.purchase.er.unknownUser;;Unbekannter Benutzer
error.purchase.er.userNotExist;;Benutzer existiert nicht
error.purchase.er.userSuspended;;Der Benutzer wurde blockiert.
error.purchase.unidentified;;Fehler beim Kauf
error.token.store.failed;;Authentifizierungs-Token konnte nicht gespeichert werden.
error.userAccountSuspended;;Dein Konto ist gesperrt 
error.userActionSuspended;;Dein Konto ist abgelaufen
explanatoryCard.localQuotaLimit.info;;Noch %1 Speicherplatz frei. Ältere und angesehene Aufnahmen werden gelöscht
explanatoryCard.localQuotaLimit.statusContent;;Aufnahmen verwalten
explanatoryCard.localQuotaLimit.title;;Festplatte fast voll
explanatoryCard.mytv.external.myTVRecommendations;;Hier findest Du Deine persönlichen Empfehlungen für laufende Sendungen und die Videothek. Diese setzen sich aus dem zusammen, was Du bisher angesehen, aufgenommen oder ausgeliehen hast
explanatoryCard.mytv.purchasesAndRentals;;Geliehene Filme können hier angesehen werden
explanatoryCard.mytv.recommendations;;Hier findest Du Deine persönlichen Empfehlungen für laufende Sendungen und die Videothek
explanatoryCard.mytv.recommendations.recommendationsOptIn;;Hier findest Du Deine persönlichen Empfehlungen, die GigaTV aus Deinen angesehenen, aufgenommenen oder ausgeliehenen Titeln zusammenstellt. Drücke auf OK, um Empfehlungen zu aktivieren
explanatoryCard.mytv.recommendations.title;;Deine Filme und Serien
explanatoryCard.mytv.recordings;;Hier findest Du Deine Aufnahmen
explanatoryCard.mytv.rentals;;Geliehene Filme können hier angesehen werden
explanatoryCard.mytv.scheduledRecordings;;Hier findest Du Deine geplanten Aufnahmen
explanatoryCard.mytv.title;;Mein TV
explanatoryCard.mytv.watchnext;;Hier findest Du gesammelt Deine Empfehlungen und bereits gestarteten Inhalte
explanatoryCard.mytv.watchnext.recommendationsOptIn;;Drücke auf OK, um Empfehlungen zu aktivieren. So kannst Du auf einen Blick alle Programme, die Du fortsetzen möchtest, Deine neuesten Aufzeichnungen und die geliehenen Filme sehen
explanatoryCard.mytv.watchnext.title;;Deine wichtigsten Programme
explanatoryCard.mytv.welcomeTo;;Willkommen
explanatoryCard.mytv.welcomeToMyTV;;Willkommen
explanatoryCard.mytv.wishlist;;Hier findest Du Filme und Serien, die Du hinzugefügt hast
