key,en-GROUP,pt-PT-x-PT text
epg.filters.subscribedChannels,,Canais subscritos
epg.filters.title,,Filtro de canais
epg.program.locked.description,,O seu controlo parental não permite mostrar este programa sem introduzir o PIN. Para alterar isto, por favor aceda a Configurações.
epg.summary.duration,,Duração
epg.summary.origin,,Origem
epg.summary.releaseDate,,Ano
error.actionNotAllowed,,Não é possível executar esta ação
error.default,,Ocorreu um erro.
error.mdw.network.configurationGetFailed,,Falha na leitura da configuração de rede.
error.mdw.network.configurationSetFailed,,Falha na escrita da configuração de rede.
error.netflix.esn,,Ocorreu um erro na configuração da App Netflix
error.player.broadcast.cannotResolve,,Ocorreu um erro
error.player.broadcast.cannotTune,,Não foi possível sintonizar o canal.
error.player.broadcast.channelChangeInterrupted,,Mudança de canal interrompida.
error.player.broadcast.channelNotFound,,Ocorreu um erro. Canal não encontrado.
error.player.broadcast.channelNotSupported,,Canal não suportado pelo sintonizador.
error.player.broadcast.channelParentalLock,,Canal bloqueado por controlo parental.
error.player.broadcast.channelRecordingOngoing,,Não é possível mudar de canal porque este está ser gravado.
error.player.broadcast.encryptedChannel,,Ocorreu um erro. Encriptação do canal.
error.player.broadcast.insufficientBandwidth,,Ocorreu um erro. Velocidade de acesso a rede não é suficiente.
error.player.broadcast.insufficientResources,,Ocorreu um erro. Recursos insuficientes para apresentar o canal.
error.player.broadcast.tunerLocked,,Sintonizador bloqueado.
error.player.broadcast.unknownChannel,,Canal desconhecido
error.player.broadcast.unrealized,,Ocorreu um erro. Mudança de canal.
error.player.oipf.connectionLost,,De momento não é possível reproduzir este conteúdo. Por favor tente novamente mais tarde.
error.player.oipf.corrupt,,Ocorreu um erro. Conteúdo inválido.
error.player.oipf.format,,Formato AV não suportado
error.player.oipf.insufficientResources,,Ocorreu um erro. Recursos insuficientes.
error.player.oipf.positionUnavailable,,Ocorreu um erro.
error.player.oipf.unavailable,,Ocorreu um erro. Conteúdo indisponível.
error.player.unidentified,,Ocorreu um erro.
error.purchase.er.PPVPurchased,,Compra efetuada.
error.purchase.er.accountNotValid,,Conta inválida
error.purchase.er.collectionPurchased,,Coleção adquirida.
error.purchase.er.configNotFound,,Nenhuma configuração encontrada.
error.purchase.er.couponNotValid,,Cupão invalido.
error.purchase.er.free,,Grátis.
error.purchase.er.incorrectPrice,,Preço incorreto.
error.purchase.er.insufficientFunds,,Saldo insuficiente.
error.purchase.er.invalidUser,,Ocorreu um erro.
error.purchase.er.notInDomain,,Ocorreu um erro.
error.purchase.er.notPurchasable,,Indisponível para compra.
error.purchase.er.pgChargeIDRequired,,Necessário ID para servidor de pagamento.
error.purchase.er.pgNoResponse,,Sem resposta do Servidor de Pagamentos.
error.purchase.er.pgNotExist,,Servidor de pagamento não existe.
error.purchase.er.pgNotSet,,Servidor de pagamento não definido.
error.purchase.er.pgUnknownResponse,,Resposta do servidor de pagamentos desconhecida.
error.purchase.er.retryLimitExceeded,,Excedido o limite de tentativas
error.purchase.er.signatureMismatch,,Assinatura não corresponde.
error.purchase.er.subscriptionOnly,,Disponível apenas por subcrição.
error.purchase.er.subscriptionPurchased,,Subscrição efetuada.
error.purchase.er.unknownPPV,,Ocorreu um erro.
error.purchase.er.unknownReason,,Razão desconhecida.
error.purchase.er.unknownTransactionState,,Estado de transação desconhecido.
error.purchase.er.unknownUser,,Utilizador desconhecido.
error.purchase.er.userNotExist,,Ocorreu um erro.
error.purchase.er.userSuspended,,Ocorreu um erro.
error.purchase.unidentified,,Ocorreu um erro.
error.token.store.failed,,Ocorreu um erro.
error.userAccountSuspended,,A sua conta encontra-se suspensa 
error.userActionSuspended,,A sua conta encontra-se suspensa
explanatoryCard.localQuotaLimit.info,,Tem pouco espaço disponível para gravações. Tem <br/> %1  disponível.
explanatoryCard.localQuotaLimit.statusContent,,Gestão de Armazenamento Local
explanatoryCard.localQuotaLimit.title,,Armazenamento Local
explanatoryCard.mytv.external.myTVRecommendations,,Aqui encontrará recomendações personalizadas com base no que viu, gravou ou alugou anteriormente.
explanatoryCard.mytv.purchasesAndRentals,,Aqui vão estar os conteúdos que alugar.
explanatoryCard.mytv.recommendations,,Aqui pode encontrar as suas recomendações
explanatoryCard.mytv.recommendations.recommendationsOptIn,,Não perca programas escolhidos especificamente para si com base no que viu, gravou ou alugou. Pressione OK para ativar o Modo Inteligente.
explanatoryCard.mytv.recommendations.title,,Filmes e Séries que precisa de ver
explanatoryCard.mytv.recordings,,Veja e faça a gestão das suas gravações.
explanatoryCard.mytv.rentals,,Aqui vão estar os conteúdos que alugar.
explanatoryCard.mytv.scheduledRecordings,,Aqui vão estar os seus agendamentos de gravação.
explanatoryCard.mytv.title,,A Minha TV
explanatoryCard.mytv.watchnext,,Aqui vai poder continuar a ver os programas que ficaram a meio.
explanatoryCard.mytv.watchnext.recommendationsOptIn,,Aceda aqui aos programas que pretende continuar a ver, bem como às suas gravações mais recentes e aos seus alugueres na Videoclube. Pressione OK para ativar o Modo Inteligente.
explanatoryCard.mytv.watchnext.title,,Os seus programas mais importantes para assistir
explanatoryCard.mytv.welcomeTo,,Bem-vindo a
explanatoryCard.mytv.welcomeToMyTV,,A minha TV
explanatoryCard.mytv.wishlist,,Adicione filmes e programas de TV à sua lista para os encontrar mais facilmente.
explanatoryCard.ondemand.recommendationsOptIn,,Não perca programas escolhidos especificamente para si com base no que viu, gravou ou alugou. Pressione OK para ativar o Modo Inteligente.
explanatoryCard.ondemand.title,,Recomendações para si
explanatoryCard.quota.autoDelete,,A sua capacidade de armazenamento está baixa. Iremos apagar programas automaticamente na próxima gravação.
explanatoryCard.quota.title,,Comprar Mais Armazenamento
explanatoryCard.railTitle.mytv.external.myTVRecommendations,,Filmes e séries TV que precisa de ver
explanatoryCard.railTitle.mytv.purchasesAndRentals,,Todos os meus alugueres
explanatoryCard.railTitle.mytv.recommendations,,Recomendado para si
explanatoryCard.railTitle.mytv.recordings,,As minhas gravações
explanatoryCard.railTitle.mytv.rentals,,Os meus alugueres
explanatoryCard.railTitle.mytv.scheduledRecordings,,As minhas gravações agendadas
explanatoryCard.railTitle.mytv.watchnext,,Não perca nada
explanatoryCard.railTitle.mytv.wishlist,,Os meus conteúdos
explanatoryCard.related.recommendationsOptIn,,Não perca programas escolhidos especificamente para si com base no que viu, gravou ou alugou. Pressione OK para ativar o Modo Inteligente.
explanatoryCard.related.title,,Mais
explanatoryCard.search.recommendationsOptIn,,Não perca programas escolhidos especificamente para si com base no que viu, gravou ou alugou. Pressione OK para ativar o Modo Inteligente.
explanatoryCard.search.title,,Resultados com base nas suas preferências
explanatoryCard.switchOn,,Ativar
fastZap.barker.countdown,,Aplicação vai iniciar em<br/><div>%1 segundos</div>
fastZap.upNext,,A seguir
firstInstall.automaticRecordingsMoreInfoScreen.description,,A Vodafone TV permite a visualização de programas que passaram nos últimos 7 dias. Pode aceder a estes programas através do Guia TV ou através das setas para cima e para baixo no seu comando.<br/><br/>Esta aceitação não tem qualquer custo associado e não reduz o espaço disponível para as suas gravações pessoais.
firstInstall.automaticRecordingsMoreInfoScreen.title,,Gravações Automáticas
firstInstall.bleRemotePairLaterScreen.description,,Para emparelhar a sua televisão com o seu comando, pressione simultaneamente a tecla 3 e o botão amarelo durante 5 segundos.<br/>Se o seu comando já está emparelhado, pressione as mesmas teclas para desemparelhar.<br/>Se não conseguir emparelhar agora pode sempre tentar mais tarde.
firstInstall.bleRemotePairingScreen.description,,Para emparelhar a sua TV com o comando, pressione em simultâneo a tecla 3 e o botão amarelo durante 5 segundos.<br/>Se o seu comando já está emparelhado, pressione as mesmas teclas para desemparelhar.
firstInstall.bleRemotePairingScreen.title,,Emparelhar Comando
firstInstall.bleRemotePairingSuccessScreen.description,,A sua TV box está agora emparelhada com o comando
firstInstall.bleRemotePairingSuccessScreen.title,,Concluído
firstInstall.buttons.ATP,,ATP
firstInstall.buttons.I&D,,I&D
firstInstall.buttons.agree,,Aceitar
firstInstall.buttons.back,,Voltar
firstInstall.buttons.deepMode,,Alta poupança
firstInstall.buttons.developerMode,,Modo de desenvolvimento
firstInstall.buttons.disagree,,Aceitar Genérica
firstInstall.buttons.instantMode,,Baixa poupança
firstInstall.buttons.manual,,Manual
firstInstall.buttons.moreInfo,,Mais informação
firstInstall.buttons.reset,,Repor
firstInstall.buttons.skipScanning,,Não pesquisar agora
firstInstall.buttons.tryAgainWithEthernet,,Tente de novo
firstInstall.buttons.updateAndReboot,,Atualizar & Reiniciar
firstInstall.buttons.validate,,Validar
firstInstall.cheatMenuScreen.desc,,Substitui configurações da TV Box.
firstInstall.cheatMenuScreen.title,,Menu operacional
firstInstall.consent.description,,Defina sua preferência relativamente à disponibilização de uma experiência de TV personalizada.
firstInstall.contentSettingsScreen.automaticRecordingsAgreement.title,,Grava automaticamente os programas de TV emitidos nos últimos 7 dias.
firstInstall.contentSettingsScreen.recommendationsAgreement.title,,Mostrar recomendações
firstInstall.contentSettingsScreen.title,,Ativar Gravações Automáticas
firstInstall.firmwareUpdateScreen.desc,,Por favor instale a atualização de software. A TV Box vai inicializar após a atualização estar concluída.
firstInstall.firmwareUpdateScreen.title,,Atualizações
firstInstall.irRfRemotePairLaterScreen.description,,Para emparelhar a sua televisão com o seu comando, pressione simultaneamente a tecla 3 e o botão amarelo durante 5 segundos.<br/>Se não conseguir emparelhar agora pode sempre tentar mais tarde. O comando continuará a funcionar corretamente se o apontar para a box.<br/>
firstInstall.irRfRemotePairingScreen.description,,Para emparelhar a sua televisão com o seu comando, pressione simultâneamente a tecla 3 e o botão amarelo durante 5 segundos
firstInstall.irRfRemotePairingScreen.title,,Configurar Comando
firstInstall.irRfRemotePairingSuccessScreen.description,,A sua TV Box está agora emparelhada com o comando
firstInstall.irRfRemotePairingSuccessScreen.title,,Concluído
firstInstall.powerSaving.description,,Se pretende ouvir música com a TV box em Stand By desligue esta opção.<br><br> Caso contrário só poderá ouvir música por um curto período de tempo após colocar a box em Stand By.
firstInstall.powerSaving.title,,Poupança de energia
firstInstall.powerSaving.turnOff,,Desligar
firstInstall.powerSaving.turnOn,,Ligar
firstInstall.progressbar.complete.label,,Pesquisa de canais concluída
firstInstall.progressbar.label,,A pesquisar canais %1%
firstInstall.recommendationsMoreInfoScreen.description,,Filmes e séries de TV que precisa de ver<br/><br/>Não perca os programas escolhidos para si, com base no que viu, gravou ou alugou anteriormente. Clique em OK ou aceda a Configurações e ligue as Recomendações.<br/><br/>Pode voltar a desligar quando quiser.
firstInstall.recommendationsMoreInfoScreen.title,,Recomendações
firstInstall.recoverPwdScreen.description,,Para recuperar a palavra passe, leia este código com a câmara do seu telefone.
firstInstall.recoverPwdScreen.subtitle,,Leia o código
firstInstall.recoverPwdScreen.title,,Recuperação da palavra passe
firstInstall.scanSummaryScreen.description.fail,,Não foram encontrados canais de TV.<br/> Por favor confirme que o cabo de rede está ligado e tente de novo.
firstInstall.scanSummaryScreen.description.fail.OTTOnly,,Não foram encontrados canais de TV. Por favor verifique a ligação à rede e tente novamente.
firstInstall.scanSummaryScreen.description.fail.cable,,firstInstall.scanSummaryScreen.description.fail.cable
firstInstall.scanSummaryScreen.description.fail.ftth,,firstInstall.scanSummaryScreen.description.fail.ftth
firstInstall.scanSummaryScreen.description.partial,,<div class='halfSummary'>Free-to-air<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>IPTV<div class='channelsSummary'>%3 TV</div></div></div>Pesquisa interrompida. Por favor inicie nova pesquisa. 
firstInstall.scanSummaryScreen.description.partial.cable,,firstInstall.scanSummaryScreen.description.partial.cable
firstInstall.scanSummaryScreen.description.partial.ftth,,firstInstall.scanSummaryScreen.description.partial.ftth
firstInstall.scanSummaryScreen.description.success,,Pesquisa de canais terminada.<br/>Foram encontrados os seguintes canais:<br/><div class='halfSummary'>Free-to-air<div class='channelsSummary'><div>%1 TV</div><div>%2 Radio</div></div></div><div class='halfSummary'>IPTV<div class='channelsSummary'>%3 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.OTTOnly,,Pesquisa de canais terminada.<br/>Os seguintes canais foram encontrados:<br/><div class='halfSummary'>Internet<div class='channelsSummary'>%1 TV</div></div></div>
firstInstall.scanSummaryScreen.description.success.cable,,firstInstall.scanSummaryScreen.description.success.cable
firstInstall.scanSummaryScreen.description.success.ftth,,firstInstall.scanSummaryScreen.description.success.ftth
firstInstall.standbyModeSelectionScreen.desc,,Por favor selecione um modo de poupança de energia<br><br>Baixa poupança significa que TV Box arranca mais rapidamente (mas poupa menos energia)<br><br>Alta poupança significa que a TV Box arranca mais lentamente (mas poupa mais energia).
firstInstall.standbyModeSelectionScreen.title,,Modo Stand By
firstInstall.startChannelsScanScreen.description.cable,,firstInstall.startChannelsScanScreen.description.cable
firstInstall.startChannelsScanScreen.description.ftth,,A pesquisa de canal sintoniza canais de TV e rádio <br/> disponíveis na sua área.
firstInstall.unpairRfRemoteScreen.description,,Prima continuamente as teclas 3 e o botão amarelo para emparelhar o seu  comando.
firstInstall.wifiBandwidthStateScreen.buttons.retry,,Tentar de novo
firstInstall.wifiNetworkErrorScreen.wirelessConnectionError,,Não foi possível estabelecer a ligação Wi-Fi. Por favor tente de novo mais tarde.
firstInstall.wifiNetworkSelector.wps,,Opção WPS
firstInstall.wiredNetworkScreen.noInternet,,SC115: A TV Box não consegue contactar o servidor<br/>Por favor tente de novo mais tarde ou contacte o Suporte Técnico da Vodafone através do número 16913, ou em alternativa +351911691300.
folder.bundle.includes,,Inclui
folder.button.confirm,,Confirmar
folder.button.selfcare.subscribe,,Subscrever
folder.button.subscribe,,Subscrever %1/mês
folder.button.subscribed,,Subscrito
folder.channelGrid.title,,Canais de %1
folder.subscriptionType.app,,Subscrição da app
folder.subscriptionType.individualLinearChannel,,Subscrição de canal
folder.subscriptionType.pack,,Subscrição de pack
ftu.welcome.scanQR.button.description,,Se já tem Vodafone TV instalado no seu telemóvel selecione a opção para utilizar a câmara do telemóvel
ftu.welcome.signUp.buttonText,,Registar
gdpr.consent,,: Ativação
gdpr.notice,,: Suplemento de Privacidade
gdpr.privacy,,Política de privacidade
gdpr.privacy.consent.ads.description,,É necessário aceitar esta permissão para ter acesso aos anúncios personalizados.
gdpr.privacy.consent.confirmation,,Se não ativar o Modo Inteligente não terá acesso a uma experiência personalizada de TV.<br/>Confirma que pretende prosseguir com esta escolha?
gdpr.privacy.consent.description,, 
gdpr.privacy.consent.kids.description,,Poderá usar a área Kids sem ativar o Modo Inteligente, mas com funcionalidades reduzidas.
gdpr.privacy.consent.title,,Ativação do Modo Inteligente
