key;en-GROUP;el-GR-x-GR text
advertising.notification.personalizedAds.optIn;;Για να μην έχετε εξατομικευμένες διαφημίσεις, μεταβείτε στις Ρυθμίσεις / Προστασία προσωπικών δεδομένων / Συγκατάθεση απορρήτου
advertising.notification.personalizedAds.optOut;;Για να έχετε εξατομικευμένες διαφημίσεις, μεταβείτε στις Ρυθμίσεις / Προστασία προσωπικών δεδομένων / Συγκατάθεση απορρήτου
advertising.notification.title;;Διάλειμμα για διαφημίσεις
advertising.overlay.count;;Προσθήκη %1  από %2
alexa.EnablewithoutSetup.text;;"Χωρίς σύνδεση, η Alexa θα εξακολουθεί να αναζητά τηλεοπτικές εκπομπές και ταινίες, να ελέγχει την αναπαραγωγή, να ρυθμίζει την ένταση και να λέει αστεία. Για να ολοκληρώσετε τη ρύθμιση ανά πάσα στιγμή, μεταβείτε στις Ρυθμίσεις Alexa και συνδέστε τον λογαριασμό σας στο Amazon. <br> <br> <span class = ""subtext""> Η Amazon επεξεργάζεται τις αλληλεπιδράσεις Alexa στο cloud. Επιλέγοντας ""Ενεργοποίηση Alexa"", αποδέχεστε όλους τους όρους και προϋποθέσεις. Μπορείτε να μάθετε περισσότερα σχετικά με τους όρους και το απόρρητο της Alexa χρησιμοποιώντας τους παρακάτω συνδέσμους. </span>"
alexa.EnablewithoutSetup.title;;"Ενεργοποίηση Alexa χωρίς σύνδεση;"
alexa.alexaDisableScreen.cancelButton;;Ακύρωση
alexa.alexaDisableScreen.confirmButton;;Επιβεβαίωση
alexa.alexaDisableScreen.text;;Δεν θα μπορείτε να κάνετε χρήση της Alexa σε αυτή την συσκευή
alexa.alexaDisableScreen.title;;Απενεργοποίηση Amazon Alexa
alexa.alexaSettignDefaultScreen.buttonSetUp;;Ρύθμιση Alexa
alexa.alexaSettingDefaultScreen.buttonLanguage;;Επιλογή γλώσσας
alexa.alexaSettingDefaultScreen.buttonSignout;;Αποσύνδεση
alexa.alexaSettingDefaultScreen.buttonTermsAndConditions;;Terms & Conditions
alexa.alexaSetupScreen.description;;Αν αντιμετωπίζεται κάποιο πρόβλημα κάντε ανανέωση του κωδικού κα ιδοκιμάτε πάλι
alexa.alexareadyscreen.ia.information;;Για να ενεργοποιήσετε πρόσθετες λειτουργίες όπως μουσική, καιρός και έξυπνο οικιακό έλεγχο, μεταβείτε στις <span> Ρυθμίσεις> Βοηθοί φωνής> Amazon Alexa </span> ανά πάσα στιγμή για να συνδέσετε τον λογαριασμό σας στο Amazon.
alexa.alexareadyscreen.ia.term1;;"""Alexa, turn up the volume"""
alexa.alexareadyscreen.ia.term2;;"""Alexa, show me action movies"""
alexa.alexareadyscreen.ia.term3;;"""Alexa, what's on TV tonight?"""
alexa.alexareadyscreen.information;;Για να μάθετε περισσότερα σχετικά με το τι μπορεί να κάνει η Alexa, κατεβάστε την εφαρμογή Amazon Alexa από το Google Play ή το App Store.
alexa.alexareadyscreen.subtitle;;Κρατήστε πατημένο το κουμπί του μικροφώνου και πείτε:
alexa.alexareadyscreen.term1;;"”Alexa, show me the weekend forecast"""
alexa.alexareadyscreen.term2;;"“Alexa, what's my sports update?"""
alexa.alexareadyscreen.term3;;“Alexa, what's my sports update?”
alexa.alexareadyscreen.term4;;“Alexa, search for Action movies”
alexa.alexareadyscreen.term5;;“Alexa, play pop music videos”
alexa.alexareadyscreen.vsb.information;;alexa.alexareadyscreen.vsb.information
alexa.alexareadyscreen.vsb.subtitle;;Δοκιμάστε τις πιο κάτω φράσεις:
alexa.alexareadyscreen.vsb.term1;;"""Alexa, δείξε μου τον καιρό του Σαββατοκύριακου"""
alexa.alexareadyscreen.vsb.term2;;"""Alexa, ποια είναι τα νέα της ομάδας μου;"""
alexa.alexareadyscreen.vsb.term3;;"""Alexa, πρόσθεσε γάλα στη λίστα αγορών μου"""
alexa.alexareadyscreen.vsb.term4;;"""Alexa, παίξε ποπ τραγούδια της δεκαετίας του '90"""
alexa.alexareadyscreen.vsb.term5;;"""Alexa, ποιος είναι ο Brad Pitt;"""
alexa.alexareadyscreen.vsb.term6;;"""Alexa, θέλω να ακούσω χαλαρωτική μουσική"""
alexa.authError;;Σφάλμα, παρακαλώ δοκιμάστε και πάλι
alexa.card.canDoMore;;Η Alexa μπορεί να κάνει περισσότερα
alexa.card.connect;;Σύνδεση
alexa.card.connectAmazonAccount;;Συνδέστε τον λογαριασμό σας στο Amazon για να ενεργοποιήσετε λειτουργίες, όπως ο καιρός, ο έξυπνος έλεγχος σπιτιού και πολλά άλλα
alexa.defaultScreen.description;;Η Alexa σάς επιτρέπει να χρησιμοποιείτε τη φωνή σας για να βρίσκετε και να παίζετε ταινίες και τηλεοπτικές εκπομπές, να κάνετε ερωτήσεις, να ελέγχετε τον καιρό, να παρακολουθείτε μουσική, να ελέγχετε το έξυπνο σπίτι σας και πολλά άλλα.
alexa.defaultScreen.subDescription;;"Η Amazon επεξεργάζεται τις αλληλεπιδράσεις της Alexa στο cloud. Επιλέγοντας ""Ενεργοποίηση Alexa"", αποδέχεστε όλους τους όρους και τις προϋποθέσεις. Μπορείτε να μάθετε περισσότερα σχετικά με τους όρους και το απόρρητο της Alexa χρησιμοποιώντας τους παρακάτω συνδέσμους"
alexa.defaultscreen.buttonDisable;;Απενεργοποίηση
alexa.defaultscreen.buttonSigneIn;;Εγγραφή στην Alexa
alexa.defaultscreen.buttonTermOfUse;;Όροι χρήσης
alexa.defaultscreen.devicename;;Όνομα συσκευής
alexa.defaultscreen.signedInAs;;Συνδεση με τον λογαρισμό σας
alexa.enablePopup.title;;"Θέλετε να ενεργοποιήσετε το φωνητικό έλεγχο;"
alexa.enableWithoutSetup.ok;;Δοκιμάστε την Alexa
alexa.enablevoicesubMsg;;Ο φωνητικός έλεγχος δεν έχει ενεργοποιηθεί.
alexa.errorScreen.button.retry;;Προσπαθησε ξανα
alexa.isReadyTitle;;Η Alexa είναι έτοιμη
alexa.notification.signout.body;;μπορείτε να την ενεργοποιήσετε από τις ρυθμίσεις αργότερα
alexa.notification.signout.header;;Η Αλέξα απενεργοποιήθηκε
alexa.popup.tryAlexa.title;;Δοκιμάστε την Αλέξα χωρίς λογαριασμό
alexa.setUpScreen.Goto;;Μετάβαση σε
alexa.setUpScreen.description;; στο κινητό ή τον υπολογιστή σας με βάλτε αυτό τον κωδικό
alexa.setUpScreen.later;;Όχι τώρα
alexa.setUpScreen.refreshCode;;Ανανέωση κωδικού
alexa.setUpScreen.title;;Συνδεση με τον Amazon λογαριασμό σας
alexa.termandConditionScreen.title;;Όροι και προϋποθέσεις
alexa.termsOfUseScreen.title;;Όροι
apps.myApps.add.added;;Προστέθηκε
apps.myApps.add.titleAppAdd;;Οι εφαρμογές μου
apps.myApps.add.titleAppAddDescription;;%1 εφαρμογές προστέθηκαν
apps.myApps.add.titleAppRemove;;Οι εφαρμογές μου
apps.myApps.add.titleAppRemoveDescription;;%1 εφαρμογές διαγράφηκαν
apps.myApps.add.titleMaxDescription;;Πρέπει αν αφαιρέσετε μια εφαρμογή για να προσθέσετε μια νέα στα αγαπημένα σας
apps.myApps.add.titleMaxLimit;;Οι εφαρμογές μου
apps.myApps.delete.remove;;Αφαίρεση
apps.myApps.reorder.moved;;Μετακίνηση
apps.rail.recentApps;;Πρόσφατες εφαρμογές
badging.acronym.audioDescription;;AD
badging.acronym.closedCaption;;CC
badging.acronym.signLanguage;;SL
badging.acronym.subtitles;;S
badging.airsNow;;Παίζει τώρα
badging.airsOnDateAndTime;;Παίζει
badging.availableToPurchase;;Διαθέσιμο για αγορά
badging.availableToPurchaseAndExpiration;;Μένουν %1 μέρα(ες) από %2
badging.availableToSubscribe;;Διαθέσιμο για συνδρομή
badging.failedOn;;Αποτυχία
badging.partiallyRecordedOn;;Εγγράφηκε μερικώς την
badging.purchased;;Αγοράστηκε
badging.recordableEpisode;;Εγγραφή επεισοδίου
badging.recordableSeries;;Εγγραφή όλων των επεισοδίων
badging.recordedOn;;Εγγράφηκε στις
badging.recordingNow;;Εγγραφή σε εξέλιξη
badging.recordingScheduled;;Προγραμματισμένο
badging.scheduled;;Προγραμματισμένο
badging.subscribed;;Διαθέσιμο για παρακολούθηση
badging.subscribedTo;;Περιλαμβάνεται στο %1
badging.upcomingCatchUp;;Σύντομα διαθέσιμο στο Replay TV
bluetooth.fullplayer.audioprofile;;Προφίλ ήχου
bluetooth.fullplayer.collapse;;Απόκρυψη
bluetooth.fullplayer.connected;;Συνδεδεμένο
bluetooth.fullplayer.exit;;Έξοδος
bluetooth.fullplayer.unknownTrackAlbum;;Άγνωστο άλμπουμ
bluetooth.fullplayer.unknownTrackArtist;;Άγνωστος καλλιτέχνης
bluetooth.fullplayer.unknownTrackTitle;;Άγνωστος τίτλος
bluetooth.popup.buttons.connect;;Σύνδεση
bluetooth.subtitle;;"Επικύρωση;"
bluetoothConnect.subtitle;;"Επικύρωση;"
bluetoothConnect.title;;"Θέλετε να ενεργοποιήσετε την φωνή;"
bluetoothConnection.title;;Θα συνδεθείτε σε αυτήν τη συσκευή
bluetoothDisconnect.title;;Επιλέξτε τι θέλετε να κάνετε
buttons.filesFormat.3d;;3D
buttons.filesFormat.4K;;UHD
buttons.filesFormat.HD;;HD
buttons.filesFormat.SD;;SD
cableRegio.scanSummary.description.success;;Βρέθηκαν %1 κανάλια:<br/>%2 Internet %3 Επίγεια %4 Ραδιόφωνο
cableRegio.scanSummary.title;;Αποτελέσματα σάρωσης καναλιών
cancelMultipleSeries.popup.subtitle;;Δεν μπορείτε να αναιρέσετε αυτό το βήμα.
cancelMultipleSeries.popup.title;;"Είστε βέβαιοι ότι θέλετε να ακυρώσετε το %1 των εγγραφών σας;"
cancelSeries.subtitle;;"Είστε σίγουροι;"
cancelSeries.title;;"Ακύρωση εγγραφής σειράς;"
channelScan.completed;;Η αναζήτηση καναλιών ολοκληρώθηκε
channelScan.error;;Παρουσιάστηκε ένα σφάλμα κατα την αναζήτηση των καναλιών
clashManagementScreen.availableAsCatchup;;Διαθέσιμο σε Replay TV
clashManagementScreen.recording;;Εγγραφή %1
clashManagementScreen.repeatsOn;;Επαναλαμβάνεται σε %1
clashManagementScreen.reschedule;;Επαναπρογραμματίστε
clashManagementScreen.subtitle;;Για να κάνετε μια εγγραφή %1, επιλέξτε μία από τις παρακάτω επιλογές.
clashManagementScreen.title;;Έχετε πολλές εγγραφές στον δίσκο σας
common.back;;Ακύρωση
common.blockedContent;;Κλειδωμένο περιεχόμενο
common.browseAll;;Περιήγηση
common.buyStorage;;Αγορά αποθηκευτικού χώρου
common.deselectAll;;Αποεπιλογή όλων
common.disconnect;;Αποσύνδεση
common.hideAll;;Απόκρυψη όλων
common.min;;%1 λεπτά.
common.noThanks;;Όχι, ευχαριστώ
common.other;;Άλλα
common.reorder;;αναδιάταξη
common.searchOn;;Αναζήτηση σε
common.selectAll;;Επιλογή όλων
common.showAll;;Εμφάνιση όλων
common.subscribe;;Συνδρομή
common.tvGuide;;ΟΔΗΓΟΣ ΠΡΟΓΡΑΜΜΑΤΟΣ
common.unpair;;Κατάργηση σύνδεσης
common.welcomeTo;;Καλωσήρθατε στο Vodafone TV
continueWatching.household;;Ο αποκωδικοποιητής μου
date.format.duration.day;;ημέρα
date.format.duration.days;;ημέρες
date.format.duration.hour;;ώρα
date.format.duration.hours;;ώρες
date.format.duration.minute;;λεπτό
date.format.duration.minutes;;λεπτά
date.format.duration.month;;μήνας
date.format.duration.months;;μήνες
date.format.duration.second;;Δευτερόλεπτο
date.format.duration.seconds;;Δευτερόλεπτα
date.format.duration.short.hours;;ώρες
date.format.duration.short.minutes;;λεπτά
date.format.duration.short.seconds;;δευτ
date.format.duration.year;;έτος
date.format.duration.years;;έτη
deleteMultipleSeries.popup.protectedSubtitle;;"Υπάρχουν %1 προστατευμένες εγγραφές στην επιλογή σας. Διαγραφή ούτως ή άλλως;"
deleteMultipleSeries.popup.subtitle;;Δεν μπορείτε να αναιρέσετε αυτό το βήμα.
deleteMultipleSeries.popup.title;;"Είστε βέβαιοι ότι θέλετε να διαγράψετε %1 των εγγραφών σας;"
deleteSeries.delete;;Διαγραφή σειράς
deleteSeries.subtitle;;"Είστε σίγουρος;"
deleteSeries.title;;Διαγραφή σειράς
deleteSingleSeries.popup.subtitle;;"Θέλετε να επιλέξετε ολόκληρη τη σειρά ή μεμονωμένα επεισόδια;"
deleteSingleSeries.popup.title;;Επιλέξατε μια σειρά
detailsConfirmPurchaseScreen.audioTitle;;Ήχος
detailsConfirmPurchaseScreen.detailsTitle;;Περισσότερα
detailsConfirmPurchaseScreen.subtitlesTitle;;Υπότιτλοι
epg.adultProgram.hidden.description;;Ο γονικός έλεγχος δεν επιτρέπει την εμφάνιση αυτού του προγράμματος χωρίς την εισαγωγή του PIN σας. Για να το αλλάξετε, μεταβείτε στις ρυθμίσεις.
epg.adultProgram.hidden.name;;Κλειδωμένο περιεχόμενο
epg.adultProgram.hidden.subtitle;;Αλλάξτε τις γονικές ρυθμίσεις για παρακολούθηση
epg.adultProgram.locked.description;;Ο γονικός έλεγχος δεν επιτρέπει την εμφάνιση αυτού του προγράμματος χωρίς την εισαγωγή του PIN σας. Για να το αλλάξετε, μεταβείτε στις ρυθμίσεις.
epg.adultProgram.locked.name;;Κλειδωμένο
epg.allChannels;;Όλα τα κανάλια
epg.channel.locked.name;;Γονικός έλεγχος ενεργοποιημένος
epg.filters.all;;Όλα
epg.filters.allChannels;;Όλα τα κανάλια
epg.filters.hdchannels;;Κανάλια HD
epg.filters.juststarted;;Μόλις ξεκίνησαν
epg.filters.mostWatched;;Δημοφιλή
epg.filters.subscribedChannels;;Συνδρομητικά κανάλια
epg.filters.title;;Επιλέξτε φίλτρα καναλιών
epg.program.locked.description;;Ο γονικός έλεγχος δεν επιτρέπει την εμφάνιση αυτού του προγράμματος χωρίς την εισαγωγή του PIN σας. Για να το αλλάξετε, μεταβείτε στις ρυθμίσεις.
epg.summary.duration;;Διάρκεια
epg.summary.origin;;Προέλευση
epg.summary.releaseDate;;Τελευταία ενημέρωση
error.actionNotAllowed;;Αδυναμία ολοκλήρωσης
error.default;;Κάτι πήγε στραβά
error.mdw.network.configurationGetFailed;;Σφάλμα δικτύου.
error.mdw.network.configurationSetFailed;;Σφάλμα στη διαμόρφωση δικτύου.
error.netflix.esn;;Μη έγκυρο Netflix ESN
error.player.broadcast.cannotResolve;;Δεν είναι εφιτκή η μετάδοση
error.player.broadcast.cannotTune;;Δεν είναι δυνατός ο συντονισμός στο υπάρχον δίκτυο.
error.player.broadcast.channelChangeInterrupted;;Αδύνατη η αλλαγή καναλιού.
error.player.broadcast.channelNotFound;;Το συγκεκριμένο κανάλι δεν βρέθηκε.
error.player.broadcast.channelNotSupported;;Το κανάλι δεν υποστηρίζεται από τον δέκτη.
error.player.broadcast.channelParentalLock;;Γονικός έλεγχος ενεργός στο κανάλι.
error.player.broadcast.channelRecordingOngoing;;Δεν μπορείτε να αλλάξετε κανάλι, επειδή αυτή την στιγμή καταγράφετε.
error.player.broadcast.encryptedChannel;;Χωρίς στοιχεία ασφάλειας
error.player.broadcast.insufficientBandwidth;;Η ταχύτητα της σύνδεσης δεν επαρκεί.
error.player.broadcast.insufficientResources;;Ανεπαρκείς πόροι για την παρουσίαση του συγκεκριμένου καναλιού.
error.player.broadcast.tunerLocked;;Ο δέκτης είναι κλειδωμένος.
error.player.broadcast.unknownChannel;;Άγνωστο κανάλι.
error.player.broadcast.unrealized;;Δεν μπορείτε να αλλάξετε κανάλι.
error.player.oipf.connectionLost;;Αδυναμία σύνδεσης.
error.player.oipf.corrupt;;Το περιεχόμενο δεν είναι έγκυρο.
error.player.oipf.format;;Δεν υποστηρίζεται αυτό το είδος βίντεο
error.player.oipf.insufficientResources;;Ανεπαρκείς πόροι.
error.player.oipf.positionUnavailable;;Το περιεχόμενο δεν είναι διαθέσιμο.
error.player.oipf.unavailable;;Το περιεχόμενο δεν είναι διαθέσιμο.
error.player.unidentified;;SB501 μη έγκυρη συνδρομή στο κανάλι
error.purchase.er.PPVPurchased;;Η αγορά PPV ολοκληρώθηκε.
error.purchase.er.accountNotValid;;Μη έγκυρος λογαριασμός.
error.purchase.er.collectionPurchased;;Η συλλογή αγοράστηκε.
error.purchase.er.configNotFound;;Δεν βρέθηκαν ρυθμίσεις.
error.purchase.er.couponNotValid;;Το κουπόνι δεν είναι έγκυρο.
error.purchase.er.free;;Δωρεάν.
error.purchase.er.incorrectPrice;;Λανθασμένη τιμή.
error.purchase.er.insufficientFunds;;Ανεπαρκείς πόροι.
error.purchase.er.invalidUser;;Μη έγκυρος χρήστης.
error.purchase.er.notInDomain;;Ο χρήστης δεν είναι καταχωρημένος.
error.purchase.er.notPurchasable;;Δεν είναι διαθέσιμο για αγορά.
error.purchase.er.pgChargeIDRequired;;Payment gateway charge ID required.
error.purchase.er.pgNoResponse;;No response from payment gateway.
error.purchase.er.pgNotExist;;Payment gateway does not exist.
error.purchase.er.pgNotSet;;Payment gateway not set for household.
error.purchase.er.pgUnknownResponse;;Unknown payment gateway response.
error.purchase.er.retryLimitExceeded;;Υπέρβαση ορίου επανάληψης.
error.purchase.er.signatureMismatch;;Αναντιστοιχία υπογραφής.
error.purchase.er.subscriptionOnly;;Διαθέσιμο μόνο μέσω συνδρομής
error.purchase.er.subscriptionPurchased;;Επιτυχής αγορά συνδρομής.
error.purchase.er.unknownPPV;;Άγνωστο
error.purchase.er.unknownReason;;Άγνωστη αιτία.
error.purchase.er.unknownTransactionState;;Unknown transaction state.
error.purchase.er.unknownUser;;Άγνωστος χρήστης.
error.purchase.er.userNotExist;;Δεν υπάρχει ο χρήστης.
error.purchase.er.userSuspended;;Ο χρήστης έχει τεθεί σε περιορισμό.
error.purchase.unidentified;;Σφάλμα κατά την αγορά.
error.token.store.failed;;Failed to store Auth Tokens
error.userAccountSuspended;;Ο λογαριασμός σας έχει φραγή. 
error.userActionSuspended;;Ο λογαριασμός σας έχει φραγή.
explanatoryCard.localQuotaLimit.info;;Ο τοπικός αποθηκευτικός χώρος για εγγραφές είναι χαμηλός. <br/>Μένει %1 τοπικού αποθηκευτικού χώρου.
explanatoryCard.localQuotaLimit.statusContent;;Διαχείριση τοπικών εγγραφών
explanatoryCard.localQuotaLimit.title;;Τοπικός δίσκος γεμάτος
explanatoryCard.mytv.external.myTVRecommendations;;Εδώ θα δείτε εξατομικευμένες προτάσεις για On Demand περιεχόμενο και κανάλια με βάση προγράμματα που έχετε παρακολουθήσει ή εγγράψει στο παρελθόν
explanatoryCard.mytv.purchasesAndRentals;;Ενοικιάστε ταινίες και παρακολουθήστε τις εδώ.
explanatoryCard.mytv.recommendations;;Πολύ σύντομα εδώ θα εμφανιστούν οι προτάσεις μας για εσάς!
explanatoryCard.mytv.recommendations.recommendationsOptIn;;Δείτε εξατομικευμένες προτάσεις με βάση αυτά που παρακολουθείτε, εγγράφετε ή ενοικιάζετε. Πατήστε OK για ενεργοποίηση.
explanatoryCard.mytv.recommendations.title;;Ταινίες και τηλεοπτικές εκπομπές που σας ταιριάζουν
explanatoryCard.mytv.recordings;;Δείτε και διαχειριστείτε τις εγγραφές σας.
explanatoryCard.mytv.rentals;;Εδώ εμφανίζονται ταινίες με ενεργές ενοικιάσεις για να συνεχίσετε την προβολή τους!
explanatoryCard.mytv.scheduledRecordings;;Τα προγράμματα που έχετε επιλέξει για εγγραφή θα εμφανίζονται εδώ
explanatoryCard.mytv.title;;My Home
explanatoryCard.mytv.watchnext;;Συνεχίστε την παρακολούθηση προγραμμάτων που έχετε ξεκινήσει να βλέπετε.
explanatoryCard.mytv.watchnext.recommendationsOptIn;;Μην χάσετε προγράμματα προσαρμοσμένα για εσάς με βάση αυτό που παρακολουθείτε, εγγράφετε ή νοικιάζετε. Κάντε κλικ στο κουμπί OK και ενεργοποιήστε τις Προτάσεις.
explanatoryCard.mytv.watchnext.title;;Τα σημαντικότερα προγράμματα για να παρακολουθήσετε
explanatoryCard.mytv.welcomeTo;;Καλωσήρθατε στο Vodafone TV
explanatoryCard.mytv.welcomeToMyTV;;Καλωσήρθατε στο Vodafone TV
explanatoryCard.mytv.wishlist;;Προσθήκη ταινιών και προγραμμάτων στα αγαπημένα.
explanatoryCard.ondemand.recommendationsOptIn;;Δείτε εξατομικευμένες προτάσεις περιεχομένου για εσάς σύμφωνα με αυτά που παρακολουθείτε, εγγράφετε ή νοικιάζετε. Πατήστε OK για ενεργοποίηση.
explanatoryCard.ondemand.title;;OnDemand προτάσεις περιεχομένου
explanatoryCard.quota.autoDelete;;Έχετε χαμηλή χωρητικότητα αποθηκευτικού χώρου. Η αυτόματη διαγραφή θα αρχίσει με τις επόμενες προγραμματισμένες εγγραφές.
explanatoryCard.quota.title;;Αγορά περισσότερου αποθηκευτικού χώρου
explanatoryCard.railTitle.mytv.external.myTVRecommendations;;Ταινίες και τηλεοπτικές εκπομπές για εσάς
explanatoryCard.railTitle.mytv.purchasesAndRentals;;Ενοικιάσεις
explanatoryCard.railTitle.mytv.recommendations;;Ταινίες και τηλεοπτικές εκπομπές που μπορεί να σας αρέσουν
explanatoryCard.railTitle.mytv.recordings;;Εγγραφές
explanatoryCard.railTitle.mytv.rentals;;Ενοικιάσεις
explanatoryCard.railTitle.mytv.scheduledRecordings;;Προγραμματισμένες εγγραφές
explanatoryCard.railTitle.mytv.watchnext;;Συνεχίστε την παρακολούθηση
explanatoryCard.railTitle.mytv.wishlist;;Αγαπημένα
explanatoryCard.related.recommendationsOptIn;;Δείτε εξατομικευμένες προτάσεις περιεχομένου για εσάς σύμφωνα με αυτά που παρακολουθείτε, εγγράφετε ή νοικιάζετε. Πατήστε OK για ενεργοποίηση.
explanatoryCard.related.title;;Παρόμοια προγράμματα
explanatoryCard.search.recommendationsOptIn;;Δείτε εξατομικευμένες προτάσεις με βάση αυτά που παρακολουθείτε, εγγράφετε ή ενοικιάζετε. Πατήστε OK για ενεργοποίηση.
explanatoryCard.search.title;;Αποτελέσματα με βάση τις προτιμήσεις σας
explanatoryCard.switchOn;;Ενεργοποίηση
fastZap.barker.countdown;;Η εφαρμογή εκκινεί σε <br/><div>%1 δευτερόλεπτα</div>
fastZap.upNext;;Επόμενο
firstInstall.automaticRecordingsMoreInfoScreen.description;;Το Vodafone TV προσφέρει την παρακολούθηση προγραμμάτων των τελευταίων 7 ημερών. Μπορείτε να παρακολουθήσετε αυτά τα προγράμματα απευθείας χρησιμοποιώντας τον οδηγό προγράμματος ή πατώντας τα πλήκτρα πάνω ˄ και κάτω ˅ στο τηλεχειριστήριο σας ενώ παρακολουθείτε τηλεόραση.<br/><br/>
firstInstall.automaticRecordingsMoreInfoScreen.title;;Αυτόματες εγγραφές
firstInstall.bleRemotePairLaterScreen.description;;Για να συνδέσετε το τηλεχειριστήριο με την τηλεόραση, πατήστε τα πλήκτρα 3 και κίτρινο ταυτόχρονα για 5 δευτερόλεπτα. <br/><br/>Εάν δεν καταφέρατε να το συνδέσετε, μπορείτε να το κάνετε αργότερα απο τις ρυμθμίσεις. Στο μεταξύ το τηλεχειριστήριο θα λειτουργεί με λιγότερες δυνατότητες.
firstInstall.bleRemotePairingScreen.description;;Για να συγχρονίσετε το τηλεχειριστήριο σας με τη Vodafone TV, πατήστε ταυτόχρονα το πλήκτρο 3 και το κίτρινο πλήκτρο για 5 δευτερόλεπτα.<br/>
firstInstall.bleRemotePairingScreen.title;;Σύνδεση τηλεχειριστηρίου
firstInstall.bleRemotePairingSuccessScreen.description;;Ο αποκωδικοποιητής έχει συγχρονίσει με το τηλεχειριστήριο.
firstInstall.bleRemotePairingSuccessScreen.title;;Επιτυχής σύνδεση
firstInstall.buttons.ATP;;ATP
firstInstall.buttons.I&D;;I&D
firstInstall.buttons.agree;;Συμφωνώ
firstInstall.buttons.back;;Προηγούμενο
firstInstall.buttons.deepMode;;Υψηλή κατανάλωση
firstInstall.buttons.developerMode;;Developer Mode
firstInstall.buttons.disagree;;Διαφωνώ
firstInstall.buttons.instantMode;;Χαμηλή κατανάλωση
firstInstall.buttons.manual;;Χειροκίνητα
firstInstall.buttons.moreInfo;;Περισσότερες πληροφορίες
firstInstall.buttons.reset;;Επαναφορά
firstInstall.buttons.skipScanning;;Παράβλεψη
firstInstall.buttons.tryAgainWithEthernet;;Προσπαθήστε ξανά
firstInstall.buttons.updateAndReboot;;Αναβάθμιση & Επανεκκίνηση
firstInstall.buttons.validate;;Επιβεβαίωση
firstInstall.cheatMenuScreen.desc;;Τοπικές ρυθμίσεις
firstInstall.cheatMenuScreen.title;;Μενού
firstInstall.consent.description;;Για να έχετε εξατομικευμένες προτάσεις μπορείτε να συμφωνήσετε ή να διαφωνήσετε με τους όρους.
firstInstall.contentSettingsScreen.automaticRecordingsAgreement.title;;Αυτόματη εγγραφή όλων των καναλιών για παρακολούθηση παλαιότερων προγραμμάτων.
firstInstall.contentSettingsScreen.recommendationsAgreement.title;;Εμφάνιση προτάσεων για ταινίες και τηλεοπτικές εκπομπές
firstInstall.contentSettingsScreen.title;;Ρυθμίσεις περιεχομένου
firstInstall.firmwareUpdateScreen.desc;;Παρακαλώ εγκαταστήστε τις διαθέσιμες ενημερώσεις. Η συσκευή σας θα κάνει επανεκκίνηση μόλις ολοκληρωθούν οι ενημερώσεις.
firstInstall.firmwareUpdateScreen.title;;Ενημερώσεις
firstInstall.irRfRemotePairLaterScreen.description;;Για σύνδεση, πατήστε τα πλήκτρα 3 και το κίτρινο ταυτόχρονα για 5 δευτερόλεπτα.<br/>Για αποσύνδεση, πατήστε τα πλήκτρα 3 και το κίτρινο ταυτόχρονα για 5 δευτερόλεπτα.<br/>Εάν δεν τα καταφέρατε, μπορείτε να δοκιμάσετε αργότερα. Το χειριστήριο θα λειτουργεί με λιγότερες δυνατότητες.
firstInstall.irRfRemotePairingScreen.description;;Για να συγχρονίσετε το τηλεχειριστήριο σας με τη Vodafone TV, πατήστε ταυτόχρονα το πλήκτρο 3 και το κίτρινο πλήκτρο για 5 δευτερόλεπτα.
firstInstall.irRfRemotePairingScreen.title;;Σύνδεση τηλεχειριστηρίου
firstInstall.irRfRemotePairingSuccessScreen.description;;Ο αποκωδικοποιητής και το τηλεχειριστήριο έχουν συγχρονίσει
firstInstall.irRfRemotePairingSuccessScreen.title;;Επιτυχής σύνδεση
firstInstall.powerSaving.description;;Εάν θέλετε να χρησιμοποιήσετε το Φωνητικό έλεγχο ή να παίξετε μουσική από Bluetooth ή το Spotify όταν ο αποκωδικοποιητής είναι σε αναμονή, αυτή η επιλογή πρέπει να είναι ΑΝΕΝΕΡΓΗ. <br><br><br><br>Μπορείτε να αλλάξετε αυτή την επιλογή από της ρυθμίσεις του αποκωδικοποιητή αργότερα
firstInstall.powerSaving.title;;Energy Saving
firstInstall.powerSaving.turnOff;;Απενεργοποίηση
firstInstall.powerSaving.turnOn;;Ενεργοποίηση
firstInstall.progressbar.complete.label;;Η σάρωση των καναλιών ολοκληρώθηκε
firstInstall.progressbar.label;;Αναζήτηση καναλιών σε εξέλιξη %1%
firstInstall.recommendationsMoreInfoScreen.description;;Ταινίες και τηλεοπτικές εκπομπές για εσάς<br/><br/>Μην χάσετε τις εξατομικευμένες προτάσεις περιεχομένου για εσάς σύμφωνα με αυτά που παρακολουθείτε, εγγράφετε ή νοικιάζετε. Πατήστε OK ή ενεργοποιήστε την επιλογή για προτάσεις από το μενού των ρυθμίσεων.<br/><br/>
firstInstall.recommendationsMoreInfoScreen.title;;Προτεινόμενα
firstInstall.recoverPwdScreen.description;;Σαρώστε αυτό το QR με την κάμερα ενός Smart κινητού. Μέσα από το περιβάλλον του κινητού σας θα μεταφερθείτε στην σελίδα https://www.vodafone.gr/login/. Εκεί πατήστε στην επιλογή ξέχασα τον κωδικό μου, για να ανακτήσετε τον κωδικό του VTV λογαριασμού σας.
